Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1626.00,1630.00,1584.50,1589.00,14352300,1589.00
2016-02-17,1569.50,1642.00,1555.00,1642.00,13447700,1595.00
2016-02-16,1570.50,1606.00,1547.50,1567.00,11633000,1522.147
2016-02-15,1545.00,1559.00,1516.00,1542.00,7810200,1497.862
2016-02-12,1465.50,1527.03,1463.00,1525.50,18515600,1481.835
2016-02-11,1442.50,1458.50,1405.50,1441.50,14494200,1400.239
2016-02-10,1462.00,1488.00,1440.00,1454.50,11520000,1412.867
2016-02-09,1536.50,1545.50,1461.00,1461.00,12005900,1419.181
2016-02-08,1547.00,1554.00,1493.03,1522.00,8659800,1478.435
2016-02-05,1528.50,1563.50,1520.00,1535.00,11273200,1491.063
2016-02-04,1493.50,1545.00,1480.00,1525.50,15319000,1481.835
2016-02-03,1432.00,1454.00,1408.00,1438.00,7397600,1396.839
2016-02-02,1483.50,1484.50,1413.50,1433.50,9288500,1392.468
2016-02-01,1526.00,1531.00,1471.00,1494.50,11114700,1451.722
2016-01-29,1517.00,1526.00,1470.00,1518.00,11897000,1474.549
2016-01-28,1469.50,1540.50,1466.00,1495.00,16887900,1452.208
2016-01-27,1416.00,1463.00,1382.50,1463.00,15843300,1421.124
2016-01-26,1368.50,1428.50,1349.00,1422.50,10574800,1381.783
2016-01-25,1409.00,1411.50,1366.02,1398.50,10494200,1358.47
2016-01-22,1364.50,1401.00,1358.00,1387.00,11204100,1347.299
2016-01-21,1272.00,1319.00,1256.00,1316.50,12344100,1278.817
2016-01-20,1327.50,1328.40,1260.50,1266.00,16535100,1229.762
2016-01-19,1363.50,1389.00,1346.03,1365.00,10928500,1325.929
2016-01-18,1346.00,1373.50,1335.52,1338.50,7876400,1300.187
2016-01-15,1387.50,1395.50,1341.50,1351.00,14441600,1312.329
2016-01-14,1337.50,1405.00,1326.00,1391.50,14169800,1351.67
2016-01-13,1364.50,1396.50,1338.00,1346.00,16629200,1307.473
2016-01-12,1349.00,1394.50,1338.00,1351.00,10755600,1312.329
2016-01-11,1368.50,1391.00,1348.00,1354.00,14085300,1315.244
2016-01-08,1453.50,1456.50,1374.50,1375.00,14597900,1335.642
2016-01-07,1449.50,1467.00,1408.50,1454.50,12961500,1412.867
2016-01-06,1525.50,1528.49,1475.50,1497.50,7207800,1454.636
2016-01-05,1555.00,1560.00,1510.50,1526.00,7015200,1482.32
2016-01-04,1546.00,1547.00,1491.50,1516.00,9153200,1472.607
2015-12-31,1542.50,1545.00,1524.50,1526.00,1864900,1482.32
2015-12-30,1560.00,1562.50,1492.87,1545.00,3973100,1500.776
2015-12-29,1539.50,1566.50,1533.50,1561.00,5365900,1516.318
2015-12-28,1557.00,1557.00,1557.00,1557.00,000,1512.433
2015-12-25,1557.00,1557.00,1557.00,1557.00,000,1512.433
2015-12-24,1564.00,1571.00,1553.00,1557.00,1055200,1512.433
2015-12-23,1496.00,1556.50,1494.00,1551.00,7314900,1506.605
2015-12-22,1455.50,1490.00,1448.50,1486.00,6869400,1443.465
2015-12-21,1460.00,1472.00,1442.00,1442.00,8954100,1400.725
2015-12-18,1440.00,1475.50,1438.00,1463.50,10957900,1421.609
2015-12-17,1486.50,1489.50,1447.00,1450.00,7480000,1408.496
2015-12-16,1471.50,1486.00,1457.00,1462.00,7121900,1420.152
2015-12-15,1437.00,1473.50,1432.50,1463.50,8281300,1421.609
2015-12-14,1465.50,1470.50,1415.50,1418.50,9572100,1377.897
2015-12-11,1517.00,1520.00,1453.50,1453.50,10850600,1411.896
2015-12-10,1542.00,1549.50,1512.50,1522.00,7735200,1478.435
2015-12-09,1521.50,1566.00,1487.00,1541.00,7366400,1496.891
