Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1621.00,1629.83,1578.00,1587.00,13256700,1587.00
2016-02-17,1567.50,1637.37,1557.50,1636.00,12536300,1589.00
2016-02-16,1567.00,1607.00,1547.00,1564.50,16330400,1519.55
2016-02-15,1538.50,1557.00,1504.50,1540.50,9136600,1496.24
2016-02-12,1472.00,1530.00,1465.50,1526.00,39620100,1482.16
2016-02-11,1441.50,1458.50,1407.00,1445.50,18941300,1403.97
2016-02-10,1464.50,1489.50,1440.87,1457.50,13543800,1415.63
2016-02-09,1532.00,1543.50,1461.00,1461.00,13195100,1419.03
2016-02-08,1553.50,1556.50,1493.00,1521.50,7443800,1477.79
2016-02-05,1525.00,1562.03,1516.00,1536.50,8683200,1492.36
2016-02-04,1492.50,1542.00,1480.50,1525.00,14216900,1481.19
2016-02-03,1428.50,1452.39,1407.00,1437.50,10396500,1396.20
2016-02-02,1487.50,1493.50,1414.00,1435.50,17085100,1394.26
2016-02-01,1531.50,1536.50,1470.50,1500.00,13476000,1456.91
2016-01-29,1527.00,1533.00,1469.00,1521.00,15872000,1477.30
2016-01-28,1472.50,1541.50,1464.00,1496.00,19251300,1453.02
2016-01-27,1413.50,1462.00,1380.00,1462.00,18435200,1420.00
2016-01-26,1374.00,1425.50,1347.50,1420.50,12499000,1379.69
2016-01-25,1414.00,1414.00,1364.50,1402.00,11924900,1361.72
2016-01-22,1375.00,1406.00,1357.50,1388.00,12396800,1348.12
2016-01-21,1284.00,1322.50,1261.03,1318.50,12605600,1280.62
2016-01-20,1327.00,1330.50,1269.00,1277.50,16126100,1240.80
2016-01-19,1364.00,1390.50,1347.50,1369.50,9725300,1330.16
2016-01-18,1346.50,1372.50,1333.00,1337.50,6423900,1299.08
2016-01-15,1389.50,1394.74,1341.50,1351.50,8896600,1312.67
2016-01-14,1337.00,1404.00,1325.50,1390.00,10296100,1350.07
2016-01-13,1364.50,1398.70,1335.50,1345.50,10506600,1306.85
2016-01-12,1354.50,1395.50,1340.50,1349.00,9127600,1310.25
2016-01-11,1359.00,1393.50,1347.50,1355.00,13928800,1316.07
2016-01-08,1465.00,1465.00,1375.50,1375.50,15259100,1335.98
2016-01-07,1464.00,1474.00,1417.50,1462.00,12608300,1420.00
2016-01-06,1535.00,1540.15,1483.00,1504.00,7679300,1460.79
2016-01-05,1565.00,1573.00,1526.50,1535.00,6000200,1490.90
2016-01-04,1558.00,1560.50,1511.00,1538.00,7615100,1493.82
2015-12-31,1556.50,1560.00,1540.50,1543.00,1614800,1498.67
2015-12-30,1577.50,1579.00,1557.00,1563.00,4112800,1518.10
2015-12-29,1562.00,1582.00,1545.50,1579.00,5789500,1533.64
2015-12-28,1571.00,1571.00,1571.00,1571.00,000,1525.87
2015-12-25,1571.00,1571.00,1571.00,1571.00,000,1525.87
2015-12-24,1576.50,1586.00,1567.00,1571.00,1319900,1525.87
2015-12-23,1504.50,1570.50,1499.50,1564.50,8234100,1519.55
2015-12-22,1464.50,1496.50,1454.50,1493.00,9293500,1450.11
2015-12-21,1464.00,1480.00,1450.50,1450.50,11945200,1408.83
2015-12-18,1449.00,1487.50,1445.50,1469.00,12159300,1426.80
2015-12-17,1498.50,1500.00,1453.50,1460.00,9329200,1418.06
2015-12-16,1477.50,1493.49,1463.00,1475.00,9359800,1432.63
2015-12-15,1452.50,1482.00,1449.00,1473.50,10213500,1431.17
2015-12-14,1470.50,1478.00,1423.00,1428.00,10589600,1386.98
2015-12-11,1528.00,1531.50,1459.36,1460.00,9733100,1418.06
2015-12-10,1552.00,1558.00,1521.00,1533.50,6737400,1489.44
2015-12-09,1527.00,1575.00,1496.00,1551.50,7826200,1506.93
2015-12-08,1524.00,1542.50,1492.00,1526.00,11743200,1482.16
2015-12-07,1601.50,1601.50,1523.50,1526.50,8364100,1482.65
2015-12-04,1629.50,1671.00,1589.00,1599.50,7021000,1553.55
2015-12-03,1682.50,1699.00,1629.00,1629.00,9518700,1582.20
2015-12-02,1659.00,1702.50,1652.50,1680.50,7434100,1632.22
