Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1211.00,1216.00,1203.00,1209.00,2879400,1209.00
2016-02-17,1185.00,1207.00,1185.00,1207.00,3065800,1207.00
2016-02-16,1163.00,1186.00,1157.00,1183.00,3397100,1183.00
2016-02-15,1155.00,1170.00,1149.00,1162.00,2822100,1162.00
2016-02-12,1132.00,1140.00,1121.00,1139.00,6522300,1139.00
2016-02-11,1143.00,1145.00,1125.00,1132.00,3636700,1132.00
2016-02-10,1152.00,1163.00,1138.00,1151.00,2700400,1151.00
2016-02-09,1127.00,1152.00,1125.00,1149.00,4911000,1149.00
2016-02-08,1173.00,1175.00,1119.00,1126.00,4500400,1126.00
2016-02-05,1205.00,1208.00,1167.00,1170.00,3627500,1170.00
2016-02-04,1215.00,1220.00,1196.00,1199.00,4030400,1199.00
2016-02-03,1217.00,1222.00,1194.00,1199.00,2815900,1199.00
2016-02-02,1229.00,1236.00,1208.00,1220.00,3685900,1220.00
2016-02-01,1239.00,1239.00,1214.00,1228.00,2833100,1228.00
2016-01-29,1201.00,1230.00,1196.00,1230.00,3489400,1230.00
2016-01-28,1197.00,1202.00,1180.00,1189.00,2378800,1189.00
2016-01-27,1177.00,1201.00,1174.00,1199.00,3869600,1199.00
2016-01-26,1176.00,1179.00,1167.00,1173.00,2618100,1173.00
2016-01-25,1195.00,1195.00,1181.00,1189.00,2316200,1189.00
2016-01-22,1166.00,1188.00,1162.00,1186.00,2633800,1186.00
2016-01-21,1137.00,1158.00,1136.00,1146.00,4096400,1146.00
2016-01-20,1146.00,1150.00,1128.00,1135.00,3314700,1135.00
2016-01-19,1160.00,1168.00,1154.00,1165.00,1875700,1165.00
2016-01-18,1159.00,1164.00,1140.00,1144.00,3044700,1144.00
2016-01-15,1170.00,1178.00,1148.00,1159.00,3944800,1159.00
2016-01-14,1170.00,1175.00,1155.00,1171.00,2999500,1171.00
2016-01-13,1184.00,1186.00,1175.00,1180.00,2630200,1180.00
2016-01-12,1164.00,1181.00,1158.00,1176.00,2175700,1176.00
2016-01-11,1163.00,1167.00,1152.00,1160.00,2689500,1160.00
2016-01-08,1171.00,1177.00,1165.00,1169.00,3157300,1169.00
2016-01-07,1141.00,1167.00,1137.00,1166.00,3855800,1166.00
2016-01-06,1171.00,1173.00,1153.00,1168.00,1489700,1168.00
2016-01-05,1172.00,1185.00,1164.00,1170.00,1185000,1170.00
2016-01-04,1187.00,1191.00,1165.00,1170.00,2814300,1170.00
2015-12-31,1197.00,1204.00,1195.00,1197.00,553700,1197.00
2015-12-30,1201.00,1207.80,1197.00,1203.00,1146300,1203.00
2015-12-29,1187.00,1210.00,1172.00,1201.00,2236400,1201.00
2015-12-24,1185.00,1186.00,1173.00,1180.00,240800,1180.00
2015-12-23,1169.00,1183.20,1169.00,1182.00,1422400,1182.00
2015-12-22,1171.00,1171.00,1146.80,1163.00,1734000,1163.00
2015-12-21,1154.00,1177.00,1154.00,1163.00,1947400,1163.00
2015-12-18,1168.00,1169.00,1155.00,1159.00,2715400,1159.00
2015-12-17,1195.00,1195.00,1153.93,1174.00,2971700,1174.00
2015-12-16,1169.00,1176.00,1164.00,1172.00,2461700,1172.00
2015-12-15,1147.00,1167.00,1142.00,1164.00,2953700,1164.00
2015-12-14,1139.00,1153.00,1137.00,1137.00,2890700,1137.00
2015-12-11,1162.00,1166.00,1138.00,1139.00,2380000,1139.00
2015-12-10,1167.00,1167.00,1153.00,1157.00,2230500,1157.00
2015-12-09,1183.00,1186.60,1168.20,1170.00,2339200,1170.00
2015-12-08,1195.00,1204.00,1181.00,1186.00,2557200,1186.00
2015-12-07,1193.00,1205.00,1190.00,1193.00,1875000,1193.00
2015-12-04,1186.00,1188.00,1174.00,1183.00,2903200,1183.00
2015-12-03,1223.00,1232.00,1193.00,1194.00,3808500,1194.00
2015-12-02,1210.00,1223.00,1206.00,1220.00,2270900,1220.00
2015-12-01,1201.00,1208.20,1198.00,1204.00,1779500,1204.00
2015-11-30,1198.00,1208.00,1189.00,1198.00,3410400,1198.00
2015-11-27,1180.00,1200.00,1180.00,1197.00,1802100,1197.00
2015-11-26,1178.00,1185.13,1173.00,1183.00,1972800,1183.00
2015-11-25,1158.00,1179.00,1158.00,1176.00,1995900,1176.00
2015-11-24,1165.00,1167.60,1147.00,1156.00,2961400,1156.00
2015-11-23,1173.00,1183.00,1168.00,1169.00,2364900,1169.00
2015-11-20,1188.00,1191.00,1177.00,1179.00,2497900,1179.00
2015-11-19,1181.00,1191.00,1176.00,1186.00,1867300,1186.00
2015-11-18,1170.00,1177.00,1160.00,1175.00,2598900,1175.00
2015-11-17,1156.00,1173.00,1151.00,1170.00,3000600,1170.00
2015-11-16,1136.00,1150.00,1136.00,1147.00,1760800,1147.00
2015-11-13,1162.00,1162.00,1141.40,1147.00,1823100,1147.00
2015-11-12,1168.00,1178.00,1164.00,1165.00,2707400,1165.00
2015-11-11,1155.00,1171.00,1151.00,1171.00,2166500,1171.00
2015-11-10,1161.00,1162.00,1141.00,1149.00,2113700,1149.00
2015-11-09,1164.00,1171.00,1155.00,1155.00,1824700,1155.00
2015-11-06,1170.00,1171.00,1157.00,1161.00,3352000,1161.00
2015-11-05,1161.00,1176.00,1159.00,1170.00,4952600,1170.00
2015-11-04,1166.00,1174.00,1159.00,1163.00,1863200,1163.00
2015-11-03,1164.00,1168.00,1159.00,1162.00,1709600,1162.00
2015-11-02,1159.00,1164.00,1157.00,1158.00,1797900,1158.00
2015-10-30,1166.00,1169.00,1156.00,1162.00,2603700,1162.00
2015-10-29,1162.00,1165.00,1154.00,1163.00,2580600,1163.00
2015-10-28,1165.00,1167.00,1159.00,1160.00,2348600,1160.00
2015-10-27,1170.00,1178.00,1158.00,1158.00,1767500,1158.00
2015-10-26,1174.00,1174.00,1156.00,1168.00,2123600,1168.00
2015-10-23,1160.00,1181.00,1158.00,1174.00,2834200,1174.00
2015-10-22,1147.00,1160.00,1139.80,1157.00,3269800,1157.00
2015-10-21,1158.00,1163.00,1148.00,1153.00,3049100,1153.00
2015-10-20,1157.00,1165.00,1154.00,1157.00,2355600,1157.00
2015-10-19,1147.00,1158.00,1146.00,1157.00,1948200,1157.00
2015-10-16,1151.00,1153.40,1138.00,1152.00,3731100,1152.00
2015-10-15,1131.00,1148.00,1123.00,1146.00,2679700,1146.00
2015-10-14,1128.00,1131.00,1119.00,1126.00,1901200,1126.00
2015-10-13,1133.00,1135.00,1121.20,1130.00,2054000,1130.00
2015-10-12,1133.00,1134.42,1118.00,1132.00,2558700,1132.00
2015-10-09,1148.00,1148.00,1127.00,1134.00,3345000,1134.00
2015-10-08,1133.00,1144.00,1130.00,1142.00,4003200,1142.00
2015-10-07,1152.00,1156.00,1129.00,1134.00,4184400,1134.00
2015-10-06,1145.00,1153.00,1143.00,1148.00,2743500,1148.00
2015-10-05,1147.00,1148.00,1134.00,1142.00,3058600,1142.00
2015-10-02,1128.00,1139.00,1114.00,1129.00,3478600,1129.00
2015-10-01,1141.00,1151.00,1117.00,1119.00,4499300,1119.00
2015-09-30,1114.00,1135.95,1106.00,1132.00,5411700,1132.00
2015-09-29,1096.00,1108.00,1093.00,1095.00,4181500,1095.00
2015-09-28,1108.00,1115.50,1102.00,1106.00,4543600,1106.00
2015-09-25,1089.00,1112.00,1084.00,1108.00,3842300,1108.00
2015-09-24,1082.00,1099.00,1074.00,1077.00,4922200,1077.00
2015-09-23,1050.00,1077.00,1047.00,1070.00,2429600,1070.00
2015-09-22,1062.00,1070.00,1052.00,1052.00,3049300,1052.00
2015-09-21,1058.00,1081.00,1058.00,1068.00,2066200,1068.00
2015-09-18,1071.00,1074.00,1054.00,1065.00,4207400,1065.00
2015-09-17,1071.00,1081.00,1071.00,1073.00,2109300,1073.00
2015-09-16,1064.00,1079.00,1064.00,1070.00,2708200,1070.00
2015-09-15,1054.00,1064.00,1044.71,1057.00,3243000,1057.00
2015-09-14,1079.00,1079.00,1054.00,1054.00,3258500,1054.00
2015-09-11,1069.00,1069.40,1053.00,1054.00,2018400,1054.00
2015-09-10,1066.00,1080.00,1061.00,1066.00,2736000,1066.00
2015-09-09,1076.00,1081.00,1071.00,1074.00,3009500,1074.00
2015-09-08,1055.00,1069.00,1052.00,1060.00,1738000,1060.00
2015-09-07,1052.00,1055.00,1046.00,1050.00,1521100,1050.00
2015-09-04,1048.00,1056.00,1042.00,1043.00,3420600,1043.00
2015-09-03,1038.00,1061.00,1033.00,1060.00,4896000,1060.00
2015-09-02,1022.00,1038.00,1019.00,1030.00,3009700,1030.00
2015-09-01,1033.00,1042.00,1015.00,1019.00,3877600,1019.00
