Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,607.50,608.00,598.50,605.50,3270700,593.60
2016-02-17,579.00,606.00,579.00,602.00,2878400,590.169
2016-02-16,600.00,600.00,595.00,597.50,2453100,585.757
2016-02-15,602.50,602.50,592.00,596.00,1366300,584.287
2016-02-12,584.50,594.00,583.00,594.00,13782700,582.326
2016-02-11,590.00,594.00,586.00,586.50,1940500,574.973
2016-02-10,585.00,596.50,585.00,592.00,2576900,580.365
2016-02-09,608.50,608.50,589.00,589.00,3074100,577.424
2016-02-08,594.50,601.50,587.00,587.00,1462800,575.464
2016-02-05,603.50,604.50,599.665,600.00,1423200,588.208
2016-02-04,599.50,604.50,590.50,601.00,1830300,589.188
2016-02-03,593.00,600.50,593.00,594.00,1729100,582.326
2016-02-02,601.00,601.00,596.00,599.50,2322100,587.718
2016-02-01,602.50,609.00,596.00,599.50,1095200,587.718
2016-01-29,600.00,604.50,595.00,600.00,3706600,588.208
2016-01-28,603.00,603.00,590.50,597.00,1266700,585.267
2016-01-27,600.00,604.00,600.00,601.50,1446000,589.679
2016-01-26,596.00,607.00,596.00,606.00,1625300,594.09
2016-01-25,607.00,608.00,600.00,608.00,1455400,596.051
2016-01-22,610.00,613.56,600.00,603.50,2116100,591.639
2016-01-21,602.50,607.00,596.32,605.00,1766300,593.11
2016-01-20,599.00,606.00,599.00,601.50,2432800,589.679
2016-01-19,615.00,615.007,606.65,611.00,1963300,598.992
2016-01-18,611.50,612.00,604.50,605.00,1464300,593.11
2016-01-15,603.50,610.50,597.50,610.50,2602800,598.502
2016-01-14,602.00,608.00,600.50,602.00,2079700,590.169
2016-01-13,612.00,614.00,599.677,610.00,1860300,598.012
2016-01-12,600.00,613.00,594.50,610.50,3063000,598.502
2016-01-11,600.50,604.00,597.50,599.00,2184100,587.228
2016-01-08,602.00,602.154,596.00,598.50,1397700,586.738
2016-01-07,596.00,600.50,593.09,598.00,1148000,586.247
2016-01-06,594.50,604.00,594.00,603.50,2331100,591.639
2016-01-05,600.00,602.00,596.50,603.50,2097900,591.639
2016-01-04,602.00,602.50,591.50,598.00,3872200,586.247
2015-12-31,597.50,608.00,596.50,604.50,292900,592.62
2015-12-30,599.50,605.50,599.50,605.00,4889300,593.11
2015-12-29,603.00,604.00,597.00,602.00,1243700,590.169
2015-12-28,602.50,602.50,602.50,602.50,000,590.659
2015-12-25,602.50,602.50,602.50,602.50,000,590.659
2015-12-24,597.00,602.50,596.87,602.50,239500,590.659
2015-12-23,600.00,600.50,594.50,599.50,737600,587.718
2015-12-22,594.50,598.50,590.50,595.00,900200,583.306
2015-12-21,589.00,598.50,589.00,595.00,1474100,583.306
2015-12-18,592.50,597.00,590.50,594.50,1710700,582.816
2015-12-17,595.00,600.09,593.00,596.00,1815600,584.287
2015-12-16,598.00,599.50,591.00,595.00,1844100,583.306
2015-12-15,600.00,600.00,593.50,595.00,2673400,583.306
2015-12-14,590.00,598.00,590.00,592.50,2314300,580.855
2015-12-11,603.50,609.00,592.00,598.00,2231300,586.247
2015-12-10,578.50,600.59,578.50,597.00,4201600,585.267
2015-12-09,572.00,587.00,572.00,583.00,2614900,571.542
2015-12-08,573.50,578.50,572.00,577.00,1098100,565.66
2015-12-07,579.00,586.50,579.00,580.00,2279100,568.601
2015-12-04,573.50,580.00,572.00,578.00,1172400,566.64
2015-12-03,582.00,585.27,574.50,577.50,1596200,566.15
2015-12-02,586.00,586.00,578.50,581.00,1614000,569.581
2015-12-01,576.50,582.00,576.114,580.00,4014900,568.601
2015-11-30,570.50,579.50,569.00,579.50,1385300,568.111
2015-11-27,568.50,571.11,564.555,570.50,309400,559.288
2015-11-26,574.00,574.50,567.40,571.00,488400,559.778
2015-11-25,570.00,571.50,566.00,569.50,807000,558.308
2015-11-24,558.50,571.50,558.50,568.00,868400,556.837
2015-11-23,562.50,571.00,562.50,567.00,923700,555.857
2015-11-20,558.00,570.00,555.00,570.00,1013800,558.798
2015-11-19,554.00,563.50,553.50,560.50,2220900,549.484
2015-11-18,556.00,556.00,551.00,554.50,4483600,543.602
2015-11-17,552.00,556.00,550.00,554.50,785600,543.602
2015-11-16,538.00,551.50,538.00,550.00,1948500,539.191
2015-11-13,549.50,549.50,539.50,545.50,2073300,534.779
2015-11-12,548.00,553.50,545.00,548.00,483500,537.23
2015-11-11,549.50,552.50,547.00,551.00,484400,540.171
2015-11-10,549.00,550.50,540.50,550.00,651000,539.191
2015-11-09,548.50,555.50,543.50,548.00,633400,537.23
2015-11-06,543.50,552.50,542.50,549.50,814800,538.701
2015-11-05,547.50,547.50,542.50,547.00,454200,536.25
2015-11-04,546.50,551.00,542.00,544.50,519000,533.799
2015-11-03,552.00,552.00,542.21,547.50,470400,536.74
2015-11-02,540.00,552.00,537.50,548.00,743900,537.23
