Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1940.00,1943.00,1868.50,1888.50,7634400,1814.408
2016-02-17,1869.50,1953.50,1853.50,1951.00,6198200,1874.456
2016-02-16,1888.50,1926.50,1813.50,1852.00,5148100,1779.34
2016-02-15,1872.00,1898.00,1800.50,1851.00,5597100,1778.379
2016-02-12,1705.50,1851.00,1701.50,1847.50,10174700,1775.016
2016-02-11,1715.00,1732.50,1604.50,1705.00,7873200,1638.107
2016-02-10,1771.00,1788.50,1732.50,1765.00,5005300,1695.753
2016-02-09,1822.50,1830.50,1705.00,1751.00,5838800,1682.302
2016-02-08,1850.00,1893.00,1793.00,1840.50,7536000,1768.291
2016-02-05,1851.00,1886.00,1766.00,1818.00,8904000,1746.674
2016-02-04,1780.00,1891.50,1747.50,1858.00,9236000,1785.104
2016-02-03,1616.50,1706.03,1607.00,1685.00,6060800,1618.892
2016-02-02,1668.50,1677.00,1589.00,1617.50,6409900,1554.04
2016-02-01,1720.00,1724.50,1646.50,1696.00,3967400,1629.46
2016-01-29,1731.00,1742.50,1651.50,1714.00,5844800,1646.754
2016-01-28,1704.50,1765.00,1684.50,1700.00,6969400,1633.303
2016-01-27,1670.50,1717.00,1646.50,1717.00,6066300,1649.636
2016-01-26,1584.00,1693.50,1570.50,1688.50,5970000,1622.254
2016-01-25,1667.00,1669.50,1594.50,1609.00,5908700,1545.873
2016-01-22,1711.50,1742.00,1637.50,1653.50,8044600,1588.628
2016-01-21,1593.50,1680.50,1576.50,1672.00,6804800,1606.402
2016-01-20,1610.50,1617.00,1557.00,1577.50,6175600,1515.609
2016-01-19,1677.00,1726.00,1647.50,1657.00,5743300,1591.99
2016-01-18,1629.50,1670.00,1611.50,1632.50,5100700,1568.451
2016-01-15,1714.00,1724.00,1636.00,1643.50,7765500,1579.02
2016-01-14,1672.00,1755.50,1652.50,1735.00,6571000,1666.93
2016-01-13,1671.50,1738.50,1665.68,1683.50,6226400,1617.451
2016-01-12,1682.50,1730.50,1637.50,1652.00,6504400,1587.186
2016-01-11,1723.50,1758.00,1693.00,1697.00,6158500,1630.421
2016-01-08,1815.00,1831.00,1739.00,1739.00,5984500,1670.773
2016-01-07,1780.00,1801.50,1740.00,1784.50,7370500,1714.488
2016-01-06,1926.00,1927.00,1820.00,1846.50,6030500,1774.056
2016-01-05,1926.00,1970.50,1897.50,1939.50,4257500,1863.407
2016-01-04,1960.00,1960.00,1892.50,1902.50,5641500,1827.858
2015-12-31,1959.00,1981.50,1959.00,1979.50,887100,1901.838
2015-12-30,1966.00,1989.00,1941.50,1959.00,2735200,1882.142
2015-12-29,2010.00,2014.50,1952.00,1978.00,3612300,1900.396
2015-12-28,2006.50,2006.50,2006.50,2006.50,000,1927.778
2015-12-25,2006.50,2006.50,2006.50,2006.50,000,1927.778
2015-12-24,2018.00,2032.45,1986.50,2006.50,770800,1927.778
2015-12-23,1940.50,2025.00,1940.50,2014.50,5280000,1935.464
2015-12-22,1875.00,1902.50,1873.50,1898.50,2749500,1824.015
2015-12-21,1853.00,1938.00,1853.00,1863.00,4865800,1789.908
2015-12-18,1852.00,1891.50,1848.00,1862.50,10248300,1789.428
2015-12-17,1920.00,1933.00,1859.00,1859.00,5102400,1786.065
2015-12-16,1890.00,1937.50,1871.50,1899.50,5590600,1824.976
2015-12-15,1870.00,1910.00,1860.00,1879.50,4885700,1805.761
2015-12-14,1892.00,1920.00,1843.00,1848.00,5244000,1775.497
2015-12-11,1971.50,2005.50,1871.00,1885.50,6349200,1811.525
2015-12-10,1975.00,2032.50,1945.50,1971.00,5711600,1893.671
2015-12-09,1945.00,2001.26,1872.00,1966.50,10425500,1889.348
2015-12-08,2020.00,2050.00,1893.00,1893.00,11090000,1818.731
2015-12-07,2080.50,2102.50,2056.00,2066.00,4565500,1984.944
2015-12-04,2100.00,2145.50,2063.50,2081.00,6529000,1999.355
2015-12-03,2180.00,2180.00,2114.00,2114.00,7065000,2031.061
2015-12-02,2220.00,2231.50,2174.00,2188.50,4406800,2102.638
2015-12-01,2222.00,2242.00,2195.50,2214.50,4074000,2127.618
2015-11-30,2190.00,2221.00,2151.00,2208.50,6328900,2121.853
2015-11-27,2250.00,2250.00,2182.52,2199.00,4716500,2112.726
2015-11-26,2246.00,2300.00,2237.50,2271.00,3305900,2181.901
2015-11-25,2271.50,2291.50,2227.50,2249.50,4022400,2161.244
2015-11-24,2265.50,2294.00,2230.00,2274.00,4419700,2184.783
2015-11-23,2270.00,2325.00,2239.00,2280.00,5680900,2190.548
2015-11-20,2296.00,2331.50,2276.50,2296.00,4659400,2205.92
2015-11-19,2283.00,2328.50,2277.00,2290.00,6959200,2200.156
2015-11-18,2200.00,2272.50,2190.50,2260.50,4913900,2171.813
2015-11-17,2245.00,2288.50,2204.50,2214.00,6176400,2127.137
2015-11-16,2233.50,2302.00,2215.00,2221.00,5168800,2133.863
2015-11-13,2240.00,2283.00,2224.00,2244.00,4765200,2155.96
2015-11-12,2315.00,2348.50,2235.50,2238.00,6022900,2150.196
2015-11-11,2320.00,2358.50,2286.50,2307.00,4236500,2216.489
2015-11-10,2308.00,2324.00,2257.50,2318.50,6034000,2227.537
2015-11-09,2276.50,2346.00,2265.50,2291.00,6051100,2201.116
2015-11-06,2329.50,2352.00,2257.00,2282.00,7262700,2192.469
2015-11-05,2350.00,2363.50,2284.50,2299.00,6179900,2208.802
2015-11-04,2369.50,2434.00,2367.50,2370.50,5770900,2277.497
2015-11-03,2326.00,2348.15,2278.50,2347.50,5771600,2255.40
2015-11-02,2334.00,2370.00,2303.50,2321.50,4378000,2230.42
