Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,449.70,451.50,446.599,449.20,2333000,449.20
2016-02-17,441.00,450.30,439.70,449.70,2395100,449.70
2016-02-16,433.70,441.20,430.576,441.10,3430800,441.10
2016-02-15,431.60,434.70,430.151,432.10,2680900,432.10
2016-02-12,417.00,427.50,412.80,427.50,11312100,427.50
2016-02-11,417.60,420.10,413.00,413.30,2826500,413.30
2016-02-10,423.40,425.30,415.40,422.10,2917900,422.10
2016-02-09,424.70,426.70,415.10,422.40,5328400,422.40
2016-02-08,436.30,439.00,422.60,423.90,3303200,423.90
2016-02-05,450.10,452.10,433.80,435.30,4617600,435.30
2016-02-04,452.80,454.10,445.90,449.40,2503900,449.40
2016-02-03,452.80,457.14,445.00,448.10,2716400,448.10
2016-02-02,461.00,463.50,452.80,454.90,2891200,454.90
2016-02-01,459.90,462.00,455.30,460.50,2965400,460.50
2016-01-29,454.50,459.20,449.90,459.20,3246000,459.20
2016-01-28,455.20,457.60,447.20,449.20,2654900,449.20
2016-01-27,453.90,457.50,448.40,457.50,3389500,457.50
2016-01-26,443.80,455.70,442.00,453.30,3095900,453.30
2016-01-25,451.40,454.60,446.20,448.30,6259300,448.30
2016-01-22,444.80,450.10,439.90,448.70,4664000,448.70
2016-01-21,427.00,443.30,427.00,438.70,7056900,438.70
2016-01-20,430.70,433.80,419.90,421.50,4580200,421.50
2016-01-19,435.10,439.20,429.565,436.60,2565500,436.60
2016-01-18,428.50,435.061,428.044,429.50,3624100,429.50
2016-01-15,437.80,439.70,427.20,427.90,4575200,427.90
2016-01-14,439.00,440.00,430.50,437.60,4112200,437.60
2016-01-13,443.40,449.50,442.10,443.30,4241800,443.30
2016-01-12,436.80,442.80,436.00,440.10,3260400,440.10
2016-01-11,437.90,440.90,431.80,435.10,2838500,435.10
2016-01-08,440.00,445.00,437.50,439.40,2437200,439.40
2016-01-07,435.00,440.20,430.70,438.60,3858900,438.60
2016-01-06,445.00,450.563,441.00,443.00,5762300,443.00
2016-01-05,441.20,450.00,437.20,437.00,2520600,437.00
2016-01-04,442.10,442.10,434.60,437.00,2434900,437.00
2015-12-31,454.30,454.30,441.40,444.00,934100,444.00
2015-12-30,453.70,455.40,448.50,449.00,1637600,449.00
2015-12-29,451.30,457.20,449.90,455.40,2021700,455.40
2015-12-24,451.20,451.90,449.01,450.00,292200,450.00
2015-12-23,446.30,449.40,446.10,448.90,1723200,448.90
2015-12-22,446.20,446.40,439.50,443.80,1762600,443.80
2015-12-21,443.50,452.074,441.10,442.90,2965800,442.90
2015-12-18,441.70,445.30,441.30,443.00,4892800,443.00
2015-12-17,449.60,449.60,443.30,444.00,3042500,444.00
2015-12-16,445.80,447.10,442.60,444.00,2085800,444.00
2015-12-15,441.40,445.70,440.972,444.00,4675500,444.00
2015-12-14,445.70,450.10,437.70,437.70,2630500,437.70
2015-12-11,452.00,452.00,444.705,445.70,2645500,445.70
2015-12-10,460.00,460.00,451.60,452.40,2468800,452.40
2015-12-09,457.70,465.30,457.70,459.80,3427800,459.80
2015-12-08,466.10,467.70,452.40,455.20,3313900,455.20
2015-12-07,469.00,469.70,465.10,465.40,1881900,465.40
2015-12-04,465.90,474.90,464.10,466.00,1994500,466.00
2015-12-03,480.40,487.60,465.90,465.90,4188800,465.90
2015-12-02,490.70,493.00,485.00,486.40,2248900,479.40
2015-12-01,489.80,494.20,486.00,489.20,3066200,482.16
2015-11-30,487.30,494.10,482.60,486.10,15387000,479.104
2015-11-27,490.90,491.591,487.128,489.60,1989000,482.554
2015-11-26,479.00,495.161,476.60,490.90,3054200,483.835
2015-11-25,485.30,487.50,479.30,481.80,3677500,474.866
2015-11-24,490.00,490.00,481.50,487.40,4444800,480.386
2015-11-23,485.50,492.60,484.30,491.10,3209700,484.032
2015-11-20,479.00,488.60,475.90,488.60,6165200,481.568
2015-11-19,470.10,484.50,469.70,476.70,6753400,469.84
2015-11-18,452.50,455.90,451.80,454.20,5413400,447.663
2015-11-17,446.30,456.10,446.30,454.70,4434100,448.156
2015-11-16,440.20,442.80,435.80,441.80,2574100,435.442
2015-11-13,440.10,446.70,438.90,444.10,3225300,437.709
2015-11-12,444.30,447.70,441.00,441.00,1815200,434.653
2015-11-11,444.10,448.60,442.10,443.40,2038800,437.019
2015-11-10,449.50,450.80,444.30,444.80,3455500,438.399
2015-11-09,442.90,447.60,441.94,443.90,3594400,437.512
2015-11-06,438.80,447.00,437.36,442.00,3553500,435.639
2015-11-05,437.20,439.10,435.10,438.00,3291400,431.697
2015-11-04,441.00,443.60,436.50,437.80,2263400,431.499
2015-11-03,445.20,446.80,439.05,440.30,2819000,433.963
2015-11-02,442.00,446.10,441.50,445.30,2066900,438.891
2015-10-30,452.40,454.60,443.50,445.30,3345000,438.891
2015-10-29,451.30,451.62,447.60,451.30,3905300,444.805
2015-10-28,450.90,453.80,449.00,451.40,2476400,444.904
2015-10-27,451.20,456.10,449.70,450.40,2226400,443.918
2015-10-26,448.80,454.30,447.50,453.30,2750300,446.776
2015-10-23,447.10,450.20,443.30,448.60,4213300,442.144
2015-10-22,444.50,447.40,443.00,445.60,4652800,439.187
2015-10-21,443.60,448.40,441.00,442.00,13525900,435.639
2015-10-20,438.20,443.90,437.20,441.30,3950700,434.949
2015-10-19,445.00,448.50,436.40,437.90,4382400,431.598
2015-10-16,454.70,455.50,445.40,445.80,4216100,439.384
2015-10-15,451.80,454.20,448.70,453.00,6228400,446.481
2015-10-14,450.90,453.70,447.50,448.50,4785100,442.045
2015-10-13,455.00,456.20,441.10,452.50,20484700,445.988
2015-10-12,468.20,473.00,466.28,472.20,2210400,465.404
2015-10-09,465.00,472.20,463.90,469.50,3208800,462.743
2015-10-08,452.10,461.50,451.60,461.50,2683600,454.858
2015-10-07,460.00,462.00,449.50,452.20,3702500,445.692
2015-10-06,459.70,466.60,456.90,459.70,2816200,453.084
2015-10-05,461.60,462.00,456.30,457.90,2790300,451.31
2015-10-02,455.30,458.10,451.60,456.00,2120100,449.438
2015-10-01,461.60,464.30,452.80,452.90,3032100,446.382
2015-09-30,457.60,460.008,455.10,458.80,2381900,452.197
2015-09-29,451.50,457.40,450.20,451.60,2127000,445.101
2015-09-28,459.30,461.622,454.20,454.20,1383200,447.663
2015-09-25,457.50,461.80,455.20,460.20,2801300,453.577
2015-09-24,457.30,460.30,451.50,452.40,1965500,445.889
2015-09-23,456.80,463.50,456.464,457.70,2298300,451.113
