Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,681.00,691.50,656.125,661.00,9277500,661.00
2016-02-17,631.00,678.00,629.00,678.00,14430700,678.00
2016-02-16,618.50,632.00,611.50,631.50,9787400,631.50
2016-02-15,619.50,624.50,594.00,615.00,12199800,615.00
2016-02-12,600.00,629.00,585.00,606.00,22498000,606.00
2016-02-11,521.50,536.75,506.50,530.00,10383900,530.00
2016-02-10,514.00,528.00,507.00,528.00,9853900,528.00
2016-02-09,515.00,518.50,497.00,512.50,7603500,512.50
2016-02-08,521.50,527.50,506.50,515.00,10233000,515.00
2016-02-05,527.00,541.00,517.00,529.00,8360700,529.00
2016-02-04,522.00,526.50,510.00,523.00,8426300,523.00
2016-02-03,531.00,532.50,504.50,513.00,6816500,513.00
2016-02-02,552.50,552.50,522.00,531.50,7205900,531.50
2016-02-01,560.50,564.00,543.32,555.00,5937500,555.00
2016-01-29,550.00,555.00,537.50,555.00,7494700,555.00
2016-01-28,540.00,549.00,535.50,542.50,6497900,542.50
2016-01-27,542.50,548.00,534.50,539.50,7110400,539.50
2016-01-26,537.50,546.00,535.50,543.50,5087900,543.50
2016-01-25,546.50,549.50,540.50,544.00,4933600,544.00
2016-01-22,545.00,552.00,540.00,543.00,6159600,543.00
2016-01-21,530.00,535.50,513.71,534.50,12056500,534.50
2016-01-20,539.00,541.50,528.00,531.00,9260400,531.00
2016-01-19,548.50,557.50,547.50,550.00,4401400,550.00
2016-01-18,542.00,550.00,536.50,538.50,4589500,538.50
2016-01-15,554.00,559.50,535.50,544.00,8395900,544.00
2016-01-14,554.00,560.50,544.185,556.50,5744600,556.50
2016-01-13,563.00,568.87,556.685,560.50,3143400,560.50
2016-01-12,554.50,564.00,549.50,556.00,4819300,556.00
2016-01-11,558.00,562.50,552.00,552.00,9133400,552.00
2016-01-08,550.00,564.00,547.00,559.50,11434400,559.50
2016-01-07,544.00,548.50,541.00,546.00,7599600,546.00
2016-01-06,564.00,568.00,554.78,560.00,4072000,560.00
2016-01-05,563.50,569.22,556.00,560.00,3082700,560.00
2016-01-04,565.50,569.18,558.00,560.00,4249900,560.00
2015-12-31,580.50,583.16,573.50,575.00,1073500,575.00
2015-12-30,587.00,587.00,578.50,579.50,3619900,579.50
2015-12-29,596.00,596.00,583.50,586.50,4380200,586.50
2015-12-24,596.00,597.00,589.048,595.00,552500,595.00
2015-12-23,571.00,598.50,567.535,590.50,7470100,590.50
2015-12-22,576.00,577.00,559.00,565.50,5689500,565.50
2015-12-21,571.50,578.50,566.02,569.50,4641300,569.50
2015-12-18,567.50,576.505,565.50,576.50,9258000,576.50
2015-12-17,577.00,580.00,570.751,573.50,6547600,573.50
2015-12-16,543.50,567.50,542.00,566.50,10182400,566.50
2015-12-15,542.50,542.50,530.05,540.00,9279500,540.00
2015-12-14,557.50,566.50,537.50,537.50,7774500,537.50
2015-12-11,567.50,569.50,547.234,552.00,8093100,552.00
2015-12-10,577.50,586.50,565.00,567.00,11109100,567.00
2015-12-09,594.00,598.00,573.00,578.50,14689500,578.50
2015-12-08,599.00,603.00,577.59,590.00,12239800,590.00
2015-12-07,599.00,616.00,596.95,610.50,5946600,610.50
2015-12-04,592.00,603.50,587.50,594.50,5678600,594.50
2015-12-03,600.00,606.50,597.50,598.50,7777500,598.50
2015-12-02,603.50,606.50,600.75,601.00,4941200,601.00
2015-12-01,608.50,615.75,601.00,604.00,6195700,604.00
2015-11-30,607.00,610.00,600.00,606.50,10062200,606.50
2015-11-27,599.50,613.00,598.00,606.50,6338500,606.50
2015-11-26,607.00,614.00,596.50,601.50,6917800,601.50
2015-11-25,588.00,616.50,560.00,607.00,10396100,607.00
2015-11-24,567.00,590.437,556.00,588.00,13098100,588.00
2015-11-23,552.00,574.845,552.00,569.00,9911300,569.00
2015-11-20,542.00,553.50,539.00,552.00,14532500,552.00
2015-11-19,543.50,555.00,536.00,541.00,12759300,541.00
2015-11-18,551.50,554.50,538.00,543.00,7315000,543.00
2015-11-17,532.50,557.834,532.00,555.00,11782900,555.00
2015-11-16,505.00,536.35,504.50,528.00,15975900,528.00
2015-11-13,534.50,536.86,510.50,513.50,19879900,513.50
2015-11-12,547.00,567.00,511.475,536.50,69990300,536.50
2015-11-11,675.00,690.00,664.00,667.00,5529000,667.00
2015-11-10,699.50,701.00,666.944,672.00,6959400,672.00
2015-11-09,704.00,708.00,696.00,698.50,8801000,698.50
2015-11-06,700.00,703.00,693.50,699.00,8997600,699.00
2015-11-05,706.50,709.50,693.50,700.00,6452200,700.00
2015-11-04,697.00,716.50,697.00,709.50,4828000,709.50
2015-11-03,692.00,698.00,689.50,695.00,3755100,695.00
2015-11-02,679.50,692.50,679.50,691.50,3992600,691.50
2015-10-30,683.00,697.50,676.25,687.50,5711300,687.50
2015-10-29,675.00,680.00,671.36,679.00,5245700,679.00
2015-10-28,668.00,677.00,655.00,673.50,6290600,673.50
2015-10-27,681.00,686.50,668.50,674.50,5642200,674.50
2015-10-26,685.00,699.50,682.00,683.00,3266200,683.00
2015-10-23,676.00,701.50,674.50,688.00,6427000,688.00
2015-10-22,674.50,676.005,664.50,670.00,6355700,670.00
2015-10-21,675.00,688.00,670.50,681.50,4695600,681.50
2015-10-20,672.00,675.58,663.00,674.00,5267600,674.00
2015-10-19,682.00,689.15,664.25,669.50,5427500,669.50
2015-10-16,700.00,706.00,680.835,685.50,5620900,685.50
2015-10-15,701.50,703.00,692.30,697.00,3852600,697.00
2015-10-14,705.50,707.00,695.50,698.50,4807400,698.50
2015-10-13,725.50,728.00,704.50,711.00,5217100,711.00
