Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,6100.00,6210.00,5995.00,6200.00,650600,6135.61
2016-02-17,5960.00,6120.00,5935.00,6120.00,655800,6056.441
2016-02-16,5995.00,6010.00,5741.80,6005.00,880600,5942.635
2016-02-15,6135.00,6135.00,5870.50,6030.00,610700,5967.375
2016-02-12,6050.00,6190.00,5990.00,6155.00,846400,6091.077
2016-02-11,5870.00,6145.00,5835.00,6130.00,1345800,6066.337
2016-02-10,5825.00,5880.00,5635.00,5700.00,901300,5640.803
2016-02-09,5800.00,6095.00,5780.00,5905.00,1093800,5843.674
2016-02-08,5425.00,6000.00,5410.00,6000.00,919700,5937.687
2016-02-05,5285.00,5320.00,5130.00,5300.00,701700,5244.957
2016-02-04,5200.00,5290.00,5095.00,5270.00,599100,5215.268
2016-02-03,5050.00,5110.00,4988.00,5110.00,497200,5056.93
2016-02-02,5010.00,5080.52,4997.24,5060.00,449200,5007.449
2016-02-01,4958.00,5055.00,4956.00,5045.00,379600,4992.605
2016-01-29,4836.00,4982.00,4806.00,4967.00,590900,4915.415
2016-01-28,4827.00,4892.00,4777.00,4833.00,689600,4782.807
2016-01-27,4800.00,4818.00,4739.00,4815.00,550500,4764.994
2016-01-26,4605.00,4825.00,4605.00,4820.00,744500,4769.942
2016-01-25,4592.00,4688.00,4573.00,4596.00,561800,4548.268
2016-01-22,4600.00,4611.82,4493.00,4555.00,660600,4507.694
2016-01-21,4433.00,4559.00,4426.00,4504.00,815600,4457.224
2016-01-20,4261.00,4456.88,4261.00,4416.00,719500,4370.138
2016-01-19,4414.00,4450.00,4266.00,4268.00,565600,4223.675
2016-01-18,4382.00,4389.00,4324.00,4372.00,430600,4326.595
2016-01-15,4240.00,4427.00,4194.00,4387.00,924800,4341.439
2016-01-14,4250.00,4307.00,4203.00,4229.00,576100,4185.08
2016-01-13,4204.00,4300.00,4185.00,4254.00,570700,4209.82
2016-01-12,4344.00,4413.00,4176.00,4188.00,698800,4144.505
2016-01-11,4405.00,4449.00,4350.00,4351.00,372900,4305.813
2016-01-08,4452.00,4483.00,4385.00,4401.00,517400,4355.293
2016-01-07,4260.00,4440.00,4260.00,4403.00,1021400,4357.273
2016-01-06,4257.00,4341.00,4232.59,4328.00,574300,4283.051
