Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,410.90,413.60,407.50,409.90,1682800,409.90
2016-02-17,400.00,410.90,397.10,410.90,2558000,410.90
2016-02-16,400.00,403.30,395.80,400.10,2536300,400.10
2016-02-15,399.90,400.20,392.10,397.60,3894400,397.60
2016-02-12,377.70,389.50,376.548,389.20,3407300,389.20
2016-02-11,381.90,382.00,371.40,374.20,4483200,374.20
2016-02-10,376.20,386.60,373.40,383.20,3086100,383.20
2016-02-09,381.30,388.20,371.00,373.20,3587800,373.20
2016-02-08,394.60,397.142,380.90,381.10,3830800,381.10
2016-02-05,402.90,403.50,393.90,394.50,2767500,394.50
2016-02-04,405.20,409.70,395.90,401.60,3210800,401.60
2016-02-03,406.10,408.00,393.70,400.20,2967500,400.20
2016-02-02,414.10,419.20,405.20,406.90,2581200,406.90
2016-02-01,418.00,419.00,410.40,416.40,3035100,416.40
2016-01-29,408.50,416.40,406.50,416.40,3812500,416.40
2016-01-28,408.80,413.00,403.90,405.20,2341700,405.20
2016-01-27,401.90,411.80,401.40,411.80,3284200,411.80
2016-01-26,395.20,403.10,393.50,402.40,2010000,402.40
2016-01-25,412.80,412.80,399.30,401.00,3090900,401.00
2016-01-22,400.90,406.70,397.10,405.30,4011400,405.30
2016-01-21,388.30,395.00,383.50,395.00,3962000,395.00
2016-01-20,400.10,400.10,385.60,388.10,3745300,388.10
2016-01-19,405.00,413.00,405.00,407.80,3890000,407.80
2016-01-18,401.60,406.00,397.40,399.00,1936600,399.00
2016-01-15,402.00,404.80,398.30,403.30,3959000,403.30
2016-01-14,406.00,407.80,398.60,403.90,3493900,403.90
2016-01-13,410.80,412.384,409.30,410.20,2455200,410.20
2016-01-12,408.20,411.40,406.90,407.00,4051600,407.00
2016-01-11,406.70,411.90,403.70,406.40,2975300,406.40
2016-01-08,410.90,415.20,407.30,408.00,2484400,408.00
2016-01-07,407.00,407.00,400.10,405.10,3922700,405.10
2016-01-06,413.20,420.70,412.40,413.80,3636400,413.80
2016-01-05,414.00,415.10,408.60,410.00,2011600,410.00
2016-01-04,418.00,421.00,408.40,410.00,2683600,410.00
2015-12-31,430.80,430.80,425.10,426.50,407800,426.50
2015-12-30,431.00,434.934,430.119,431.40,1713200,431.40
2015-12-29,425.00,433.50,421.20,433.50,2278000,433.50
2015-12-24,432.00,433.40,430.40,430.90,224000,430.90
2015-12-23,428.20,434.00,425.50,432.10,1857900,432.10
2015-12-22,431.30,431.30,423.30,426.00,1839900,426.00
2015-12-21,426.00,432.20,425.60,428.30,1422900,428.30
2015-12-18,423.60,434.40,421.80,428.10,4063700,428.10
2015-12-17,429.90,430.50,424.00,424.20,2149100,424.20
2015-12-16,422.30,425.10,417.90,423.30,2257300,423.30
2015-12-15,416.00,425.80,414.30,421.00,3336800,421.00
2015-12-14,423.00,423.50,411.90,412.50,2259500,412.50
2015-12-11,426.20,427.066,419.60,419.70,2108300,419.70
2015-12-10,427.10,430.50,425.20,426.00,3119600,426.00
2015-12-09,430.10,431.60,426.60,429.20,1680600,429.20
2015-12-08,437.70,440.30,428.20,430.10,1937800,430.10
2015-12-07,439.00,445.60,438.11,439.20,2376300,439.20
2015-12-04,438.10,439.30,434.30,436.70,1660600,436.70
2015-12-03,443.50,449.30,437.50,438.60,2193500,438.60
2015-12-02,445.90,447.108,441.587,443.30,2406600,443.30
2015-12-01,442.30,445.70,440.90,444.70,2423500,444.70
2015-11-30,436.40,443.10,434.80,439.90,2751000,439.90
2015-11-27,434.30,439.30,433.50,436.80,1194000,436.80
2015-11-26,436.60,439.70,435.00,437.00,1562200,437.00
2015-11-25,428.60,436.20,428.30,435.00,2405300,435.00
2015-11-24,429.00,433.60,424.908,429.40,5213300,429.40
2015-11-23,436.80,438.00,425.90,428.00,4236500,428.00
2015-11-20,441.80,444.20,438.90,438.90,2434600,438.90
2015-11-19,437.30,441.30,435.55,440.00,2327500,440.00
2015-11-18,436.90,439.50,433.70,433.90,3434200,433.90
2015-11-17,439.70,441.60,435.80,437.20,3189300,437.20
2015-11-16,427.00,436.60,427.00,436.60,2100900,436.60
2015-11-13,432.40,435.60,429.30,431.50,2466700,431.50
2015-11-12,437.30,440.70,431.00,433.00,2314800,433.00
2015-11-11,429.50,437.20,429.20,437.20,2412200,437.20
2015-11-10,431.50,431.50,426.10,429.60,3155600,429.60
2015-11-09,435.90,440.80,430.10,430.10,3642300,430.10
2015-11-06,431.10,438.80,427.37,434.20,3682800,434.20
2015-11-05,424.00,430.20,421.40,429.30,6335000,429.30
2015-11-04,417.00,418.90,413.20,415.10,3757000,415.10
2015-11-03,422.10,422.10,413.90,416.70,2086900,416.70
2015-11-02,418.50,420.50,416.45,419.80,1714100,419.80
2015-10-30,420.00,420.90,419.10,420.90,3036600,420.90
2015-10-29,421.00,421.00,417.90,420.90,3567900,420.90
2015-10-28,412.50,420.40,410.40,419.80,3607900,419.80
2015-10-27,411.50,412.70,409.30,411.20,2568200,411.20
2015-10-26,414.10,415.80,411.60,412.40,1447300,412.40
2015-10-23,413.60,421.40,413.10,415.00,3095900,415.00
2015-10-22,412.00,416.20,410.20,412.10,3027900,412.10
2015-10-21,413.40,414.80,407.70,414.00,2445100,414.00
2015-10-20,411.00,413.50,407.60,411.80,1637200,411.80
2015-10-19,406.70,410.30,405.40,409.30,1614300,409.30
2015-10-16,406.90,409.60,405.30,407.50,2237500,407.50
