Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,4175.00,4178.50,4160.50,4175.50,1939000,4175.50
2016-02-17,4180.00,4190.00,4159.50,4175.00,1891100,4175.00
2016-02-16,4147.00,4175.00,4105.84,4175.00,1330100,4175.00
2016-02-15,4170.00,4172.00,4136.00,4138.00,2443100,4138.00
2016-02-12,4130.00,4149.50,4120.00,4148.00,3871300,4148.00
2016-02-11,4130.00,4146.50,4121.50,4133.00,4387000,4133.00
2016-02-10,4126.50,4154.50,4120.00,4150.00,3512300,4150.00
2016-02-09,4150.00,4150.00,4111.50,4122.00,3470700,4122.00
2016-02-08,4145.50,4160.50,4121.00,4130.00,1947700,4130.00
2016-02-05,4176.50,4178.50,4135.00,4135.00,2284900,4135.00
2016-02-04,4188.00,4196.00,4167.00,4177.50,1727100,4177.50
2016-02-03,4186.50,4198.00,4170.50,4172.00,1990600,4172.00
2016-02-02,4195.00,4198.00,4173.50,4198.00,1413300,4198.00
2016-02-01,4180.00,4194.50,4152.50,4194.50,2631500,4194.50
2016-01-29,4165.00,4202.06,4141.68,4182.50,3416000,4182.50
2016-01-28,4186.50,4201.00,4169.00,4170.00,4022400,4170.00
2016-01-27,4195.00,4206.50,4177.00,4199.00,2973600,4199.00
2016-01-26,4171.50,4202.50,4163.50,4192.00,2157400,4192.00
2016-01-25,4199.00,4205.00,4169.50,4189.50,2197100,4189.50
2016-01-22,4165.00,4189.50,4115.61,4189.50,2553600,4189.50
2016-01-21,4123.00,4153.00,4108.83,4149.00,2795300,4149.00
2016-01-20,4106.00,4143.50,4100.00,4123.50,3873900,4123.50
2016-01-19,4150.00,4151.00,4129.00,4138.00,1741000,4138.00
2016-01-18,4071.00,4132.00,4071.00,4123.00,1810800,4123.00
2016-01-15,4060.00,4095.50,4060.00,4082.00,2806100,4082.00
2016-01-14,4050.50,4079.07,4044.00,4064.50,3624100,4064.50
2016-01-13,4067.00,4075.50,4042.50,4074.50,3269700,4074.50
2016-01-12,4053.50,4062.00,4035.00,4058.50,1670500,4058.50
2016-01-11,4030.00,4062.00,4020.00,4050.00,1578500,4050.00
2016-01-08,4040.50,4063.00,4035.00,4035.00,2212100,4035.00
2016-01-07,4030.00,4056.50,4028.00,4041.00,2664100,4041.00
2016-01-06,4060.00,4067.00,4054.00,4067.00,1707600,4067.00
2016-01-05,4065.50,4075.50,4049.00,4055.00,977700,4055.00
2016-01-04,4080.00,4080.00,4041.00,4055.00,2450100,4055.00
