Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,261.70,268.03,260.20,263.10,6946900,263.10
2016-02-17,255.10,262.60,254.20,261.50,10907600,261.50
2016-02-16,248.10,250.40,245.80,249.60,5700500,249.60
2016-02-15,243.30,248.009,242.668,247.20,5439400,247.20
2016-02-12,237.70,240.00,234.30,239.30,5294800,239.30
2016-02-11,238.50,239.30,233.829,236.40,5936000,236.40
2016-02-10,243.00,246.80,239.898,240.30,5017300,240.30
2016-02-09,243.80,250.10,239.10,242.50,5975200,242.50
2016-02-08,251.10,253.30,241.849,242.90,9862000,242.90
2016-02-05,246.00,252.40,245.40,250.90,8926800,250.90
2016-02-04,247.00,247.00,241.90,245.10,6430000,245.10
2016-02-03,248.20,250.40,242.40,244.50,11442000,244.50
2016-02-02,244.20,252.90,242.30,250.50,16194700,250.50
2016-02-01,245.90,247.00,241.40,244.60,6852500,244.60
2016-01-29,238.10,245.90,235.70,245.10,10200000,245.10
2016-01-28,234.50,240.10,234.10,236.70,6154300,236.70
2016-01-27,230.30,235.50,228.80,235.50,7398100,235.50
2016-01-26,228.60,231.90,227.00,231.00,5975300,231.00
2016-01-25,235.20,235.80,230.10,231.60,5427300,231.60
2016-01-22,233.80,236.70,232.00,233.60,8906700,233.60
2016-01-21,234.20,236.30,229.50,231.10,11419100,231.10
2016-01-20,234.30,239.00,230.50,232.90,6801300,232.90
2016-01-19,243.30,243.50,238.20,239.00,5948600,239.00
2016-01-18,242.50,245.40,237.60,239.50,4989600,239.50
2016-01-15,249.20,252.80,241.40,243.90,9106000,243.90
2016-01-14,246.30,252.00,245.00,250.00,9534000,250.00
2016-01-13,252.70,253.031,244.70,247.70,13334300,247.70
2016-01-12,247.10,254.70,245.80,251.20,13900600,251.20
2016-01-11,241.90,246.40,239.80,243.30,16629700,243.30
2016-01-08,240.30,242.80,238.402,241.90,8140900,241.90
2016-01-07,237.10,241.371,234.70,238.70,8852400,238.70
2016-01-06,241.00,247.00,239.728,241.00,12092200,241.00
2016-01-05,255.80,276.00,239.955,255.30,14935800,255.30
2016-01-04,256.90,257.40,252.70,255.30,7610900,255.30
2015-12-31,260.80,260.80,253.50,258.80,3187200,258.80
2015-12-30,263.30,264.156,260.10,261.70,4819400,261.70
2015-12-29,264.30,267.20,262.50,264.90,6943400,264.90
2015-12-24,265.10,267.60,263.693,266.40,762400,266.40
2015-12-23,260.20,266.60,260.20,266.00,5924400,266.00
2015-12-22,260.60,262.00,255.90,259.10,4403700,259.10
2015-12-21,254.10,263.306,253.50,259.60,6752800,259.60
2015-12-18,253.60,257.20,251.90,255.20,9725900,255.20
2015-12-17,253.30,261.108,251.10,255.80,10576200,255.80
2015-12-16,249.80,249.80,243.60,248.20,11009000,248.20
2015-12-15,238.70,249.50,237.10,249.30,11168600,249.30
2015-12-14,235.10,244.80,235.10,236.90,6715600,236.90
2015-12-11,240.60,241.20,234.40,235.00,8766100,235.00
2015-12-10,244.00,245.80,240.30,241.50,5942900,241.50
2015-12-09,244.30,247.40,242.80,245.50,7591000,245.50
2015-12-08,242.00,253.10,241.10,244.70,9203100,244.70
2015-12-07,245.20,245.752,241.70,241.70,5264900,241.70
2015-12-04,245.30,248.90,243.50,245.00,7286000,245.00
2015-12-03,250.80,255.90,246.20,246.20,7692500,246.20
2015-12-02,254.10,254.15,250.20,251.60,4670400,251.60
