Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,2496.00,2529.00,2473.00,2492.00,271200,2492.00
2016-02-17,2393.00,2498.00,2374.00,2488.00,257000,2488.00
2016-02-16,2436.00,2444.00,2380.00,2389.00,360700,2389.00
2016-02-15,2424.00,2466.00,2423.00,2423.00,432100,2423.00
2016-02-12,2368.00,2397.00,2354.00,2383.00,481900,2383.00
2016-02-11,2403.00,2408.00,2322.00,2342.00,363500,2342.00
2016-02-10,2380.00,2484.00,2368.00,2441.00,340000,2441.00
2016-02-09,2403.00,2427.00,2320.00,2366.00,565000,2366.00
2016-02-08,2567.00,2567.00,2394.00,2405.00,471100,2405.00
2016-02-05,2593.00,2614.00,2544.00,2544.00,313800,2544.00
2016-02-04,2577.00,2604.00,2536.00,2593.00,340000,2593.00
2016-02-03,2615.00,2621.00,2506.00,2541.00,454600,2541.00
2016-02-02,2685.00,2690.00,2610.00,2621.00,326900,2621.00
2016-02-01,2729.00,2738.00,2677.00,2700.00,252700,2700.00
2016-01-29,2689.00,2724.00,2668.00,2724.00,419600,2724.00
2016-01-28,2658.00,2707.00,2640.00,2650.00,275500,2650.00
2016-01-27,2661.00,2684.72,2644.00,2677.00,280500,2677.00
2016-01-26,2598.00,2662.00,2579.00,2650.00,348000,2650.00
2016-01-25,2674.00,2675.00,2631.00,2641.00,310400,2641.00
2016-01-22,2642.00,2674.00,2608.00,2663.00,341500,2663.00
2016-01-21,2539.00,2596.00,2525.00,2589.00,682800,2589.00
2016-01-20,2538.00,2547.00,2490.00,2511.00,545800,2511.00
2016-01-19,2576.00,2608.00,2560.00,2590.00,272600,2590.00
2016-01-18,2545.00,2573.00,2495.00,2523.00,315700,2523.00
2016-01-15,2582.00,2606.00,2512.00,2547.00,491300,2547.00
2016-01-14,2646.00,2646.00,2561.00,2593.00,337600,2593.00
2016-01-13,2718.00,2730.00,2678.00,2682.00,248300,2682.00
2016-01-12,2663.00,2702.00,2639.00,2683.00,272400,2683.00
2016-01-11,2674.00,2687.00,2647.00,2647.00,273500,2647.00
2016-01-08,2720.00,2767.00,2681.00,2681.00,236200,2681.00
2016-01-07,2762.00,2767.00,2689.00,2719.00,345000,2719.00
2016-01-06,2859.00,2871.00,2790.00,2817.00,338000,2817.00
2016-01-05,2903.00,2908.00,2860.00,2865.00,157800,2865.00
2016-01-04,2953.00,2958.00,2851.00,2865.00,295100,2865.00
2015-12-31,2976.00,3045.00,2975.00,2976.00,43800,2976.00
2015-12-30,3019.00,3031.00,2984.00,2995.00,168100,2995.00
2015-12-29,2970.00,3022.00,2959.52,3022.00,257300,3022.00
2015-12-24,2982.00,2989.00,2961.00,2961.00,13300,2961.00
2015-12-23,2929.00,2974.00,2909.00,2968.00,170100,2968.00
2015-12-22,2929.00,2929.00,2871.00,2909.00,136800,2909.00
2015-12-21,2905.00,2957.00,2898.00,2898.00,199500,2898.00
2015-12-18,2918.00,2932.00,2898.00,2910.00,494200,2910.00
2015-12-17,2893.00,2945.00,2890.00,2933.00,297600,2933.00
2015-12-16,2833.00,2855.00,2816.00,2850.00,234200,2850.00
2015-12-15,2707.00,2842.00,2703.00,2832.00,419600,2832.00
2015-12-14,2712.00,2750.70,2674.00,2678.00,238000,2678.00
2015-12-11,2794.00,2798.48,2694.00,2700.00,191600,2700.00
2015-12-10,2784.00,2820.00,2778.00,2802.00,162300,2802.00
2015-12-09,2829.00,2851.00,2810.00,2829.00,188200,2829.00
2015-12-08,2910.00,2910.00,2822.80,2836.00,184400,2836.00
2015-12-07,2909.00,2945.00,2900.00,2910.00,189300,2910.00
2015-12-04,2879.00,2893.00,2854.00,2884.00,308600,2884.00
2015-12-03,3009.00,3023.00,2897.00,2897.00,444400,2897.00
2015-12-02,3030.00,3045.00,3005.00,3023.00,195600,3023.00
2015-12-01,3022.00,3022.00,2997.00,3019.00,212100,3019.00
2015-11-30,2993.00,2996.00,2959.00,2996.00,263900,2996.00
2015-11-27,2964.00,2990.00,2958.00,2990.00,109800,2990.00
2015-11-26,2959.00,2987.00,2958.00,2985.00,133200,2985.00
2015-11-25,2910.00,2980.00,2910.00,2966.00,271500,2966.00
2015-11-24,2949.00,2951.61,2879.00,2898.00,183300,2898.00
2015-11-23,2946.00,2957.00,2931.00,2950.00,145600,2950.00
2015-11-20,2957.00,2970.00,2936.00,2964.00,275400,2964.00
2015-11-19,2961.00,2965.00,2920.00,2955.00,246900,2955.00
2015-11-18,2940.00,2944.00,2912.97,2931.00,171400,2931.00
2015-11-17,2891.00,2957.00,2890.00,2942.00,228800,2942.00
2015-11-16,2880.00,2901.00,2858.08,2886.00,336800,2886.00
2015-11-13,2966.00,2980.00,2886.00,2894.00,387200,2894.00
2015-11-12,2986.00,3021.00,2976.00,2978.00,395600,2978.00
2015-11-11,3001.00,3018.00,2952.00,2998.00,342100,2998.00
2015-11-10,3037.00,3039.00,2981.00,3012.00,276200,3012.00
2015-11-09,3015.00,3067.00,3014.00,3016.00,259500,3016.00
2015-11-06,3000.00,3029.00,2986.00,3014.00,294800,3014.00
2015-11-05,3019.00,3054.00,2998.60,3001.00,282800,3001.00
2015-11-04,3000.00,3013.00,2983.00,3004.00,352100,3004.00
2015-11-03,2990.00,2990.00,2963.00,2983.00,426100,2983.00
2015-11-02,2960.00,3005.00,2960.00,2982.00,190300,2982.00
2015-10-30,2989.00,3006.00,2960.00,2983.00,247000,2983.00
2015-10-29,2976.00,3045.00,2964.00,2980.00,357000,2980.00
2015-10-28,2952.00,2997.00,2946.00,2994.00,224500,2994.00
2015-10-27,2946.00,2964.00,2935.00,2940.00,190400,2940.00
2015-10-26,2955.00,2971.00,2933.00,2951.00,336800,2951.00
2015-10-23,2866.00,2970.00,2864.00,2961.00,344500,2961.00
2015-10-22,2832.00,2856.00,2804.00,2852.00,239800,2852.00
2015-10-21,2840.00,2850.00,2802.00,2830.00,264500,2830.00
2015-10-20,2821.00,2832.00,2791.00,2831.00,357700,2831.00
2015-10-19,2821.00,2834.00,2793.30,2814.00,171700,2814.00
2015-10-16,2810.00,2836.00,2810.00,2815.00,238900,2815.00
2015-10-15,2745.00,2804.00,2730.00,2804.00,251400,2804.00
2015-10-14,2749.00,2758.00,2717.00,2721.00,230700,2721.00
2015-10-13,2834.00,2834.00,2767.00,2768.00,298800,2768.00
2015-10-12,2862.00,2862.00,2824.00,2837.00,180500,2837.00
2015-10-09,2887.00,2892.00,2856.00,2861.00,212600,2861.00
2015-10-08,2871.00,2889.00,2852.00,2868.00,204900,2868.00
2015-10-07,2875.00,2919.00,2875.00,2884.00,408300,2884.00
2015-10-06,2911.00,2916.00,2869.00,2869.00,420600,2869.00
2015-10-05,2819.00,2904.00,2789.25,2892.00,364300,2892.00
2015-10-02,2841.00,2858.00,2765.00,2810.00,385800,2810.00
2015-10-01,2825.00,2841.00,2777.00,2779.00,488300,2779.00
2015-09-30,2771.00,2805.00,2747.00,2805.00,371100,2805.00
2015-09-29,2731.00,2749.00,2709.00,2716.00,436400,2716.00
2015-09-28,2859.00,2863.00,2769.00,2769.00,259300,2769.00
2015-09-25,2835.00,2880.00,2804.00,2870.00,218700,2870.00
2015-09-24,2814.00,2841.00,2767.00,2775.00,411600,2775.00
2015-09-23,2789.00,2856.00,2778.00,2822.00,287600,2822.00
