Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,580.50,583.50,576.00,579.00,2600900,579.00
2016-02-17,565.50,579.00,565.50,576.50,3157900,576.50
2016-02-16,570.00,572.00,562.50,564.00,3001100,564.00
2016-02-15,576.00,578.50,564.50,566.50,5887300,566.50
2016-02-12,560.50,567.00,556.00,566.00,3767000,566.00
2016-02-11,564.50,570.50,555.50,556.50,4461900,556.50
2016-02-10,584.50,594.50,576.96,577.00,4292300,568.35
2016-02-09,576.50,585.00,568.50,579.50,5635300,570.813
2016-02-08,604.50,608.045,572.535,574.50,3916900,565.887
2016-02-05,608.00,622.00,601.00,601.00,3354600,591.99
2016-02-04,622.00,623.00,603.00,607.50,4306300,598.393
2016-02-03,621.00,628.50,614.50,615.00,5739500,605.78
2016-02-02,625.00,625.50,619.00,621.00,2872200,611.69
2016-02-01,624.00,629.50,619.00,625.50,2827700,616.123
2016-01-29,610.00,621.00,606.00,621.00,3422300,611.69
2016-01-28,606.50,614.50,600.50,604.00,4587400,594.945
2016-01-27,577.00,613.00,577.00,610.00,7604600,600.855
2016-01-26,560.00,568.50,558.475,567.50,2222100,558.992
2016-01-25,558.50,568.531,556.50,568.00,2875500,559.485
2016-01-22,560.50,561.50,549.50,554.50,3954500,546.187
2016-01-21,547.50,555.00,544.00,550.00,3753000,541.755
2016-01-20,557.50,560.00,543.00,544.50,3936600,536.337
2016-01-19,563.50,569.00,557.50,567.00,2042100,558.50
2016-01-18,557.00,562.50,552.50,555.00,2276400,546.68
2016-01-15,575.00,578.00,556.50,557.00,3326900,548.65
2016-01-14,577.50,578.50,569.50,575.50,2314900,566.872
2016-01-13,593.00,593.00,581.50,583.50,2271300,574.753
2016-01-12,591.50,596.50,586.50,589.50,2493700,580.663
2016-01-11,582.50,600.00,581.50,588.00,3620100,579.185
2016-01-08,575.50,582.50,567.00,577.50,3090600,568.842
2016-01-07,573.50,576.50,565.50,574.00,3096700,565.395
2016-01-06,592.00,592.00,582.50,586.00,1650500,577.215
2016-01-05,594.00,598.50,589.00,590.50,1032000,581.648
2016-01-04,598.50,600.00,586.50,590.50,2356400,581.648
2015-12-31,611.50,612.28,600.72,603.50,290000,594.453
2015-12-30,612.00,613.00,605.50,611.00,1127400,601.84
2015-12-29,597.00,612.00,597.00,612.00,1765200,602.825
2015-12-24,602.00,602.00,595.50,596.00,240800,587.065
2015-12-23,591.00,600.75,591.00,600.00,1683200,591.005
2015-12-22,593.50,593.50,585.00,589.50,1775100,580.663
2015-12-21,589.50,597.50,588.50,589.50,1275200,580.663
2015-12-18,584.50,598.50,579.00,590.00,3862700,581.155
2015-12-17,595.00,595.00,585.00,589.00,2445800,580.17
2015-12-16,589.50,590.00,586.50,587.00,2181200,578.20
2015-12-15,584.00,591.00,581.50,589.50,3455700,580.663
2015-12-14,592.00,592.50,579.50,579.50,3775900,570.813
2015-12-11,591.50,595.00,588.00,589.00,1881200,580.17
2015-12-10,600.00,602.00,590.00,592.00,3097900,583.125
2015-12-09,605.50,609.78,602.00,603.50,3001700,594.453
2015-12-08,612.50,625.18,604.60,605.50,3723400,596.423
2015-12-07,613.50,625.50,612.50,614.00,3591100,604.795
2015-12-04,584.00,614.00,584.00,611.50,5261800,602.333
2015-12-03,578.00,590.00,570.50,581.50,4798000,572.783
2015-12-02,570.00,579.50,540.50,577.00,7365000,568.35
2015-12-01,589.50,589.50,571.50,576.50,3943500,567.857
2015-11-30,576.50,587.50,574.00,586.50,3267000,577.708
2015-11-27,570.00,577.50,568.50,574.50,1381800,565.887
2015-11-26,574.50,584.00,572.50,574.00,1391400,565.395
2015-11-25,561.00,578.00,561.00,572.50,1465700,563.917
2015-11-24,564.50,567.00,553.00,558.50,2704300,550.127
