Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,3969.00,3980.00,3846.00,3853.00,2663500,3837.544
2016-02-17,3784.00,3949.00,3758.00,3942.00,2320800,3926.187
2016-02-16,3816.00,3837.00,3717.00,3740.00,1689200,3724.997
2016-02-15,3725.00,3839.00,3635.50,3797.00,1688600,3781.768
2016-02-12,3525.00,3639.00,3476.00,3639.00,3273800,3624.402
2016-02-11,3529.00,3737.00,3423.00,3507.00,3417500,3492.932
2016-02-10,3509.00,3633.00,3469.00,3568.00,2285100,3553.687
2016-02-09,3480.00,3558.00,3440.79,3480.00,2244800,3466.04
2016-02-08,3626.00,3658.00,3466.00,3498.00,3015600,3483.968
2016-02-05,3745.00,3787.00,3659.00,3671.00,2045500,3656.274
2016-02-04,3741.00,3796.00,3694.00,3733.00,3966100,3718.025
2016-02-03,3860.00,3906.60,3678.00,3717.00,2424600,3702.089
2016-02-02,3910.00,3930.00,3868.00,3885.00,1566600,3869.415
2016-02-01,3956.00,3960.00,3880.00,3922.00,1692900,3906.267
2016-01-29,3921.00,3974.00,3843.52,3910.00,2624700,3894.315
2016-01-28,3975.00,4050.00,3786.00,3879.00,4068000,3863.439
2016-01-27,4030.00,4104.00,3995.00,4050.00,2517400,4033.753
2016-01-26,4180.00,4226.00,4113.00,4123.00,1983200,4106.461
2016-01-25,4266.00,4290.00,4215.00,4247.00,811500,4229.963
2016-01-22,4187.00,4271.00,4142.00,4228.00,2000700,4211.039
2016-01-21,4170.00,4210.00,4043.23,4126.00,1983100,4109.449
2016-01-20,4129.00,4171.00,4067.00,4120.00,2167700,4103.473
2016-01-19,4307.00,4330.00,4196.22,4223.00,2083400,4206.059
2016-01-18,4150.00,4293.00,4135.00,4250.00,1957300,4232.951
2016-01-15,4233.00,4260.00,4104.00,4179.00,2590200,4162.236
2016-01-14,4190.00,4275.76,4098.00,4130.00,2235500,4113.432
2016-01-13,4121.00,4303.00,4065.20,4269.00,3082500,4251.875
2016-01-12,3869.00,4162.00,3855.00,4114.00,6143400,4097.497
2016-01-11,4265.00,4422.00,3922.15,3925.00,5587400,3909.255
2016-01-08,4355.00,4400.00,4277.00,4277.00,1607700,4259.843
2016-01-07,4350.00,4395.00,4287.94,4360.00,1799400,4342.51
2016-01-06,4528.00,5562.83,4415.00,4441.00,929900,4423.185
2016-01-05,4499.00,4546.50,4497.00,4530.00,1019200,4511.828
2016-01-04,4600.00,4600.00,4428.00,4453.00,1451200,4435.137
2015-12-31,4674.00,4711.00,4668.00,4698.00,250400,4679.154
2015-12-30,4686.00,4735.00,4681.00,4705.00,609500,4686.126
2015-12-29,4625.00,4687.00,4617.00,4683.00,1282600,4664.214
2015-12-28,4609.00,4609.00,4609.00,4609.00,000,4590.511
2015-12-25,4609.00,4609.00,4609.00,4609.00,000,4590.511
2015-12-24,4604.00,4617.00,4572.60,4609.00,236300,4590.511
2015-12-23,4413.00,4580.00,4405.00,4570.00,882600,4551.667
2015-12-22,4402.00,4434.00,4372.00,4380.00,688300,4362.43
2015-12-21,4400.00,4471.00,4378.00,4378.00,1227400,4360.438
2015-12-18,4458.00,4472.28,4401.16,4420.00,1813000,4402.269
2015-12-17,4460.00,4480.00,4400.00,4450.00,1476700,4432.149
2015-12-16,4250.00,4414.00,4212.00,4347.00,2240600,4329.562
2015-12-15,4134.00,4188.00,4109.00,4182.00,2447100,4165.224
2015-12-14,4219.00,4273.00,4082.00,4089.00,1574400,4072.597
2015-12-11,4325.00,4375.50,4275.00,4299.00,1124400,4281.755
2015-12-10,4368.00,4387.00,4317.00,4327.00,1318500,4309.642
2015-12-09,4468.00,4487.00,4382.00,4384.00,1197200,4366.414
2015-12-08,4510.00,4549.00,4439.00,4452.00,1233700,4434.141
2015-12-07,4527.00,4565.00,4500.00,4505.00,929900,4486.928
2015-12-04,4526.00,4557.41,4489.00,4504.00,1029900,4485.932
2015-12-03,4718.00,4733.00,4551.00,4551.00,1345700,4532.744
2015-12-02,4678.00,4785.00,4665.00,4745.00,973100,4725.965
2015-12-01,4672.00,4676.00,4600.00,4636.00,1287300,4617.403
2015-11-30,4662.00,4704.00,4640.00,4646.00,904300,4627.363
2015-11-27,4614.00,4702.00,4608.00,4665.00,554500,4646.286
2015-11-26,4616.00,4652.00,4588.00,4639.00,663900,4620.391
2015-11-25,4600.00,4600.00,4484.00,4597.00,1426600,4578.559
2015-11-24,4691.00,4691.00,4603.00,4646.00,888500,4627.363
2015-11-23,4685.00,4745.00,4661.00,4699.00,726700,4680.15
2015-11-20,4710.00,4742.00,4624.37,4707.00,1161800,4688.118
2015-11-19,4687.00,4793.00,4686.00,4718.00,1377800,4699.074
2015-11-18,4630.00,4697.00,4629.00,4673.00,1256700,4654.254
2015-11-17,4545.00,4683.00,4544.00,4663.00,1277900,4644.294
2015-11-16,4465.00,4547.00,4449.86,4495.00,1006700,4476.968
2015-11-13,4539.00,4539.00,4445.00,4486.00,1583400,4468.004
2015-11-12,4705.00,4722.00,4564.00,4567.00,1249000,4548.679
2015-11-11,4730.00,4773.00,4696.00,4732.00,797400,4713.018
2015-11-10,4715.00,4721.00,4643.00,4675.00,833600,4656.246
2015-11-09,4750.00,4763.00,4666.00,4690.00,1081200,4671.186
2015-11-06,4738.00,4765.00,4698.00,4734.00,1015900,4715.01
