Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1025.00,1033.00,1013.00,1020.00,2319800,1007.425
2016-02-17,1010.00,1029.00,1006.00,1024.00,2864700,1011.376
2016-02-16,997.00,1008.74,989.50,1006.00,2874300,993.598
2016-02-15,987.00,1003.00,982.00,995.00,2093900,982.734
2016-02-12,976.50,980.00,970.00,977.50,3454800,965.449
2016-02-11,972.00,980.00,953.50,976.00,6170700,963.968
2016-02-10,985.00,991.50,969.00,976.50,3149400,964.462
2016-02-09,984.50,992.78,959.00,980.00,3475500,967.918
2016-02-08,1028.00,1032.00,973.00,978.00,4873700,965.943
2016-02-05,1062.00,1070.00,1027.00,1028.00,3263900,1015.327
2016-02-04,1072.00,1080.00,1057.00,1066.00,3467100,1052.858
2016-02-03,1078.00,1082.00,1059.00,1062.00,3447800,1048.908
2016-02-02,1094.00,1097.00,1071.00,1077.00,2985000,1063.723
2016-02-01,1134.00,1134.00,1088.00,1097.00,5170600,1083.476
2016-01-29,1065.00,1082.00,1047.00,1082.00,4517800,1068.661
2016-01-28,1055.00,1059.00,1034.00,1041.00,2917400,1028.166
2016-01-27,1049.00,1062.00,1043.00,1062.00,2722200,1048.908
2016-01-26,1039.00,1050.00,1024.00,1046.00,2814000,1033.105
2016-01-25,1050.00,1055.00,1042.00,1050.00,2572600,1037.056
2016-01-22,1023.00,1051.00,1022.00,1048.00,3224000,1035.08
2016-01-21,1021.00,1030.00,999.00,1012.00,5439000,999.524
2016-01-20,1035.00,1036.00,1013.50,1022.00,3992400,1009.401
2016-01-19,1044.00,1049.00,1035.00,1049.00,3331100,1036.068
2016-01-18,1043.00,1047.00,1031.00,1032.00,2830100,1019.277
2016-01-15,1056.00,1061.00,1034.00,1047.00,3874100,1034.092
2016-01-14,1072.00,1075.00,1052.44,1057.00,3969500,1043.969
2016-01-13,1110.00,1112.32,1082.00,1083.00,4034500,1069.649
2016-01-12,1092.00,1118.00,1086.91,1103.00,2744200,1089.402
2016-01-11,1089.00,1096.00,1078.00,1086.00,2652300,1072.612
2016-01-08,1086.00,1100.60,1084.00,1088.00,2358500,1074.587
2016-01-07,1078.00,1089.00,1066.00,1084.00,2985700,1070.636
2016-01-06,1098.00,1105.00,1080.00,1097.00,3162000,1083.476
2016-01-05,1096.00,1102.00,1085.00,1098.00,1999200,1084.464
2016-01-04,1100.00,1100.00,1082.00,1087.00,3134600,1073.599
2015-12-31,1120.00,1124.00,1112.00,1112.00,690200,1098.291
2015-12-30,1125.00,1128.00,1116.00,1123.00,1445900,1109.156
2015-12-29,1104.00,1126.00,1094.00,1126.00,1858300,1112.119
2015-12-28,1099.00,1099.00,1099.00,1099.00,000,1085.451
2015-12-25,1099.00,1099.00,1099.00,1099.00,000,1085.451
2015-12-24,1104.00,1106.00,1098.22,1099.00,351700,1085.451
