Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,347.00,350.00,336.60,338.50,7232700,338.50
2016-02-17,342.80,350.30,341.00,346.30,12084700,346.30
2016-02-16,346.50,347.40,339.90,341.60,3929300,341.60
2016-02-15,339.20,346.30,339.20,342.40,3840700,342.40
2016-02-12,327.20,335.40,327.10,333.40,6558300,333.40
2016-02-11,343.40,343.452,324.70,324.70,6430600,324.70
2016-02-10,340.50,349.90,337.20,344.80,4836700,344.80
2016-02-09,344.90,348.90,334.80,337.40,3636000,337.40
2016-02-08,355.70,361.30,343.20,344.90,5821400,344.90
2016-02-05,355.50,360.70,351.40,353.50,4892400,353.50
2016-02-04,349.90,356.70,345.80,354.60,6531600,354.60
2016-02-03,349.70,353.60,341.40,344.50,6677900,344.50
2016-02-02,361.50,361.50,348.50,350.80,4917100,350.80
2016-02-01,366.10,367.40,356.70,363.20,5111400,363.20
2016-01-29,358.60,363.50,356.80,363.50,7535300,363.50
2016-01-28,357.60,363.30,352.60,354.70,4050600,354.70
2016-01-27,357.40,359.60,352.30,359.60,3377600,359.60
2016-01-26,353.20,359.60,349.60,357.90,3186300,357.90
2016-01-25,366.70,367.895,356.50,358.40,3606300,358.40
2016-01-22,369.00,369.30,361.80,363.90,4127100,363.90
2016-01-21,351.70,361.80,349.20,361.80,5898300,361.80
2016-01-20,356.80,358.90,345.80,350.30,5253600,350.30
2016-01-19,365.00,369.371,363.10,364.60,2546900,364.60
2016-01-18,359.60,366.927,357.44,359.70,4527000,359.70
2016-01-15,371.80,372.54,358.70,360.90,7286000,360.90
2016-01-14,369.90,374.20,364.80,372.00,3455100,372.00
2016-01-13,372.70,377.90,369.60,375.00,4168700,375.00
2016-01-12,365.90,372.50,363.00,368.30,4988200,368.30
2016-01-11,368.70,376.10,362.95,363.40,4281800,363.40
2016-01-08,363.00,369.00,362.30,363.00,6662500,363.00
2016-01-07,359.40,364.00,353.20,358.50,7026500,358.50
2016-01-06,371.20,374.58,364.90,368.30,3365600,368.30
2016-01-05,376.30,379.90,368.40,372.80,2533800,372.80
2016-01-04,385.60,391.00,371.50,372.80,3602000,372.80
2015-12-31,392.70,395.80,389.20,389.70,841800,389.70
2015-12-30,395.60,396.90,392.80,394.70,1401500,394.70
2015-12-29,396.90,398.30,385.785,397.10,2254100,397.10
2015-12-24,394.00,396.268,392.80,395.20,418400,395.20
2015-12-23,387.30,393.70,386.25,392.40,1780000,392.40
2015-12-22,382.90,384.70,379.70,383.50,2820100,383.50
2015-12-21,373.00,385.80,373.00,378.90,3387000,378.90
2015-12-18,373.60,376.90,371.40,374.40,5466400,374.40
2015-12-17,384.90,386.30,376.90,377.30,4697300,377.30
2015-12-16,370.40,379.70,369.50,376.90,4088300,376.90
2015-12-15,369.30,372.844,368.20,371.10,3419300,371.10
2015-12-14,378.80,382.30,365.70,365.90,3458800,365.90
2015-12-11,387.10,388.60,376.842,377.30,2732200,377.30
2015-12-10,390.90,394.40,388.00,388.90,3646000,388.90
2015-12-09,395.30,396.44,389.80,391.40,2365000,391.40
2015-12-08,399.70,401.90,393.20,394.90,2874200,394.90
2015-12-07,401.40,405.70,399.50,400.60,2047100,400.60
2015-12-04,402.30,410.862,397.10,398.60,3364800,398.60
2015-12-03,413.60,417.10,403.30,403.60,3368100,403.60
2015-12-02,419.00,419.10,414.50,415.00,2493800,415.00
2015-12-01,418.30,418.30,414.50,417.10,4044600,417.10
2015-11-30,417.30,418.10,412.37,416.50,5060500,416.50
2015-11-27,412.70,418.70,411.704,418.10,5067400,418.10
2015-11-26,404.40,415.80,403.20,415.30,4313000,415.30
2015-11-25,404.40,405.645,401.70,403.40,4268000,403.40
2015-11-24,401.20,403.00,398.77,402.50,2708600,402.50
2015-11-23,403.90,404.20,401.551,403.00,2946800,403.00
2015-11-20,407.20,407.20,402.375,405.80,3290500,405.80
2015-11-19,403.50,407.20,403.00,404.70,3042600,404.70
2015-11-18,402.40,403.40,399.20,400.50,2299500,400.50
2015-11-17,397.70,404.60,397.00,403.10,4322100,403.10
2015-11-16,393.40,397.20,392.20,393.90,2338900,393.90
2015-11-13,400.80,401.65,394.043,395.60,2869600,395.60
2015-11-12,414.40,416.00,402.50,402.50,3008000,402.50
2015-11-11,411.30,416.20,409.70,414.80,3047600,414.80
2015-11-10,416.00,416.525,408.10,410.00,1959500,410.00
2015-11-09,418.70,419.34,414.175,414.50,2370400,414.50
2015-11-06,417.00,420.40,411.414,417.20,1694600,417.20
2015-11-05,420.60,420.70,414.175,415.90,2568600,415.90
2015-11-04,421.80,424.10,417.80,419.40,3135300,419.40
2015-11-03,422.90,423.20,419.60,421.20,2089200,421.20
2015-11-02,418.20,423.50,417.32,420.90,2708900,420.90
2015-10-30,427.70,427.788,418.40,420.90,4607700,420.90
2015-10-29,424.40,427.80,421.70,425.80,3699300,425.80
2015-10-28,421.00,425.60,418.30,424.50,5152300,424.50
2015-10-27,421.00,424.10,418.00,418.60,2623800,418.60
2015-10-26,421.30,424.50,419.50,421.00,2519700,421.00
2015-10-23,418.00,423.30,417.50,422.70,3409800,422.70
2015-10-22,408.40,417.80,407.696,416.10,3710600,416.10
2015-10-21,411.60,411.60,406.90,409.40,3311900,409.40
2015-10-20,410.00,411.00,406.871,409.10,2248800,409.10
2015-10-19,409.60,414.00,408.475,409.10,1532500,409.10
2015-10-16,412.10,413.914,408.525,411.40,2562500,411.40
2015-10-15,408.00,411.242,406.90,408.70,2228800,408.70
2015-10-14,408.90,414.776,404.50,404.70,2038400,404.70
2015-10-13,421.70,421.70,409.30,412.50,2123400,412.50
2015-10-12,423.30,425.70,421.60,422.20,1860900,422.20
2015-10-09,423.70,428.30,421.775,424.60,2352700,424.60
2015-10-08,414.90,422.70,413.20,421.30,2855300,421.30
2015-10-07,410.30,421.00,410.30,416.70,3930200,416.70
2015-10-06,409.50,410.506,406.20,409.60,2708800,409.60
2015-10-05,404.30,408.70,401.70,408.30,2630900,408.30
2015-10-02,394.50,402.30,390.60,396.80,3087900,396.80
2015-10-01,393.10,394.60,387.70,389.60,3108000,389.60
2015-09-30,381.30,387.80,380.40,387.80,4459500,387.80
2015-09-29,380.40,382.184,375.50,375.50,2976200,375.50
2015-09-28,394.50,399.375,384.70,385.00,2536200,385.00
2015-09-25,388.50,396.60,387.625,395.10,3152900,395.10
2015-09-24,389.60,391.90,380.20,382.10,3942300,382.10
2015-09-23,385.40,393.50,379.80,389.80,4058500,389.80
2015-09-22,398.90,399.00,385.50,385.70,4343000,385.70
2015-09-21,398.10,403.20,396.50,397.80,3688200,397.80
2015-09-18,410.00,410.00,393.20,399.90,6374400,399.90
2015-09-17,417.90,418.775,410.40,410.80,4254800,410.80
2015-09-16,414.50,418.90,413.40,418.20,2940700,418.20
2015-09-15,405.20,414.60,401.00,413.10,7468700,413.10
2015-09-14,410.20,413.90,403.00,404.90,2898900,404.90
2015-09-11,414.50,415.686,406.50,408.50,2492500,408.50
2015-09-10,419.50,419.50,410.30,413.80,3761200,413.80
2015-09-09,423.50,428.90,423.20,424.80,3516300,418.78
2015-09-08,410.30,420.342,409.75,416.60,2780000,410.696
2015-09-07,406.60,409.30,404.60,408.30,2601900,402.514
2015-09-04,407.60,409.10,401.30,402.10,4967900,396.402
2015-09-03,408.40,412.80,406.525,411.10,3898300,405.274
2015-09-02,399.80,407.20,396.80,403.40,4382300,397.683
2015-09-01,410.10,415.40,397.80,400.00,4450300,394.331
2015-08-31,416.10,416.10,416.10,416.10,000,410.203
2015-08-28,417.10,418.60,411.30,416.10,5317800,410.203
2015-08-27,417.00,418.70,411.80,417.40,4120700,411.485
2015-08-26,409.40,413.90,404.10,407.50,4149500,401.725
2015-08-25,405.20,415.90,403.745,414.50,5599300,408.626
2015-08-24,414.90,416.37,389.40,399.30,8399000,393.641
2015-08-21,434.00,440.20,427.715,427.80,4462500,421.737
2015-08-20,439.30,446.00,438.355,441.00,3762400,434.75
2015-08-19,441.20,445.20,438.80,442.00,5714400,435.736
2015-08-18,437.80,443.10,435.80,442.20,3165300,435.933
2015-08-17,444.00,444.20,434.247,437.80,1652200,431.596
2015-08-14,440.30,440.60,434.90,440.20,2436300,433.962
