Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,990.50,990.50,973.50,980.00,771200,980.00
2016-02-17,950.50,986.00,947.00,982.50,1197700,982.50
2016-02-16,946.00,953.50,934.50,945.50,1318100,945.50
2016-02-15,931.50,949.50,928.50,944.00,843000,944.00
2016-02-12,890.00,917.00,874.415,916.00,2381600,916.00
2016-02-11,906.50,906.50,864.00,880.00,1621600,880.00
2016-02-10,910.00,923.00,892.50,914.50,1058200,914.50
2016-02-09,912.50,917.50,885.50,898.50,966300,898.50
2016-02-08,941.50,945.00,905.50,907.50,1346300,907.50
2016-02-05,915.00,952.00,913.50,937.50,1733100,937.50
2016-02-04,903.50,921.50,886.00,917.00,1621600,917.00
2016-02-03,910.00,913.50,872.50,886.50,1360500,886.50
2016-02-02,931.00,931.00,902.00,907.00,1785800,907.00
2016-02-01,946.00,948.50,924.50,939.00,1310800,939.00
2016-01-29,931.50,943.50,924.50,943.50,1665000,943.50
2016-01-28,903.00,929.00,900.00,923.00,1590200,923.00
2016-01-27,895.00,916.50,884.00,909.50,1780300,909.50
2016-01-26,883.00,905.50,874.00,894.50,1955700,894.50
2016-01-25,916.00,916.00,885.00,891.50,862400,891.50
2016-01-22,899.00,910.50,892.50,908.00,1644200,908.00
2016-01-21,869.00,886.00,864.00,881.50,1172000,881.50
2016-01-20,871.50,872.00,858.00,863.50,1158200,863.50
2016-01-19,893.50,904.00,885.50,889.50,801400,889.50
2016-01-18,897.50,907.00,881.00,882.00,1204900,882.00
2016-01-15,921.00,922.00,892.82,896.00,1918400,896.00
2016-01-14,884.00,923.00,878.00,920.00,2278100,920.00
2016-01-13,899.50,910.00,891.50,892.50,1128100,892.50
2016-01-12,892.50,908.50,883.50,890.00,1522300,890.00
2016-01-11,895.50,906.00,887.938,888.00,1254600,888.00
2016-01-08,890.00,910.00,887.50,896.50,1653200,896.50
2016-01-07,886.50,889.50,874.00,888.00,1781800,888.00
2016-01-06,917.00,921.80,900.133,907.00,1059300,907.00
2016-01-05,930.00,933.50,917.00,922.00,1180500,922.00
2016-01-04,926.00,938.00,914.00,922.00,1510800,922.00
2015-12-31,950.00,955.60,939.50,939.50,459200,939.50
2015-12-30,963.50,964.00,953.50,957.50,573100,957.50
2015-12-29,963.00,966.50,952.00,966.50,538000,966.50
2015-12-24,959.00,963.00,954.60,958.50,102900,958.50
2015-12-23,943.50,964.00,943.50,960.00,975500,960.00
2015-12-22,929.00,938.00,926.00,936.00,1199500,936.00
2015-12-21,924.50,945.00,923.00,923.00,1534600,923.00
2015-12-18,919.50,931.00,915.00,924.00,1774700,924.00
2015-12-17,951.50,951.50,927.00,927.00,1342600,927.00
2015-12-16,926.00,949.00,924.00,937.50,1260600,937.50
2015-12-15,927.00,933.50,915.00,927.00,1526000,927.00
2015-12-14,943.50,951.00,918.00,919.50,925800,919.50
2015-12-11,956.00,958.85,935.50,941.00,1365000,941.00
2015-12-10,966.00,966.90,949.50,950.00,1906000,950.00
2015-12-09,967.50,998.00,961.60,986.50,1453500,986.50
2015-12-08,992.00,992.00,967.00,968.50,1318500,968.50
2015-12-07,1005.00,1012.15,991.50,993.50,956400,993.50
2015-12-04,1003.00,1017.00,993.50,1005.00,1219900,1005.00
2015-12-03,1019.00,1037.00,1008.00,1008.00,1049900,1008.00
2015-12-02,1039.00,1040.00,1020.00,1023.00,1557100,1023.00
2015-12-01,1043.00,1049.00,1030.00,1033.00,1169800,1033.00
2015-11-30,1030.00,1036.00,1021.00,1033.00,1109600,1033.00
2015-11-27,1030.00,1034.00,1023.00,1030.00,570400,1030.00
2015-11-26,1031.00,1040.00,1022.00,1034.00,784500,1034.00
2015-11-25,1023.00,1043.00,1020.00,1033.00,1036900,1033.00
2015-11-24,1014.00,1019.00,998.50,1018.00,1161300,1018.00
2015-11-23,1012.00,1019.00,1001.00,1016.00,1068200,1016.00
2015-11-20,1015.00,1025.00,1003.00,1018.00,1421700,1018.00
2015-11-19,992.50,1014.00,988.50,1006.00,1736700,1006.00
2015-11-18,1013.00,1015.14,987.00,989.50,2227600,989.50
2015-11-17,950.00,1038.00,950.00,1020.00,4155300,1020.00
2015-11-16,918.00,937.00,916.50,925.50,1748500,925.50
2015-11-13,927.00,936.50,919.00,927.50,1560000,927.50
2015-11-12,983.00,984.50,929.50,933.50,2047600,933.50
2015-11-11,990.00,1004.36,975.50,984.00,984200,984.00
2015-11-10,999.50,1000.99,980.00,989.00,1097500,989.00
2015-11-09,999.50,1021.00,992.50,994.50,836800,994.50
2015-11-06,990.50,1009.00,988.50,999.50,737800,999.50
2015-11-05,1017.00,1018.00,987.50,988.00,1161800,988.00
2015-11-04,1000.00,1029.00,998.00,1018.00,1595400,1018.00
2015-11-03,977.00,1017.12,974.50,991.50,1131100,991.50
2015-11-02,951.50,975.00,951.50,973.00,879800,973.00
2015-10-30,950.00,962.50,950.00,962.00,1156900,962.00
2015-10-29,966.00,990.374,950.10,955.50,1248400,955.50
2015-10-28,960.00,974.00,950.10,963.00,1976700,963.00
2015-10-27,990.50,993.00,964.00,965.00,968200,965.00
2015-10-26,996.00,1005.20,989.50,989.50,894600,989.50
2015-10-23,987.00,1011.00,987.00,1002.00,1062800,1002.00
2015-10-22,981.50,988.50,972.50,984.00,1322500,984.00
2015-10-21,1019.00,1023.00,1005.00,1011.00,1548900,983.00
2015-10-20,996.50,997.00,982.50,990.50,863500,963.068
2015-10-19,1004.00,1016.34,994.00,998.00,828800,970.36
2015-10-16,1025.00,1031.00,1004.00,1009.00,1208100,981.055
2015-10-15,1009.00,1027.00,1008.00,1022.00,1404000,993.695
2015-10-14,1031.00,1042.00,1023.00,1030.00,1178700,1001.474
2015-10-13,1077.00,1077.00,1032.00,1037.00,1764100,1008.28
2015-10-12,1028.00,1085.00,1028.00,1051.00,2065200,1021.892
2015-10-09,1008.00,1038.00,1001.00,1025.00,2969000,996.612
2015-10-08,1005.00,1011.40,999.00,1001.00,1846800,973.277
2015-10-07,1007.00,1017.00,1004.00,1008.00,1934800,980.083
2015-10-06,1010.00,1012.50,1002.00,1008.00,1332900,980.083
2015-10-05,1015.00,1015.00,1004.00,1009.00,1937100,981.055
2015-10-02,1002.00,1007.64,987.00,997.00,1341700,969.388
2015-10-01,1019.00,1020.34,993.00,995.50,1801900,967.929
