Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1143.00,1154.00,1138.00,1152.00,2330500,1133.016
2016-02-17,1117.00,1153.00,1115.00,1143.00,3034600,1124.165
2016-02-16,1101.00,1112.00,1092.00,1112.00,2403600,1093.676
2016-02-15,1084.00,1100.00,1080.00,1095.00,2122400,1076.956
2016-02-12,1059.00,1066.00,1052.00,1065.00,2044700,1047.45
2016-02-11,1066.00,1070.00,1049.00,1051.00,3703100,1033.681
2016-02-10,1075.00,1093.00,1071.00,1081.00,2795100,1063.186
2016-02-09,1059.00,1070.00,1040.36,1067.00,3074200,1049.417
2016-02-08,1091.00,1099.00,1054.00,1056.00,2714300,1038.598
2016-02-05,1102.00,1111.00,1091.00,1093.00,3040300,1074.989
2016-02-04,1100.00,1145.00,1085.00,1101.00,3931200,1082.857
2016-02-03,1137.00,1145.00,1114.00,1116.00,2546100,1097.61
2016-02-02,1156.00,1163.00,1130.00,1137.00,2211100,1118.264
2016-02-01,1164.00,1167.00,1123.00,1153.00,4728400,1134.00
2016-01-29,1147.00,1162.00,1134.00,1162.00,2783700,1142.852
2016-01-28,1154.00,1157.00,1123.00,1134.00,2307300,1115.313
2016-01-27,1143.00,1163.00,1141.00,1163.00,2312500,1143.835
2016-01-26,1120.00,1146.00,1117.03,1142.00,1823300,1123.181
2016-01-25,1131.00,1136.00,1120.00,1131.00,1823000,1112.363
2016-01-22,1127.00,1130.00,1115.00,1125.00,2856000,1106.461
2016-01-21,1085.00,1104.00,1082.00,1104.00,2959100,1085.807
2016-01-20,1089.00,1095.00,1068.00,1082.00,2504500,1064.17
2016-01-19,1111.00,1118.00,1102.00,1107.00,2074400,1088.758
2016-01-18,1100.00,1116.00,1097.00,1103.00,1361300,1084.824
2016-01-15,1126.00,1134.00,1098.00,1103.00,2642600,1084.824
2016-01-14,1135.00,1137.00,1114.00,1126.00,2715400,1107.445
2016-01-13,1170.00,1174.00,1145.00,1150.00,3200400,1131.049
2016-01-12,1145.00,1177.00,1136.00,1160.00,2479500,1140.885
2016-01-11,1148.00,1151.23,1133.00,1138.00,1803300,1119.247
2016-01-08,1163.00,1172.00,1154.00,1155.00,1760300,1135.967
2016-01-07,1155.00,1170.00,1147.00,1167.00,2797100,1147.769
2016-01-06,1176.00,1188.00,1159.00,1176.00,2085700,1156.621
2016-01-05,1185.00,1187.00,1163.50,1179.00,2031100,1159.572
2016-01-04,1189.00,1195.80,1162.00,1169.00,2971000,1149.736
2015-12-31,1197.00,1217.00,1197.00,1208.00,428800,1188.094
2015-12-30,1203.00,1215.36,1200.00,1212.00,1895100,1192.028
2015-12-29,1181.00,1209.00,1181.00,1209.00,2268600,1189.077
2015-12-28,1173.00,1173.00,1173.00,1173.00,000,1153.67
2015-12-25,1173.00,1173.00,1173.00,1173.00,000,1153.67
2015-12-24,1175.00,1175.00,1164.00,1173.00,372600,1153.67
2015-12-23,1159.00,1172.00,1155.00,1171.00,1507800,1151.703
2015-12-22,1148.00,1158.30,1146.00,1153.00,1809300,1134.00
2015-12-21,1170.00,1170.00,1140.00,1143.00,4327800,1124.165
2015-12-18,1113.00,1188.00,1106.00,1172.00,6998300,1152.687
2015-12-17,1104.00,1139.00,1102.00,1120.00,2983700,1101.544
2015-12-16,1085.00,1096.00,1083.50,1086.00,1968400,1068.104
2015-12-15,1070.00,1088.00,1066.00,1086.00,2038800,1068.104
2015-12-14,1077.00,1081.00,1058.00,1060.00,2022900,1042.532
2015-12-11,1088.00,1090.00,1073.00,1073.00,2055600,1055.318
2015-12-10,1089.00,1092.00,1080.00,1088.00,1932500,1070.071
2015-12-09,1105.00,1107.98,1091.00,1091.00,1540100,1073.022
2015-12-08,1118.00,1129.00,1105.00,1105.00,2004200,1086.791
2015-12-07,1119.00,1130.00,1111.00,1116.00,995700,1097.61
2015-12-04,1112.00,1114.00,1099.00,1113.00,2101100,1094.659
2015-12-03,1139.00,1161.00,1117.00,1117.00,3758700,1098.593
2015-12-02,1130.00,1148.00,1130.00,1145.00,2035000,1126.132
2015-12-01,1138.00,1150.00,1126.00,1127.00,3429600,1108.428
2015-11-30,1120.00,1127.00,1114.00,1125.00,2084600,1106.461
2015-11-27,1132.00,1132.00,1121.00,1121.00,1519200,1102.527
2015-11-26,1122.00,1133.00,1112.00,1133.00,1210700,1114.33
2015-11-25,1113.00,1126.46,1109.00,1117.00,1339500,1098.593
2015-11-24,1111.00,1112.00,1092.00,1107.00,1308700,1088.758
2015-11-23,1109.00,1120.00,1107.00,1116.00,1271500,1097.61
2015-11-20,1127.00,1128.00,1110.00,1117.00,2118200,1098.593
2015-11-19,1116.00,1139.00,1111.00,1125.00,3261800,1106.461
2015-11-18,1097.00,1112.36,1093.03,1109.00,1920200,1090.725
2015-11-17,1079.00,1104.00,1079.00,1101.00,2236300,1082.857
2015-11-16,1068.00,1072.00,1064.00,1070.00,1821000,1052.368
2015-11-13,1077.00,1078.56,1067.00,1073.00,2580400,1055.318
2015-11-12,1096.00,1100.00,1080.00,1080.00,2012000,1062.203
2015-11-11,1093.00,1103.00,1089.00,1095.00,2724900,1076.956
2015-11-10,1098.00,1100.34,1084.00,1089.00,1766900,1071.055
2015-11-09,1115.00,1115.00,1088.38,1092.00,2326100,1074.005
2015-11-06,1107.00,1123.00,1102.00,1112.00,2115300,1093.676
2015-11-05,1108.00,1123.00,1099.00,1102.00,1607600,1083.84
2015-11-04,1110.00,1125.00,1102.00,1104.00,2182400,1085.807
2015-11-03,1107.00,1109.00,1099.99,1102.00,1435000,1083.84
2015-11-02,1101.00,1112.00,1098.00,1105.00,2425600,1086.791
2015-10-30,1101.00,1110.33,1093.00,1110.00,3971900,1091.709
2015-10-29,1115.00,1115.00,1072.00,1096.00,8338200,1077.939
2015-10-28,1142.00,1152.00,1133.00,1150.00,2199300,1131.049
2015-10-27,1152.00,1154.00,1140.00,1140.00,1898700,1121.214
2015-10-26,1149.00,1155.00,1145.00,1155.00,1669500,1135.967
2015-10-23,1144.00,1152.00,1136.00,1147.00,2427200,1128.099
2015-10-22,1142.00,1142.00,1125.00,1136.00,2152100,1117.28
2015-10-21,1146.00,1154.00,1136.00,1138.00,1437200,1119.247
2015-10-20,1156.00,1160.00,1144.00,1146.00,1705100,1127.115
2015-10-19,1144.00,1158.00,1141.00,1151.00,887900,1132.033
2015-10-16,1140.00,1151.00,1136.89,1147.00,1535000,1128.099
2015-10-15,1128.00,1137.00,1122.00,1133.00,2161400,1114.33
2015-10-14,1124.00,1132.00,1114.00,1122.00,2703900,1103.511
2015-10-13,1124.00,1134.00,1110.00,1130.00,2361700,1111.379
2015-10-12,1124.00,1126.00,1113.00,1123.00,1704500,1104.494
2015-10-09,1137.00,1137.00,1123.36,1126.00,1647100,1107.445
2015-10-08,1117.00,1130.00,1100.00,1128.00,2773400,1109.412
2015-10-07,1160.00,1161.00,1116.78,1120.00,3148100,1093.99
2015-10-06,1175.00,1175.00,1160.00,1161.00,1649500,1134.038
2015-10-05,1162.00,1174.00,1156.00,1169.00,1628200,1141.852
2015-10-02,1151.00,1166.00,1122.00,1142.00,3593200,1115.479
2015-10-01,1162.00,1172.00,1143.00,1147.00,2138700,1120.363
2015-09-30,1139.00,1155.00,1134.00,1153.00,2724000,1126.224
2015-09-29,1132.00,1134.00,1116.00,1122.00,2402100,1095.944
2015-09-28,1173.00,1174.00,1142.00,1143.00,2078900,1116.456
2015-09-25,1175.00,1191.00,1171.00,1175.00,2492000,1147.713
2015-09-24,1172.00,1180.00,1154.00,1159.00,1983500,1132.085
2015-09-23,1156.00,1179.00,1155.00,1171.00,2440000,1143.806
2015-09-22,1171.00,1179.00,1154.00,1156.00,5136100,1129.154
2015-09-21,1144.00,1170.00,1142.00,1165.00,2515600,1137.945
2015-09-18,1160.00,1160.00,1139.00,1144.00,4095000,1117.433
2015-09-17,1166.00,1173.80,1157.00,1159.00,1467300,1132.085
2015-09-16,1162.00,1169.00,1158.70,1163.00,1783300,1135.992
2015-09-15,1151.00,1162.00,1006.20,1155.00,1708200,1128.178
2015-09-14,1168.00,1178.00,1149.00,1149.00,1618700,1122.317
2015-09-11,1171.00,1173.70,1155.00,1161.00,2275900,1134.038
2015-09-10,1172.00,1181.00,1164.00,1171.00,2010700,1143.806
2015-09-09,1190.00,1195.00,1178.00,1181.00,1917900,1153.574
2015-09-08,1160.00,1183.00,1160.00,1165.00,1731200,1137.945
2015-09-07,1158.00,1163.00,1148.00,1157.00,1166600,1130.131
2015-09-04,1164.00,1164.00,1146.00,1150.00,2371800,1123.294
2015-09-03,1150.00,1170.00,1146.00,1166.00,2214200,1138.922
2015-09-02,1134.00,1156.35,1132.00,1136.00,2824300,1109.619
2015-09-01,1184.00,1185.00,1126.00,1130.00,3475200,1103.758
2015-08-31,1163.00,1163.00,1163.00,1163.00,000,1135.992
2015-08-28,1137.00,1163.35,1129.00,1163.00,3676900,1135.992
2015-08-27,1112.00,1138.00,1108.00,1134.00,3639900,1107.665
2015-08-26,1095.00,1111.00,1085.00,1088.00,3328300,1062.733
2015-08-25,1079.00,1116.00,1079.00,1113.00,4039100,1087.153
2015-08-24,1102.00,1105.00,1046.00,1071.00,4842900,1046.128
2015-08-21,1144.00,1153.00,1122.00,1122.00,3241700,1095.944
2015-08-20,1158.00,1176.62,1147.00,1158.00,3346800,1131.108
2015-08-19,1199.00,1200.00,1167.00,1168.00,2797400,1140.876
2015-08-18,1193.00,1202.00,1184.00,1199.00,2642000,1171.156
2015-08-17,1185.00,1193.00,1171.00,1191.00,1597100,1163.341
2015-08-14,1183.00,1183.00,1172.35,1179.00,1777400,1151.62
2015-08-13,1185.00,1192.00,1176.00,1181.00,2176900,1153.574
2015-08-12,1169.00,1173.84,1158.00,1170.00,3463500,1142.829
2015-08-11,1189.00,1189.30,1174.80,1178.00,2171200,1150.643
2015-08-10,1187.00,1190.00,1176.00,1190.00,1818300,1162.365
2015-08-07,1193.00,1195.00,1179.00,1181.00,2411000,1153.574
2015-08-06,1196.00,1206.27,1193.00,1194.00,1595900,1166.272
2015-08-05,1192.00,1203.00,1191.00,1203.00,4034300,1175.063
2015-08-04,1188.00,1194.00,1182.00,1194.00,2321400,1166.272
2015-08-03,1185.00,1192.00,1176.00,1188.00,4417300,1160.411
2015-07-31,1175.00,1193.00,1171.00,1189.00,3883500,1161.388
2015-07-30,1156.00,1167.00,1147.00,1167.00,3805300,1139.899
2015-07-29,1127.00,1135.00,1121.00,1135.00,2058300,1108.642
2015-07-28,1128.00,1132.00,1117.00,1124.00,1825700,1097.897
2015-07-27,1136.00,1138.00,1120.00,1122.00,2483800,1095.944
2015-07-24,1136.00,1157.00,1136.00,1141.00,1808000,1114.503
2015-07-23,1160.00,1160.00,1140.00,1141.00,1435700,1114.503
2015-07-22,1146.00,1154.00,1144.00,1151.00,1906000,1124.27
2015-07-21,1154.00,1157.00,1149.00,1154.00,2021800,1127.201
2015-07-20,1149.00,1160.00,1149.00,1156.00,1549000,1129.154
2015-07-17,1148.00,1150.00,1141.00,1150.00,1515500,1123.294
2015-07-16,1146.00,1148.00,1139.00,1146.00,1383100,1119.387
2015-07-15,1145.00,1147.00,1137.00,1142.00,1119500,1115.479
2015-07-14,1137.00,1143.13,1135.00,1143.00,1271500,1116.456
2015-07-13,1136.00,1141.00,1133.00,1137.00,1570800,1110.596
2015-07-10,1123.00,1129.00,1116.00,1124.00,2526400,1097.897
2015-07-09,1096.00,1117.00,1090.00,1114.00,4646800,1088.13
2015-07-08,1071.00,1090.11,1071.00,1086.00,2801700,1060.78
2015-07-07,1085.00,1085.00,1068.00,1068.00,2461200,1043.198
2015-07-06,1076.00,1087.00,1071.24,1082.00,1677700,1056.873
2015-07-03,1085.00,1094.00,1084.00,1084.00,1180000,1058.826
2015-07-02,1093.00,1094.00,1080.94,1090.00,3540400,1064.687
2015-07-01,1078.00,1104.00,1072.16,1095.00,2742700,1069.571
2015-06-30,1079.00,1086.00,1074.00,1074.00,3205100,1049.059
2015-06-29,1071.00,1092.00,1064.00,1084.00,3386300,1058.826
2015-06-26,1105.00,1108.00,1098.00,1099.00,2478900,1073.478
2015-06-25,1110.00,1120.00,1107.00,1107.00,3479700,1081.292
2015-06-24,1108.00,1115.00,1100.00,1115.00,4595600,1089.106
2015-06-23,1102.00,1118.00,1097.00,1111.00,3538700,1085.199
2015-06-22,1090.00,1097.00,1079.64,1087.00,3656700,1061.757
2015-06-19,1073.00,1095.00,1073.00,1082.00,3479200,1056.873
2015-06-18,1070.00,1074.00,1062.00,1072.00,3363400,1047.105
2015-06-17,1085.00,1088.00,1067.00,1074.00,3127100,1049.059
2015-06-16,1082.00,1089.00,1075.50,1084.00,2746700,1058.826
2015-06-15,1091.00,1099.00,1087.00,1087.00,3285900,1061.757
2015-06-12,1114.00,1114.00,1094.00,1097.00,3138100,1071.524
2015-06-11,1101.00,1115.00,1101.00,1114.00,2104100,1088.13
2015-06-10,1100.00,1111.00,1089.00,1111.00,2737700,1085.199
2015-06-09,1113.00,1113.00,1097.00,1100.00,2244300,1074.455
2015-06-08,1126.00,1126.00,1110.00,1111.00,1752100,1085.199
2015-06-05,1135.00,1135.00,1116.00,1123.00,2582000,1096.921
2015-06-04,1148.00,1152.00,1137.00,1137.00,3107600,1110.596
2015-06-03,1159.00,1165.00,1153.00,1153.00,2419500,1126.224
2015-06-02,1167.00,1167.00,1145.00,1155.00,3271600,1128.178
2015-06-01,1164.00,1174.00,1158.00,1161.00,2254500,1134.038
2015-05-29,1174.00,1181.00,1158.00,1160.00,2847100,1133.061
2015-05-28,1164.00,1179.00,1162.00,1170.00,2588500,1142.829
2015-05-27,1142.00,1169.00,1139.96,1165.00,3724700,1137.945
2015-05-26,1139.00,1142.00,1124.00,1140.00,2980000,1113.526
2015-05-25,1134.00,1134.00,1134.00,1134.00,000,1107.665
2015-05-22,1145.00,1145.00,1133.00,1134.00,2196800,1107.665
2015-05-21,1137.00,1149.00,1135.00,1140.00,3157300,1113.526
2015-05-20,1144.00,1144.00,1118.00,1134.00,3582100,1107.665
2015-05-19,1140.00,1146.11,1135.29,1138.00,2408100,1111.572
2015-05-18,1124.00,1135.00,1117.00,1135.00,2397300,1108.642
2015-05-15,1126.00,1131.00,1119.50,1125.00,2051500,1098.874
2015-05-14,1111.00,1124.00,1100.00,1121.00,2267700,1094.967
2015-05-13,1127.00,1134.00,1109.00,1112.00,1986800,1086.176
2015-05-12,1130.00,1132.00,1113.00,1124.00,2934900,1097.897
2015-05-11,1139.00,1146.50,1132.00,1135.00,1705600,1108.642
2015-05-08,1136.00,1146.00,1123.00,1142.00,2904500,1115.479
2015-05-07,1116.00,1126.00,1099.28,1121.00,3202300,1094.967
2015-05-06,1111.00,1123.00,1107.00,1120.00,3227800,1093.99
2015-05-05,1164.00,1164.00,1114.00,1114.00,4075600,1088.13
2015-05-04,1143.00,1143.00,1143.00,1143.00,000,1116.456
2015-05-01,1118.00,1143.00,1115.00,1143.00,2629600,1116.456
2015-04-30,1131.00,1157.63,1105.00,1117.00,4271100,1091.06
2015-04-29,1156.00,1165.00,1121.78,1122.00,2443000,1095.944
2015-04-28,1163.00,1165.00,1143.00,1152.00,2663700,1125.247
2015-04-27,1182.00,1186.00,1160.50,1168.00,2895300,1140.876
2015-04-24,1169.00,1185.00,1168.00,1184.00,2312300,1156.504
2015-04-23,1168.00,1178.00,1165.66,1173.00,3320300,1145.76
2015-04-22,1172.00,1175.00,1159.00,1169.00,2731500,1141.852
2015-04-21,1162.00,1170.00,1143.00,1166.00,2741200,1138.922
2015-04-20,1139.00,1158.00,1137.44,1158.00,2401100,1131.108
2015-04-17,1146.00,1154.00,1132.00,1136.00,2882400,1109.619
2015-04-16,1170.00,1170.00,1145.00,1146.00,2187600,1119.387
2015-04-15,1182.00,1186.00,1164.00,1172.00,2230100,1132.729
2015-04-14,1185.00,1194.00,1170.00,1180.00,2337400,1140.461
2015-04-13,1195.00,1198.49,1177.50,1190.00,1564000,1150.126
2015-04-10,1180.00,1195.00,1178.00,1195.00,2829700,1154.959
2015-04-09,1168.00,1179.00,1165.64,1179.00,2139300,1139.495
2015-04-08,1156.00,1176.00,1153.00,1162.00,2675000,1123.064
2015-04-07,1148.00,1155.00,1144.00,1155.00,2796000,1116.299
2015-04-06,1147.00,1147.00,1147.00,1147.00,000,1108.567
2015-04-03,1147.00,1147.00,1147.00,1147.00,000,1108.567
2015-04-02,1133.00,1152.00,1132.00,1147.00,2775400,1108.567
2015-04-01,1144.00,1161.00,1130.00,1132.00,3354400,1094.07
2015-03-31,1153.00,1168.00,1136.00,1144.00,3662400,1105.668
2015-03-30,1152.00,1153.00,1103.24,1145.00,3520800,1106.634
2015-03-27,1152.00,1159.00,1102.17,1142.00,1981900,1103.735
2015-03-26,1150.00,1153.00,1127.00,1148.00,3888700,1109.533
2015-03-25,1169.00,1178.00,1162.00,1162.00,2120400,1123.064
2015-03-24,1163.00,1177.00,1162.00,1168.00,2800600,1128.863
2015-03-23,1163.00,1165.00,1145.00,1163.00,3774400,1124.031
2015-03-20,1155.00,1163.00,1135.00,1148.00,4267600,1109.533
2015-03-19,1150.00,1156.00,1147.00,1151.00,3224300,1112.433
2015-03-18,1130.00,1152.00,1130.00,1152.00,2605200,1113.399
2015-03-17,1143.00,1148.50,1129.00,1135.00,2731400,1096.969
2015-03-16,1138.00,1146.00,1134.00,1146.00,1941100,1107.601
2015-03-13,1142.00,1150.00,1126.00,1133.00,2659900,1095.036
2015-03-12,1124.00,1143.00,1120.00,1141.00,3464100,1102.768
2015-03-11,1113.00,1120.00,1103.00,1120.00,3136100,1082.472
2015-03-10,1124.00,1126.00,1106.00,1113.00,4373200,1075.706
2015-03-09,1139.00,1145.00,1112.00,1126.00,5082000,1088.271
