Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,422.70,423.80,404.30,409.90,2664600,409.90
2016-02-17,396.40,422.60,394.30,419.60,2814200,419.60
2016-02-16,391.90,403.678,388.60,394.10,2125300,394.10
2016-02-15,384.70,394.30,382.855,390.70,1219500,390.70
2016-02-12,375.00,381.20,371.70,379.80,2097800,379.80
2016-02-11,375.00,377.50,366.30,372.20,2697600,372.20
2016-02-10,367.50,380.50,364.20,375.80,1479300,375.80
2016-02-09,368.00,373.10,359.10,367.30,2379200,367.30
2016-02-08,394.00,395.70,364.30,366.00,3342900,366.00
2016-02-05,397.00,403.50,390.00,394.00,2310700,394.00
2016-02-04,400.40,407.70,392.503,399.20,1747300,399.20
2016-02-03,405.20,413.10,397.10,397.20,2775500,397.20
2016-02-02,426.00,427.776,399.40,406.80,2995600,406.80
2016-02-01,415.10,421.10,410.70,416.40,1504800,416.40
2016-01-29,408.50,415.799,406.00,415.60,2225800,415.60
2016-01-28,414.30,416.10,404.094,404.50,1571600,404.50
2016-01-27,415.20,418.00,403.60,414.00,2698600,414.00
2016-01-26,413.40,419.50,408.70,417.50,1900900,417.50
2016-01-25,426.80,428.20,415.20,419.00,2225000,419.00
2016-01-22,408.20,424.00,402.90,422.00,2726100,422.00
2016-01-21,403.60,409.50,392.20,397.80,2711400,397.80
2016-01-20,386.20,405.50,386.15,403.90,2835700,403.90
2016-01-19,391.90,402.00,391.90,394.80,1746300,394.80
2016-01-18,409.20,412.60,390.00,390.00,2651100,390.00
2016-01-15,420.30,423.50,407.60,409.40,2646600,409.40
2016-01-14,428.00,430.50,418.60,421.70,5087200,421.70
2016-01-13,419.00,431.30,413.20,427.80,5730400,427.80
2016-01-12,400.90,419.053,381.60,412.00,9069100,412.00
2016-01-11,431.00,433.90,403.00,403.00,4495000,403.00
2016-01-08,512.00,527.00,424.00,433.30,8859800,433.30
2016-01-07,526.00,528.00,510.50,512.00,3009800,512.00
2016-01-06,549.50,551.00,531.50,533.00,1618200,533.00
2016-01-05,555.50,560.00,547.50,553.50,1271600,553.50
2016-01-04,573.00,576.50,552.50,553.50,1874800,553.50
2015-12-31,567.00,579.00,567.00,577.00,245700,577.00
2015-12-30,570.00,573.00,563.50,569.50,609200,569.50
2015-12-29,562.00,574.00,560.50,573.50,1507300,573.50
2015-12-24,564.00,565.50,558.50,564.50,118900,564.50
2015-12-23,565.50,566.50,555.50,561.00,1148100,561.00
2015-12-22,564.50,569.00,555.50,563.00,1057800,563.00
2015-12-21,566.50,570.007,563.50,563.50,1090000,563.50
2015-12-18,580.00,583.00,570.00,570.00,1459000,570.00
2015-12-17,582.00,583.00,571.00,576.50,1750000,576.50
2015-12-16,580.00,581.50,565.983,570.50,1996900,570.50
2015-12-15,578.50,581.00,573.50,579.50,1616500,579.50
2015-12-14,581.50,593.50,574.00,574.00,1686700,574.00
2015-12-11,583.00,587.50,573.00,586.00,3004400,586.00
2015-12-10,645.00,645.00,567.00,592.50,5106800,592.50
2015-12-09,684.00,684.50,663.00,665.50,1273100,665.50
2015-12-08,688.50,690.00,674.50,675.00,1762700,675.00
2015-12-07,698.00,706.00,687.00,687.50,998500,687.50
2015-12-04,695.00,702.50,692.50,697.50,1414900,697.50
2015-12-03,738.50,738.50,693.50,697.00,2480000,697.00
2015-12-02,738.00,741.00,735.00,737.00,1027200,737.00
2015-12-01,735.00,738.00,731.50,736.50,1009800,736.50
2015-11-30,713.50,735.00,710.00,731.00,2052100,731.00
2015-11-27,707.50,717.00,704.00,711.50,774300,711.50
2015-11-26,700.00,712.50,700.00,708.50,540700,708.50
2015-11-25,684.00,702.00,684.00,701.50,1014000,701.50
2015-11-24,690.00,693.00,678.00,680.50,703700,680.50
2015-11-23,693.00,698.00,692.00,694.50,387800,694.50
2015-11-20,708.00,709.50,694.50,698.00,817000,698.00
2015-11-19,708.00,714.00,704.00,707.50,824900,707.50
2015-11-18,696.00,703.50,686.00,702.00,683200,702.00
2015-11-17,689.50,699.50,687.00,696.00,585700,696.00
2015-11-16,679.50,690.66,674.00,683.00,750700,683.00
2015-11-13,687.00,691.00,681.00,683.00,758600,683.00
2015-11-12,692.50,694.50,683.50,686.50,616200,686.50
2015-11-11,690.50,697.00,688.00,693.00,547500,693.00
2015-11-10,694.50,694.50,681.00,688.50,879200,688.50
2015-11-09,701.00,703.50,691.00,691.50,900700,691.50
2015-11-06,696.50,702.50,691.00,702.00,1509400,702.00
2015-11-05,685.00,699.00,683.50,693.00,1135600,693.00
2015-11-04,684.50,692.50,682.00,684.50,607400,684.50
2015-11-03,691.50,695.50,684.00,686.00,674000,686.00
2015-11-02,690.50,696.50,690.50,694.00,885700,694.00
2015-10-30,687.50,702.00,686.50,697.00,1410500,697.00
2015-10-29,688.50,692.25,683.50,687.00,1027800,687.00
2015-10-28,685.00,690.00,681.00,689.00,1036400,689.00
2015-10-27,684.00,692.00,679.50,684.00,1468600,684.00
2015-10-26,679.50,684.50,671.50,684.00,1375400,684.00
2015-10-23,663.50,679.50,663.00,679.50,1588500,679.50
2015-10-22,664.00,664.50,656.00,662.00,1142700,662.00
2015-10-21,660.00,667.875,656.00,663.50,1712100,663.50
2015-10-20,660.00,666.00,657.00,658.00,1379300,658.00
2015-10-19,652.00,660.50,647.50,660.00,1424800,660.00
2015-10-16,656.00,660.00,647.50,652.50,1669800,652.50
2015-10-15,675.50,679.60,646.00,650.50,2808000,650.50
2015-10-14,681.00,681.00,671.15,675.00,1192300,675.00
2015-10-13,688.00,689.00,677.00,682.50,1341300,682.50
2015-10-12,691.00,693.50,679.00,687.00,2133200,687.00
2015-10-09,733.00,734.00,688.321,690.00,3893400,690.00
2015-10-08,742.00,742.00,729.00,739.00,1747900,739.00
2015-10-07,765.50,769.00,741.00,742.00,1681700,742.00
2015-10-06,777.50,780.00,773.50,775.50,970100,775.50
2015-10-05,764.50,775.50,759.50,774.50,1209600,774.50
2015-10-02,758.50,761.50,749.00,758.00,1021600,758.00
2015-10-01,765.00,765.69,751.50,755.00,989800,755.00
2015-09-30,752.00,757.50,748.50,757.00,1211700,757.00
2015-09-29,746.00,749.00,738.50,740.50,1227300,740.50
2015-09-28,751.50,755.50,749.33,753.50,632700,753.50
2015-09-25,760.50,760.50,753.00,755.50,1352400,755.50
2015-09-24,749.50,755.50,745.00,748.00,1031900,748.00
2015-09-23,737.00,751.50,737.00,748.50,687700,748.50
2015-09-22,757.00,759.50,739.00,739.50,652700,739.50
2015-09-21,758.00,766.00,754.00,757.50,770100,757.50
2015-09-18,763.00,765.835,757.50,760.00,1228700,760.00
2015-09-17,763.50,771.50,759.50,766.00,2050700,766.00
2015-09-16,754.00,767.652,753.50,765.00,945100,765.00
2015-09-15,757.00,759.00,747.00,751.50,1266700,751.50
2015-09-14,761.00,767.50,754.50,754.50,787100,754.50
2015-09-11,773.50,775.00,757.00,759.50,1312100,759.50
2015-09-10,764.00,774.00,762.50,769.50,1067400,769.50
2015-09-09,771.50,789.50,771.00,775.50,1124200,775.50
2015-09-08,783.50,786.42,773.50,775.50,2805300,775.50
2015-09-07,799.50,802.00,780.50,780.50,1597800,780.50
2015-09-04,797.00,802.00,782.00,792.50,1652600,792.50
2015-09-03,793.00,812.50,790.50,803.00,1080600,803.00
2015-09-02,788.50,801.50,783.00,794.00,1260500,794.00
2015-09-01,789.00,800.00,785.50,787.50,1424700,787.50
2015-08-31,794.00,794.00,794.00,794.00,000,794.00
2015-08-28,789.00,794.50,780.00,794.00,1145800,794.00
2015-08-27,774.00,790.50,769.50,787.50,1074400,787.50
2015-08-26,770.50,781.00,758.50,758.50,3527400,758.50
2015-08-25,765.50,778.50,763.00,777.00,1247400,777.00
2015-08-24,760.50,771.50,754.716,760.00,2377800,760.00
2015-08-21,789.00,792.00,774.50,774.50,1007200,774.50
2015-08-20,803.50,806.50,797.50,799.50,685600,799.50
2015-08-19,807.00,816.72,795.50,807.50,900100,807.50
2015-08-18,803.00,810.18,801.00,809.00,849700,809.00
2015-08-17,806.50,809.00,797.50,804.00,596300,804.00
2015-08-14,792.00,805.00,791.50,799.50,708700,799.50
2015-08-13,796.00,809.11,788.50,794.00,1307900,794.00
2015-08-12,810.00,810.00,783.00,788.00,1436100,788.00
2015-08-11,813.50,820.50,810.50,815.50,861400,815.50
2015-08-10,807.50,818.00,800.50,817.50,880300,817.50
2015-08-07,802.50,807.50,796.50,805.50,1565500,805.50
2015-08-06,803.50,806.50,797.00,802.50,3250800,802.50
2015-08-05,811.50,812.46,789.00,803.50,1942600,803.50
2015-08-04,797.50,812.50,795.00,811.50,1734400,811.50
2015-08-03,787.50,802.00,783.00,798.50,1173800,798.50
2015-07-31,783.50,794.00,782.00,792.00,1224200,792.00
2015-07-30,783.50,787.50,777.50,779.50,1130800,779.50
2015-07-29,777.50,783.00,773.83,782.00,1277300,782.00
2015-07-28,772.00,779.00,769.50,775.00,1296000,775.00
2015-07-27,772.50,785.00,766.50,768.50,1867400,768.50
2015-07-24,779.50,782.00,774.00,777.00,1578100,777.00
2015-07-23,785.00,791.50,776.00,782.00,1968500,782.00
