Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1379.00,1400.00,1376.00,1390.00,2653200,1390.00
2016-02-17,1364.00,1376.00,1354.00,1376.00,3356900,1376.00
2016-02-16,1374.00,1377.00,1351.00,1358.00,2456000,1358.00
2016-02-15,1358.00,1373.00,1354.00,1367.00,1884400,1367.00
2016-02-12,1336.00,1350.30,1331.00,1346.00,3235500,1346.00
2016-02-11,1342.00,1346.00,1317.00,1321.00,2760900,1321.00
2016-02-10,1362.00,1362.00,1340.00,1350.00,2785000,1350.00
2016-02-09,1370.00,1377.00,1346.64,1347.00,4181900,1347.00
2016-02-08,1394.00,1401.00,1360.00,1362.00,3167600,1362.00
2016-02-05,1411.00,1414.00,1388.00,1392.00,2466200,1392.00
2016-02-04,1423.00,1427.00,1395.00,1409.00,2921300,1409.00
2016-02-03,1409.00,1422.00,1395.00,1404.00,2658700,1404.00
2016-02-02,1432.00,1435.00,1403.00,1410.00,2393100,1410.00
2016-02-01,1450.00,1453.00,1411.00,1432.00,3565800,1432.00
2016-01-29,1438.00,1450.00,1426.00,1450.00,3621500,1450.00
2016-01-28,1434.00,1449.00,1413.00,1424.00,3068000,1424.00
2016-01-27,1409.00,1432.00,1400.00,1432.00,3753300,1432.00
2016-01-26,1375.00,1407.00,1367.00,1407.00,3651400,1407.00
2016-01-25,1395.00,1395.00,1372.50,1385.00,2923300,1385.00
2016-01-22,1363.00,1390.00,1358.00,1385.00,4219600,1385.00
2016-01-21,1366.00,1371.00,1329.71,1345.00,5857600,1345.00
2016-01-20,1403.00,1420.00,1383.00,1385.00,4539200,1358.10
2016-01-19,1430.00,1432.84,1413.00,1423.00,3782200,1395.362
2016-01-18,1424.00,1432.00,1408.36,1413.00,2447000,1385.556
2016-01-15,1461.00,1468.00,1418.00,1424.00,3375400,1396.342
2016-01-14,1474.00,1474.00,1453.00,1460.00,3602600,1431.643
2016-01-13,1481.00,1494.03,1470.00,1483.00,2458500,1454.197
2016-01-12,1483.00,1493.00,1471.00,1471.00,2797500,1442.43
2016-01-11,1475.00,1486.94,1463.06,1475.00,2250200,1446.352
2016-01-08,1495.00,1501.00,1478.00,1478.00,2458400,1449.294
2016-01-07,1495.00,1505.00,1468.76,1487.00,3296600,1458.119
2016-01-06,1526.00,1532.00,1501.00,1520.00,2040600,1490.478
2016-01-05,1529.00,1532.00,1499.00,1505.00,1481300,1475.769
2016-01-04,1512.00,1514.00,1497.00,1505.00,2622500,1475.769
2015-12-31,1534.00,1535.08,1519.00,1528.00,1097000,1498.323
2015-12-30,1552.00,1556.00,1536.76,1544.00,1696400,1514.012
2015-12-29,1533.00,1558.00,1528.00,1558.00,1930200,1527.74
2015-12-24,1520.00,1535.94,1510.10,1533.00,556500,1503.225
2015-12-23,1499.00,1519.00,1499.00,1516.00,1851500,1486.556
2015-12-22,1490.00,1493.00,1477.00,1489.00,1761000,1460.08
2015-12-21,1481.00,1497.00,1470.25,1481.00,1945400,1452.235
2015-12-18,1476.00,1491.00,1469.30,1485.00,4805000,1456.158
2015-12-17,1482.00,1491.36,1468.35,1483.00,2993300,1454.197
2015-12-16,1445.00,1465.00,1433.00,1465.00,4128500,1436.546
2015-12-15,1417.00,1455.00,1411.50,1450.00,2465200,1421.838
2015-12-14,1440.00,1446.75,1407.00,1407.00,4011300,1379.673
2015-12-11,1444.00,1449.00,1428.00,1435.00,3487300,1407.129
2015-12-10,1435.00,1452.00,1434.30,1450.00,2509000,1421.838
2015-12-09,1424.00,1450.00,1422.38,1442.00,2680900,1413.993
