Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,908.00,916.50,893.50,896.50,1328600,896.50
2016-02-17,862.00,899.00,860.00,899.00,1513700,899.00
2016-02-16,867.00,867.00,847.00,860.00,1309400,860.00
2016-02-15,851.50,865.50,844.46,855.00,1267200,855.00
2016-02-12,809.00,830.00,802.50,830.00,2109600,830.00
2016-02-11,839.00,839.50,800.50,801.00,1459100,801.00
2016-02-10,818.50,852.50,809.50,844.00,2331300,844.00
2016-02-09,832.50,837.50,804.50,811.50,1868700,811.50
2016-02-08,877.00,883.50,824.923,831.00,1976000,831.00
2016-02-05,898.00,901.50,871.00,872.50,1278000,872.50
2016-02-04,915.50,922.00,884.50,892.50,1626300,892.50
2016-02-03,910.00,925.50,886.00,901.00,1993500,901.00
2016-02-02,943.50,943.50,908.50,915.50,1282300,915.50
2016-02-01,959.00,959.00,934.00,946.00,1245900,946.00
2016-01-29,924.50,953.00,923.50,953.00,1509700,953.00
2016-01-28,922.50,932.50,910.50,915.00,1059700,915.00
2016-01-27,914.00,929.50,907.50,929.50,1343700,929.50
2016-01-26,903.00,915.50,893.00,912.50,1895200,912.50
2016-01-25,915.00,917.00,902.50,909.00,976200,909.00
2016-01-22,910.00,915.515,899.50,909.00,1701300,909.00
2016-01-21,884.00,906.00,880.161,892.50,2720300,892.50
2016-01-20,903.00,911.50,868.00,879.50,2121600,879.50
2016-01-19,916.00,928.00,899.792,925.00,1479200,925.00
2016-01-18,888.00,906.50,888.00,899.50,1424100,899.50
2016-01-15,915.50,925.00,880.00,892.50,1554900,892.50
2016-01-14,924.50,925.50,906.50,918.00,1486300,918.00
2016-01-13,929.00,958.50,925.50,936.50,2270900,936.50
2016-01-12,906.00,922.50,898.50,918.00,1963700,918.00
2016-01-11,912.00,920.50,900.75,907.00,1568700,907.00
2016-01-08,926.50,943.00,921.435,921.50,1172800,921.50
2016-01-07,930.00,933.25,910.50,926.50,1596900,926.50
2016-01-06,960.00,967.75,940.00,952.00,1190200,952.00
2016-01-05,984.50,993.00,966.00,977.00,959200,977.00
2016-01-04,993.50,998.875,965.50,977.00,1056300,977.00
2015-12-31,1007.00,1022.00,1003.00,1008.00,131700,1008.00
2015-12-30,1021.00,1021.00,1006.00,1014.00,409800,1014.00
2015-12-29,1010.00,1023.00,995.75,1023.00,580000,1023.00
2015-12-24,997.50,1002.00,994.625,996.00,75000,996.00
2015-12-23,980.00,996.50,974.50,992.50,563300,992.50
2015-12-22,977.50,980.00,964.50,970.00,564500,970.00
2015-12-21,971.50,982.00,965.50,965.50,513900,965.50
2015-12-18,984.50,987.50,972.50,973.50,1501800,973.50
2015-12-17,987.50,1004.64,986.50,988.50,1040000,988.50
2015-12-16,971.50,979.00,964.50,972.00,1048400,972.00
2015-12-15,934.00,974.00,932.00,970.00,1153700,970.00
2015-12-14,940.00,958.00,925.50,927.00,1028800,927.00
2015-12-11,965.00,971.00,944.50,947.00,1101000,947.00
2015-12-10,970.00,976.00,953.00,971.50,887900,971.50
2015-12-09,989.00,994.50,975.50,983.00,940200,983.00
2015-12-08,1001.00,1007.00,985.00,989.00,667400,989.00
2015-12-07,997.50,1009.73,988.50,1004.00,802600,1004.00
