Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,2115.00,2142.00,2113.88,2134.00,413200,2134.00
2016-02-17,2124.00,2132.00,2101.00,2113.00,799600,2113.00
2016-02-16,2121.00,2125.00,2097.00,2124.00,367000,2124.00
2016-02-15,2084.00,2114.00,2084.00,2111.00,434600,2111.00
2016-02-12,2063.00,2070.00,2047.00,2060.00,564100,2060.00
2016-02-11,2073.00,2073.00,2034.00,2048.00,437600,2048.00
2016-02-10,2076.00,2093.00,2060.00,2079.00,463000,2079.00
2016-02-09,2095.00,2104.00,2056.00,2070.00,751500,2070.00
2016-02-08,2145.00,2151.00,2072.00,2079.00,588100,2079.00
2016-02-05,2171.00,2178.00,2134.00,2140.00,433700,2140.00
2016-02-04,2205.00,2205.00,2165.00,2181.00,436800,2181.00
2016-02-03,2188.00,2213.00,2173.00,2186.00,502800,2186.00
2016-02-02,2205.00,2215.00,2178.00,2198.00,573700,2198.00
2016-02-01,2190.00,2223.00,2183.03,2211.00,604800,2211.00
2016-01-29,2147.00,2189.00,2135.00,2189.00,872000,2189.00
2016-01-28,2143.00,2156.00,2118.00,2130.00,731300,2130.00
2016-01-27,2123.00,2152.00,2118.00,2152.00,437400,2152.00
2016-01-26,2107.00,2134.00,2103.00,2126.00,429100,2126.00
2016-01-25,2139.00,2143.00,2120.00,2129.00,335900,2129.00
2016-01-22,2111.00,2131.00,2108.21,2124.00,493000,2124.00
2016-01-21,2070.00,2091.00,2041.60,2088.00,703400,2088.00
2016-01-20,2090.00,2107.88,2062.00,2073.00,845900,2073.00
2016-01-19,2100.00,2123.00,2085.00,2117.00,675100,2117.00
2016-01-18,2080.00,2099.00,2065.00,2071.00,529200,2071.00
2016-01-15,2100.00,2124.00,2062.00,2084.00,1126400,2084.00
2016-01-14,2121.00,2124.00,2103.00,2105.00,850600,2105.00
2016-01-13,2149.00,2151.00,2127.00,2134.00,858400,2134.00
2016-01-12,2131.00,2136.00,2113.00,2129.00,815700,2129.00
2016-01-11,2136.00,2146.88,2119.00,2130.00,448200,2130.00
2016-01-08,2155.00,2163.81,2140.00,2140.00,509500,2140.00
2016-01-07,2111.00,2152.00,2107.00,2147.00,576400,2147.00
2016-01-06,2150.00,2163.00,2132.25,2152.00,423300,2152.00
2016-01-05,2169.00,2190.00,2144.00,2151.00,329300,2151.00
2016-01-04,2158.00,2163.00,2136.00,2151.00,584000,2151.00
2015-12-31,2196.00,2215.00,2162.00,2177.00,324300,2177.00
2015-12-30,2195.00,2219.00,2188.80,2203.00,291600,2203.00
2015-12-29,2181.00,2211.00,2162.00,2205.00,460100,2205.00
2015-12-24,2170.00,2175.00,2161.00,2175.00,136100,2175.00
2015-12-23,2137.00,2172.00,2137.00,2169.00,375300,2169.00
2015-12-22,2154.00,2154.00,2116.00,2124.00,300200,2124.00
2015-12-21,2125.00,2152.00,2115.00,2136.00,518800,2136.00
2015-12-18,2159.00,2160.00,2126.00,2131.00,886600,2131.00
2015-12-17,2166.00,2175.00,2148.25,2162.00,501600,2162.00
2015-12-16,2142.00,2145.00,2134.00,2140.00,550000,2140.00
2015-12-15,2130.00,2146.00,2123.00,2143.00,533900,2143.00
2015-12-14,2125.00,2145.00,2107.00,2109.00,565100,2109.00
2015-12-11,2128.00,2132.00,2108.00,2108.00,582800,2108.00
2015-12-10,2144.00,2152.00,2128.00,2128.00,459200,2128.00
2015-12-09,2164.00,2176.41,2153.00,2154.00,413600,2154.00
2015-12-08,2184.00,2184.00,2154.00,2163.00,517900,2163.00
2015-12-07,2200.00,2201.00,2176.00,2185.00,518500,2185.00
2015-12-04,2181.00,2200.00,2172.00,2190.00,505300,2190.00
2015-12-03,2248.00,2256.00,2187.00,2197.00,852100,2197.00
2015-12-02,2294.00,2295.00,2271.58,2280.00,390200,2247.74
2015-12-01,2261.00,2292.00,2245.00,2277.00,663600,2244.782
2015-11-30,2249.00,2263.00,2225.00,2252.00,792300,2220.136
2015-11-27,2209.00,2249.00,2187.00,2248.00,492100,2216.193
2015-11-26,2201.00,2232.00,2176.00,2202.00,389900,2170.844
2015-11-25,2179.00,2187.00,2167.25,2181.00,464400,2150.141
2015-11-24,2196.00,2196.00,2155.00,2165.00,383100,2134.367
2015-11-23,2216.00,2218.76,2204.00,2206.00,237500,2174.787
2015-11-20,2217.00,2235.50,2196.02,2228.00,456300,2196.476
2015-11-19,2212.00,2214.00,2184.00,2214.00,530600,2182.674
2015-11-18,2199.00,2201.00,2172.00,2198.00,344300,2166.90
2015-11-17,2162.00,2198.00,2157.96,2198.00,463200,2166.90
2015-11-16,2127.00,2148.00,2116.00,2148.00,306000,2117.608
2015-11-13,2139.00,2139.00,2116.00,2134.00,371200,2103.806
2015-11-12,2141.00,2171.88,2136.25,2140.00,442100,2109.721
2015-11-11,2134.00,2169.00,2134.00,2146.00,534600,2115.636
2015-11-10,2137.00,2142.94,2115.00,2134.00,759000,2103.806
2015-11-09,2156.00,2169.00,2118.00,2128.00,763700,2097.891
2015-11-06,2219.00,2227.00,2177.00,2185.00,520200,2154.084
2015-11-05,2242.00,2253.00,2217.00,2219.00,572100,2187.603
2015-11-04,2219.00,2243.00,2213.00,2236.00,330100,2204.363
2015-11-03,2239.00,2239.00,2213.00,2219.00,323800,2187.603
2015-11-02,2238.00,2259.00,2231.00,2239.00,398800,2207.32
2015-10-30,2251.00,2256.00,2228.00,2243.00,554700,2211.264
2015-10-29,2250.00,2253.00,2233.00,2248.00,511800,2216.193
2015-10-28,2247.00,2270.00,2244.00,2253.00,363100,2221.122
2015-10-27,2268.00,2275.00,2244.25,2249.00,344700,2217.179
2015-10-26,2256.00,2272.00,2240.00,2268.00,291300,2235.91
2015-10-23,2261.00,2274.75,2253.00,2270.00,396600,2237.881
2015-10-22,2255.00,2262.00,2239.00,2254.00,505500,2222.108
2015-10-21,2262.00,2274.00,2250.00,2259.00,352200,2227.037
2015-10-20,2252.00,2267.00,2248.24,2258.00,341900,2226.051
2015-10-19,2239.00,2260.00,2235.00,2247.00,241600,2215.207
2015-10-16,2234.00,2256.00,2234.00,2247.00,402100,2215.207
2015-10-15,2217.00,2236.00,2205.00,2231.00,372800,2199.433
2015-10-14,2205.00,2226.00,2199.00,2202.00,392800,2170.844
2015-10-13,2222.00,2223.00,2197.00,2217.00,331400,2185.631
2015-10-12,2226.00,2233.00,2208.00,2221.00,403900,2189.575
2015-10-09,2258.00,2261.00,2225.00,2228.00,663800,2196.476
2015-10-08,2237.00,2250.00,2216.00,2248.00,615700,2216.193
2015-10-07,2226.00,2261.00,2226.00,2232.00,929300,2200.419
2015-10-06,2265.00,2268.00,2220.84,2221.00,833200,2189.575
2015-10-05,2245.00,2254.00,2232.00,2254.00,674600,2222.108
2015-10-02,2216.00,2230.00,2199.00,2215.00,607600,2183.66
2015-10-01,2199.00,2224.00,2196.00,2200.00,541800,2168.872
2015-09-30,2177.00,2189.36,2168.00,2184.00,859400,2153.098
2015-09-29,2132.00,2153.00,2131.00,2136.00,555800,2105.777
2015-09-28,2156.00,2166.00,2147.00,2147.00,471100,2116.622
2015-09-25,2120.00,2171.00,2113.00,2159.00,708300,2128.452
2015-09-24,2091.00,2113.00,2086.00,2089.00,1125700,2059.442
2015-09-23,2080.00,2106.00,2076.00,2091.00,533400,2061.414
2015-09-22,2100.00,2108.00,2074.00,2078.00,633400,2048.598
2015-09-21,2095.00,2131.00,2095.00,2106.00,478300,2076.202
2015-09-18,2102.00,2116.00,2083.00,2098.00,1023100,2068.315
2015-09-17,2114.00,2125.00,2099.00,2103.00,708300,2073.244
2015-09-16,2100.00,2122.00,2090.00,2112.00,665400,2082.117
2015-09-15,2068.00,2099.00,2064.00,2088.00,728700,2058.457
2015-09-14,2085.00,2108.00,2058.00,2068.00,569300,2038.74
2015-09-11,2089.00,2093.00,2069.00,2082.00,506900,2052.542
2015-09-10,2094.00,2121.00,2086.00,2091.00,514800,2061.414
2015-09-09,2110.00,2127.00,2099.00,2103.00,817000,2073.244
2015-09-08,2073.00,2114.65,2073.00,2086.00,511600,2056.485
2015-09-07,2063.00,2090.00,2058.00,2064.00,402600,2034.796
2015-09-04,2061.00,2066.00,2046.00,2052.00,641800,2022.966
2015-09-03,2082.00,2089.00,2064.00,2073.00,605400,2043.669
2015-09-02,2044.00,2091.00,2041.00,2060.00,918200,2030.853
2015-09-01,2048.00,2065.00,2035.00,2041.00,1142100,2012.122
2015-08-31,2077.00,2077.00,2077.00,2077.00,000,2047.612
2015-08-28,2072.00,2078.00,2056.00,2077.00,997900,2047.612
2015-08-27,2077.00,2081.00,2066.00,2073.00,877200,2043.669
2015-08-26,2059.00,2081.75,2042.00,2045.00,1501000,2016.065
2015-08-25,2050.00,2092.00,2050.00,2082.00,1023600,2052.542
2015-08-24,2096.00,2102.00,2008.38,2039.00,1662100,2010.15
2015-08-21,2162.00,2178.00,2127.00,2127.00,829100,2096.905
2015-08-20,2176.00,2192.00,2163.00,2182.00,423600,2151.127
2015-08-19,2190.00,2212.00,2180.00,2189.00,565900,2158.028
2015-08-18,2186.00,2213.00,2170.00,2193.00,750500,2161.971
2015-08-17,2183.00,2188.00,2165.00,2184.00,292600,2153.098
2015-08-14,2162.00,2167.00,2153.00,2167.00,367200,2136.339
2015-08-13,2181.00,2193.00,2157.00,2161.00,517500,2130.424
2015-08-12,2176.00,2186.11,2157.00,2165.00,534200,2134.367
2015-08-11,2195.00,2195.00,2176.00,2185.00,424600,2154.084
2015-08-10,2201.00,2201.00,2173.00,2195.00,477800,2163.943
2015-08-07,2210.00,2212.84,2182.00,2190.00,452700,2159.013
2015-08-06,2210.00,2219.00,2204.12,2213.00,395200,2181.688
2015-08-05,2193.00,2219.00,2186.25,2219.00,500100,2187.603
2015-08-04,2196.00,2209.00,2182.00,2200.00,450900,2168.872
2015-08-03,2192.00,2213.00,2191.00,2203.00,501900,2171.829
2015-07-31,2197.00,2204.00,2182.00,2204.00,851800,2172.815
