Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1814.00,1814.00,1782.00,1799.00,426800,1799.00
2016-02-17,1748.00,1804.00,1748.00,1804.00,465700,1804.00
2016-02-16,1770.00,1770.00,1734.00,1750.00,1051400,1750.00
2016-02-15,1749.00,1775.00,1749.00,1760.00,557500,1760.00
2016-02-12,1689.00,1724.00,1688.52,1724.00,1182600,1724.00
2016-02-11,1701.00,1708.00,1664.00,1680.00,759800,1680.00
2016-02-10,1706.00,1740.00,1695.00,1715.00,802800,1715.00
2016-02-09,1695.00,1718.00,1662.00,1699.00,690000,1699.00
2016-02-08,1763.00,1763.00,1675.00,1688.00,580600,1688.00
2016-02-05,1791.00,1800.00,1748.00,1752.00,1059000,1752.00
2016-02-04,1775.00,1793.00,1754.00,1784.00,763300,1784.00
2016-02-03,1779.00,1785.00,1719.00,1753.00,959800,1753.00
2016-02-02,1817.00,1817.00,1774.00,1782.00,360600,1782.00
2016-02-01,1832.00,1839.00,1794.00,1820.00,538700,1820.00
2016-01-29,1802.00,1825.00,1794.00,1825.00,536200,1825.00
2016-01-28,1816.00,1834.92,1777.00,1785.00,540000,1785.00
2016-01-27,1789.00,1820.00,1789.00,1820.00,1149400,1820.00
2016-01-26,1766.00,1797.00,1759.85,1791.00,687800,1791.00
2016-01-25,1816.00,1816.00,1785.00,1789.00,562000,1789.00
2016-01-22,1811.00,1819.00,1793.00,1808.00,949600,1808.00
2016-01-21,1767.00,1788.00,1762.00,1786.00,691800,1786.00
2016-01-20,1798.00,1802.00,1761.00,1765.00,552200,1765.00
2016-01-19,1826.00,1841.00,1813.00,1820.00,653300,1820.00
2016-01-18,1841.00,1859.00,1802.00,1804.00,693600,1804.00
2016-01-15,1891.00,1893.00,1827.00,1839.00,752800,1839.00
2016-01-14,1910.00,1912.00,1878.00,1891.00,945400,1891.00
2016-01-13,1946.00,1955.00,1927.30,1929.00,1575100,1929.00
2016-01-12,1939.00,1944.00,1924.00,1930.00,722200,1930.00
2016-01-11,1950.00,1954.00,1923.00,1930.00,662400,1930.00
2016-01-08,1911.00,1964.00,1901.80,1923.00,951000,1923.00
2016-01-07,1915.00,1924.00,1893.00,1905.00,710200,1905.00
2016-01-06,1980.00,1997.02,1927.00,1948.00,1024300,1948.00
2016-01-05,1970.00,1997.00,1954.00,1936.00,628800,1936.00
2016-01-04,1960.00,1969.00,1928.00,1936.00,438700,1936.00
2015-12-31,2000.00,2001.00,1964.00,1973.00,101200,1973.00
2015-12-30,1998.00,2008.00,1985.00,1989.00,191000,1989.00
2015-12-29,1990.00,2008.00,1969.36,2006.00,347700,2006.00
2015-12-24,1976.00,1976.00,1960.00,1975.00,54900,1975.00
2015-12-23,1954.00,1976.80,1954.00,1968.00,373500,1968.00
2015-12-22,1960.00,1962.00,1928.00,1942.00,281500,1942.00
2015-12-21,1928.00,1968.00,1923.00,1944.00,545200,1944.00
2015-12-18,1932.00,1940.00,1914.00,1927.00,762000,1927.00
2015-12-17,1975.00,1983.00,1934.00,1935.00,798100,1935.00
2015-12-16,1939.00,1964.15,1928.00,1952.00,837400,1952.00
2015-12-15,1918.00,1950.00,1912.00,1940.00,562000,1940.00
2015-12-14,1955.00,1971.00,1926.00,1926.00,422400,1926.00
2015-12-11,1989.00,1989.00,1949.00,1951.00,560100,1951.00
2015-12-10,1997.00,2012.00,1985.37,1991.00,293200,1991.00
2015-12-09,2010.00,2018.00,1997.00,2008.00,400900,2008.00
2015-12-08,2027.00,2033.00,2002.00,2002.00,594500,2002.00
2015-12-07,2028.00,2039.00,2016.00,2026.00,371900,2026.00
2015-12-04,2005.00,2026.00,1997.00,2024.00,341700,2024.00
2015-12-03,2021.00,2053.00,2005.00,2008.00,574200,2008.00
2015-12-02,2051.00,2059.28,2024.00,2025.00,584800,2025.00
2015-12-01,2047.00,2064.00,2040.00,2046.00,602100,2046.00
2015-11-30,2001.00,2034.00,1993.00,2033.00,542000,2033.00
2015-11-27,1987.00,2007.00,1980.00,2006.00,285500,2006.00
2015-11-26,1980.00,1993.00,1970.00,1993.00,346600,1993.00
2015-11-25,1963.00,1990.00,1955.00,1977.00,525300,1977.00
2015-11-24,1967.00,1970.00,1935.00,1955.00,496600,1955.00
2015-11-23,1966.00,1985.00,1963.00,1978.00,632800,1978.00
2015-11-20,1977.00,1988.00,1958.00,1980.00,533200,1980.00
2015-11-19,1970.00,1982.00,1959.14,1965.00,811100,1965.00
2015-11-18,1926.00,1961.00,1926.00,1951.00,1012700,1951.00
2015-11-17,1915.00,1947.00,1915.00,1941.00,483300,1941.00
2015-11-16,1895.00,1912.00,1884.61,1900.00,623300,1900.00
2015-11-13,1920.00,1920.64,1885.00,1900.00,631200,1900.00
2015-11-12,1950.00,1954.00,1918.00,1918.00,591900,1918.00
2015-11-11,1965.00,1968.85,1944.00,1950.00,825900,1950.00
2015-11-10,2002.00,2002.00,1952.74,1962.00,1157100,1962.00
2015-11-09,1975.00,2009.00,1975.00,1991.00,732900,1991.00
2015-11-06,1948.00,1993.00,1937.00,1977.00,734100,1977.00
2015-11-05,1951.00,1966.00,1936.00,1948.00,542600,1948.00
2015-11-04,1955.00,1964.00,1939.00,1953.00,532900,1953.00
2015-11-03,1955.00,1958.00,1938.00,1953.00,656700,1953.00
2015-11-02,1907.00,1961.00,1903.00,1954.00,516100,1954.00
2015-10-30,1910.00,1932.00,1904.88,1916.00,476700,1916.00
2015-10-29,1914.00,1914.00,1897.00,1903.00,1013800,1903.00
2015-10-28,1882.00,1918.00,1882.00,1906.00,635300,1906.00
2015-10-27,1906.00,1919.50,1883.00,1883.00,672800,1883.00
2015-10-26,1940.00,1941.00,1899.00,1912.00,958100,1912.00
2015-10-23,1874.00,1943.00,1874.00,1939.00,2479900,1939.00
2015-10-22,1815.00,1898.00,1806.00,1845.00,4137800,1845.00
2015-10-21,1943.00,1966.70,1930.00,1963.00,909200,1963.00
2015-10-20,1935.00,1947.70,1924.00,1936.00,1001100,1936.00
2015-10-19,1928.00,1945.00,1924.00,1928.00,471800,1928.00
2015-10-16,1935.00,1949.00,1929.00,1936.00,630200,1936.00
2015-10-15,1930.00,1947.70,1920.00,1927.00,528700,1927.00
2015-10-14,1956.00,1957.50,1918.00,1918.00,574600,1918.00
2015-10-13,1965.00,1978.00,1963.00,1965.00,657700,1965.00
2015-10-12,1983.00,2000.00,1966.00,1969.00,583100,1969.00
2015-10-09,1991.00,2013.00,1979.00,1985.00,446800,1985.00
2015-10-08,1960.00,1986.00,1950.00,1982.00,894300,1982.00
2015-10-07,2001.00,2009.00,1975.00,1981.00,485100,1966.25
2015-10-06,1987.00,2013.00,1981.00,2002.00,410500,1987.094
2015-10-05,1984.00,1996.00,1972.00,1980.00,893500,1965.257
2015-10-02,1984.00,1998.00,1928.00,1951.00,945500,1936.473
2015-10-01,1982.00,2013.00,1976.00,1976.00,665500,1961.287
2015-09-30,1958.00,1976.00,1944.00,1966.00,851600,1951.362
2015-09-29,1986.00,2007.00,1927.00,1927.00,1385800,1912.652
2015-09-28,2021.00,2038.00,2008.00,2016.00,1355900,2000.989
2015-09-25,2011.00,2026.00,2001.00,2022.00,780300,2006.945
2015-09-24,2006.00,2009.00,1981.00,1982.00,1362800,1967.243
2015-09-23,1982.00,2016.00,1970.00,2000.00,662700,1985.108
2015-09-22,2039.00,2039.16,1985.00,1985.00,746900,1970.22
2015-09-21,2025.00,2053.00,2021.00,2038.00,595600,2022.826
2015-09-18,2049.00,2056.00,2028.00,2031.00,1161000,2015.878
