Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,186.65,189.945,185.25,186.75,24569800,186.75
2016-02-17,180.85,188.00,180.40,186.85,44451700,186.85
2016-02-16,179.50,180.85,176.51,180.55,25806300,180.55
2016-02-15,181.00,182.75,177.80,178.80,24362200,178.80
2016-02-12,180.20,181.517,173.20,177.00,33316200,177.00
2016-02-11,179.90,181.73,177.40,179.60,50407600,179.60
2016-02-10,175.10,183.45,174.20,181.30,48711200,181.30
2016-02-09,171.70,177.70,170.662,173.80,36394800,173.80
2016-02-08,176.00,178.20,169.80,172.60,31412200,172.60
2016-02-05,171.00,176.05,170.70,174.60,56810200,174.60
2016-02-04,170.35,171.40,166.40,169.90,22977200,169.90
2016-02-03,170.35,171.25,166.316,168.30,24129200,168.30
2016-02-02,170.80,171.70,166.00,171.10,30812000,171.10
2016-02-01,173.85,174.65,168.05,171.75,37377500,171.75
2016-01-29,168.25,173.40,165.25,173.40,53731700,173.40
2016-01-28,160.20,167.50,159.00,166.20,35242300,166.20
2016-01-27,159.55,161.55,156.50,161.00,23451000,161.00
2016-01-26,154.10,161.20,152.95,160.35,27375800,160.35
2016-01-25,161.10,161.70,154.85,155.70,22003000,155.70
2016-01-22,158.50,161.75,154.65,160.55,35802900,160.55
2016-01-21,152.65,156.80,150.70,156.05,27978000,156.05
2016-01-20,157.45,158.10,150.95,152.40,64879900,152.40
2016-01-19,163.80,165.70,156.603,159.10,45052600,159.10
2016-01-18,163.55,165.85,160.00,161.55,23564600,161.55
2016-01-15,168.50,169.30,160.35,164.45,42723300,164.45
2016-01-14,170.00,170.75,164.042,168.00,62893600,168.00
2016-01-13,156.10,161.95,154.00,158.30,41022500,158.30
2016-01-12,151.75,156.123,151.70,155.20,43323200,155.20
2016-01-11,147.55,148.70,145.45,145.45,23372900,145.45
2016-01-08,142.00,149.22,142.00,146.90,37742400,146.90
2016-01-07,138.60,139.90,137.00,139.20,32085600,139.20
2016-01-06,144.10,144.802,138.65,141.55,29127300,141.55
2016-01-05,146.80,150.00,143.50,142.25,26860700,142.25
2016-01-04,146.50,148.00,141.65,142.25,25646900,142.25
2015-12-31,150.40,151.55,147.20,149.50,6738900,149.50
2015-12-30,151.20,151.40,149.928,150.55,10814600,150.55
2015-12-29,150.35,151.37,148.35,151.15,17705400,151.15
2015-12-24,151.75,153.15,149.95,150.90,3130700,150.90
2015-12-23,146.15,153.10,145.65,152.90,20642900,152.90
2015-12-22,146.10,147.092,142.65,144.85,13519000,144.85
2015-12-21,141.10,147.364,141.00,145.30,17967100,145.30
2015-12-18,143.55,147.95,142.60,143.45,37998300,143.45
2015-12-17,150.85,153.036,144.70,144.85,32971200,144.85
2015-12-16,150.20,151.90,144.85,148.00,25146100,148.00
2015-12-15,144.85,149.75,143.098,149.30,29104100,149.30
2015-12-14,145.50,149.57,142.95,143.05,30588600,143.05
2015-12-11,149.90,150.65,143.34,144.35,32326700,144.35
2015-12-10,152.10,152.567,149.85,150.55,33640300,150.55
2015-12-09,156.45,157.60,153.00,153.00,29381500,153.00
2015-12-08,156.50,163.20,155.00,156.55,38330500,156.55
2015-12-07,162.60,162.80,156.65,157.00,25620800,157.00
2015-12-04,163.50,164.60,161.05,162.60,24550300,162.60
2015-12-03,166.75,170.80,163.90,163.90,25405100,163.90
2015-12-02,168.15,169.00,166.55,167.30,14902700,167.30
2015-12-01,167.60,169.10,166.10,167.60,19370200,167.60
2015-11-30,169.15,169.85,166.70,167.20,32771300,167.20
2015-11-27,169.05,170.85,167.75,169.15,16815000,169.15
2015-11-26,169.10,172.20,168.61,170.00,15395600,170.00
2015-11-25,165.00,168.75,164.50,168.50,24264500,168.50
2015-11-24,164.55,165.80,163.30,164.40,30597000,164.40
2015-11-23,170.55,171.30,164.35,165.10,31670600,165.10
2015-11-20,172.65,173.924,171.25,171.45,25352600,171.45
2015-11-19,171.65,174.70,171.10,172.00,23749800,172.00
2015-11-18,168.10,172.071,166.316,170.90,22802500,170.90
2015-11-17,170.10,173.50,168.05,169.00,37865200,169.00
2015-11-16,165.30,167.75,164.95,166.20,18588800,166.20
2015-11-13,171.05,171.40,166.95,167.00,26319700,167.00
2015-11-12,173.35,173.85,171.10,171.70,23241300,171.70
2015-11-11,176.00,177.60,171.928,174.00,29315900,174.00
2015-11-10,176.50,177.00,172.05,175.25,30314700,175.25
2015-11-09,182.50,184.60,178.40,178.55,17392600,178.55
2015-11-06,184.80,185.25,181.494,182.90,13544400,182.90
2015-11-05,188.80,189.04,183.90,184.00,19198000,184.00
2015-11-04,184.90,190.06,184.55,188.70,18617400,188.70
2015-11-03,183.50,185.80,182.90,184.65,10343100,184.65
2015-11-02,182.00,184.80,182.00,183.95,12519300,183.95
2015-10-30,186.55,188.05,181.95,183.30,17862200,183.30
2015-10-29,188.80,189.74,184.90,185.65,15102400,185.65
2015-10-28,185.75,189.80,184.45,188.75,14645300,188.75
2015-10-27,189.80,190.45,185.20,185.20,15904700,185.20
2015-10-26,190.20,193.60,188.95,190.55,11150100,190.55
2015-10-23,189.35,191.90,188.60,190.60,19655100,190.60
2015-10-22,187.30,189.94,187.30,188.25,26197900,188.25
2015-10-21,189.10,190.20,186.05,188.15,21081000,188.15
2015-10-20,193.20,195.00,188.65,189.10,27972900,189.10
2015-10-19,196.40,198.25,192.95,193.60,21570400,193.60
2015-10-16,192.70,197.75,191.95,196.95,38450100,196.95
2015-10-15,193.30,194.35,190.469,192.15,19569200,192.15
2015-10-14,193.25,195.70,192.20,192.45,16297400,192.45
2015-10-13,202.85,203.20,193.30,194.05,24414900,194.05
2015-10-12,203.70,204.85,201.30,201.85,20255300,201.85
2015-10-09,203.60,205.90,201.90,204.80,31135200,204.80
2015-10-08,194.40,202.95,194.40,201.75,48467300,201.75
2015-10-07,192.20,198.05,184.839,197.00,41036500,197.00
2015-10-06,185.55,193.50,185.55,192.15,28597500,192.15
2015-10-05,183.90,187.20,182.00,186.55,26401200,186.55
2015-10-02,179.75,181.90,176.65,179.85,17349700,179.85
