Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1059.00,1065.95,1041.00,1052.00,750000,1052.00
2016-02-17,1031.00,1061.00,1025.00,1059.00,810100,1059.00
2016-02-16,1031.00,1035.00,1018.52,1028.00,1025300,1028.00
2016-02-15,1025.00,1036.21,1014.00,1027.00,846200,1027.00
2016-02-12,1012.00,1025.00,997.93,1008.00,1228600,1008.00
2016-02-11,1044.00,1047.00,1009.00,1009.00,1130100,1009.00
2016-02-10,1055.00,1068.68,1027.00,1052.00,1552100,1052.00
2016-02-09,1090.00,1105.44,1048.22,1083.00,2171400,1027.00
2016-02-08,1147.00,1153.00,1078.39,1098.00,1044800,1041.22
2016-02-05,1165.00,1172.00,1135.86,1144.00,1063800,1031.74
2016-02-04,1179.00,1186.00,1143.00,1163.00,1499700,1048.88
2016-02-03,1172.00,1180.00,1146.00,1165.00,2028900,1050.68
2016-02-02,1197.00,1204.00,1157.65,1180.00,1336200,1064.21
2016-02-01,1189.00,1208.00,1176.00,1190.00,1658400,1073.23
2016-01-29,1184.00,1189.00,1161.00,1186.00,2226300,1069.62
2016-01-28,1212.00,1214.73,1170.00,1173.00,1036300,1057.90
2016-01-27,1208.00,1219.00,1202.04,1215.00,1127100,1095.77
2016-01-26,1207.00,1217.65,1194.00,1208.00,832800,1089.46
2016-01-25,1222.00,1237.00,1215.00,1217.00,702000,1097.58
2016-01-22,1218.00,1228.13,1209.36,1216.00,808000,1096.68
2016-01-21,1175.00,1207.98,1170.76,1202.00,1634100,1084.05
2016-01-20,1215.00,1219.00,1164.00,1175.00,5517900,1059.70
2016-01-19,1184.00,1240.00,1169.00,1236.00,2257700,1114.71
2016-01-18,1177.00,1194.45,1169.00,1171.00,732100,1056.09
2016-01-15,1186.00,1210.00,1150.70,1178.00,1254500,1062.41
2016-01-14,1237.00,1240.00,1190.00,1194.00,1652500,1076.84
2016-01-13,1280.00,1284.32,1251.00,1256.00,754200,1132.75
2016-01-12,1262.00,1281.00,1250.58,1269.00,1454800,1144.48
2016-01-11,1242.00,1264.47,1238.93,1251.00,1150000,1128.24
2016-01-08,1226.00,1259.00,1216.00,1249.00,1697200,1126.44
2016-01-07,1201.00,1226.00,1183.35,1218.00,1883700,1098.48
2016-01-06,1225.00,1234.00,1207.00,1223.00,1692500,1102.99
2016-01-05,1212.00,1245.61,1212.00,1234.00,1267300,1112.91
2016-01-04,1209.00,1231.00,1200.00,1207.00,955200,1088.56
2015-12-31,1224.00,1226.76,1200.00,1211.00,188200,1092.17
2015-12-30,1237.00,1240.00,1226.00,1229.00,650100,1108.40
2015-12-29,1238.00,1248.00,1229.64,1242.00,667100,1120.12
