Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,180.90,185.10,179.40,183.10,11821700,183.10
2016-02-17,174.00,180.10,173.50,179.60,9422500,179.60
2016-02-16,172.90,174.70,171.50,173.40,9212800,173.40
2016-02-15,175.10,175.50,171.50,171.60,11784000,171.60
2016-02-12,170.00,171.10,166.01,170.80,14019300,170.80
2016-02-11,173.60,174.10,167.20,168.80,15048200,168.80
2016-02-10,170.80,178.40,168.90,175.60,12640600,175.60
2016-02-09,170.10,173.483,166.742,169.80,18930600,169.80
2016-02-08,183.70,184.088,169.498,170.30,18273800,170.30
2016-02-05,188.70,191.10,182.80,182.80,12064700,182.80
2016-02-04,194.20,194.20,188.00,189.10,9354400,189.10
2016-02-03,192.70,194.75,190.628,191.30,9483000,191.30
2016-02-02,194.80,194.90,191.90,192.70,8514500,192.70
2016-02-01,194.80,195.80,191.90,195.20,8410300,195.20
2016-01-29,187.90,192.40,185.60,192.40,11008300,192.40
2016-01-28,187.80,189.41,184.402,186.10,10511100,186.10
2016-01-27,183.50,189.00,183.48,189.00,13501700,189.00
2016-01-26,182.90,185.30,181.30,184.30,7365300,184.30
2016-01-25,183.20,183.90,180.90,183.70,6789700,183.70
2016-01-22,181.70,182.80,179.50,181.50,10117000,181.50
2016-01-21,180.50,181.592,174.913,179.40,13541700,179.40
2016-01-20,181.40,183.90,178.60,179.60,13081700,179.60
2016-01-19,183.00,185.80,181.00,184.80,11499100,184.80
2016-01-18,183.20,185.00,179.30,179.80,9007100,179.80
2016-01-15,188.50,190.90,183.50,183.90,16210100,183.90
2016-01-14,196.50,197.08,188.70,189.00,15881000,189.00
2016-01-13,200.20,201.30,197.30,199.00,8684700,199.00
2016-01-12,196.50,200.015,196.134,198.90,11167900,198.90
2016-01-11,193.10,197.70,191.081,194.90,14032800,194.90
2016-01-08,193.20,195.80,192.56,193.70,11938300,193.70
2016-01-07,192.30,193.982,190.05,192.20,13228100,192.20
2016-01-06,199.30,199.50,194.90,197.00,9438400,197.00
2016-01-05,201.80,201.80,198.40,199.30,5690900,199.30
2016-01-04,201.00,204.20,197.80,199.30,13926000,199.30
2015-12-31,203.70,204.70,201.775,203.10,4767000,203.10
2015-12-30,204.30,204.60,201.50,203.60,7498400,203.60
2015-12-29,198.10,204.20,196.70,204.20,11797300,204.20
2015-12-24,199.30,199.30,197.00,197.20,1080400,197.20
2015-12-23,198.20,199.70,195.764,199.30,6297200,199.30
2015-12-22,197.00,198.00,195.10,196.50,6214100,196.50
2015-12-21,195.50,198.30,194.819,195.40,4746600,195.40
2015-12-18,197.10,197.194,194.50,195.60,9439200,195.60
2015-12-17,201.40,201.85,195.50,197.90,15693000,197.90
2015-12-16,199.70,200.20,197.408,198.10,8739200,198.10
2015-12-15,195.10,200.87,194.10,198.70,14660100,198.70
2015-12-14,194.70,197.20,193.20,193.40,7015600,193.40
2015-12-11,195.90,197.60,193.436,194.00,9118100,194.00
2015-12-10,194.20,197.30,193.303,196.40,10886500,196.40
2015-12-09,197.60,199.00,195.30,195.30,9532300,195.30
2015-12-08,200.00,200.90,196.10,196.90,9614400,196.90
2015-12-07,200.00,200.60,198.80,199.60,6839100,199.60
2015-12-04,196.00,199.60,195.54,198.90,13855000,198.90
2015-12-03,197.80,201.10,195.52,196.10,16557600,196.10
2015-12-02,197.10,198.40,196.00,198.00,8017700,198.00
2015-12-01,195.60,199.20,194.30,196.50,14404400,196.50
2015-11-30,189.10,194.60,187.269,194.60,17627700,194.60
2015-11-27,187.40,189.236,186.70,188.70,6629800,188.70
2015-11-26,185.40,188.50,183.50,188.10,7852400,188.10
2015-11-25,179.50,190.20,177.958,184.80,23234700,184.80
2015-11-24,182.50,183.392,177.10,178.10,13441800,178.10
2015-11-23,182.80,183.88,182.043,182.70,7133400,182.70
2015-11-20,185.50,187.90,183.60,183.60,10329900,183.60
2015-11-19,186.70,187.00,183.764,185.30,13728800,185.30
2015-11-18,185.30,186.10,182.895,185.70,9602500,185.70
2015-11-17,183.20,186.60,182.90,185.00,14424800,185.00
2015-11-16,176.70,181.00,174.90,180.90,17559300,180.90
2015-11-13,178.10,178.80,173.23,173.80,15888200,173.80
2015-11-12,179.20,180.90,177.40,178.00,12567000,178.00
2015-11-11,179.80,181.40,177.464,179.00,13881900,179.00
2015-11-10,179.80,182.60,177.624,179.80,14070600,179.80
2015-11-09,181.40,181.78,175.01,178.60,22823200,178.60
2015-11-06,183.30,185.70,181.00,181.50,18379500,181.50
2015-11-05,180.40,185.40,179.30,183.40,21161000,183.40
2015-11-04,187.90,188.80,179.72,180.30,24128500,180.30
2015-11-03,195.00,195.10,186.416,187.70,26483300,187.70
2015-11-02,196.30,200.30,194.93,198.20,9937000,198.20
2015-10-30,194.00,198.90,193.80,198.00,18716200,198.00
2015-10-29,196.10,196.60,192.80,193.80,11171900,193.80
2015-10-28,195.70,196.80,194.40,195.90,9474500,195.90
2015-10-27,196.00,196.60,195.00,195.20,6126900,195.20
2015-10-26,195.50,196.70,193.20,196.40,8356300,196.40
2015-10-23,193.40,196.60,192.60,196.30,15860500,196.30
2015-10-22,193.60,194.30,192.00,192.30,8905400,192.30
2015-10-21,194.20,195.00,192.60,194.00,6933600,194.00
2015-10-20,191.00,193.95,190.545,193.40,7641100,193.40
2015-10-19,190.30,191.30,189.30,190.70,8182700,190.70
2015-10-16,190.80,191.50,188.50,190.20,9925800,190.20
2015-10-15,187.00,190.90,186.60,190.50,12319500,190.50
2015-10-14,192.40,192.40,184.60,186.50,20658100,186.50
2015-10-13,192.00,194.009,191.90,193.10,11954800,193.10
2015-10-12,192.50,193.30,188.80,190.70,9262800,190.70
2015-10-09,198.00,199.40,191.70,192.50,15741200,192.50
2015-10-08,196.40,198.10,195.80,196.00,12589500,196.00
2015-10-07,202.00,204.20,195.70,196.60,21035600,196.60
2015-10-06,200.50,201.85,199.40,201.50,12689500,201.50
2015-10-05,198.40,199.90,198.10,199.60,10897600,199.60
2015-10-02,198.00,199.80,193.10,195.90,13816600,195.90
2015-10-01,198.20,199.30,196.00,196.80,10810600,196.80
2015-09-30,196.00,198.00,194.65,195.50,18225000,195.50
2015-09-29,201.60,201.995,193.10,193.10,22559400,193.10
2015-09-28,203.70,206.70,203.335,203.50,10460200,203.50
2015-09-25,204.00,205.30,202.37,205.00,21107400,205.00
2015-09-24,200.70,202.70,199.80,201.00,16706000,201.00
2015-09-23,195.70,200.70,194.70,200.10,11721900,200.10
2015-09-22,201.50,201.50,196.20,196.60,16904000,196.60
2015-09-21,197.30,203.00,197.30,201.70,14071600,201.70
2015-09-18,199.40,202.00,197.60,198.90,15638600,198.90
2015-09-17,200.40,201.90,198.00,200.60,8166000,200.60
2015-09-16,200.30,201.30,199.00,200.10,11514500,200.10
2015-09-15,201.20,201.60,197.00,199.10,17838600,199.10
2015-09-14,200.80,202.50,199.00,200.70,9973200,200.70
2015-09-11,202.90,202.90,197.30,200.40,10367300,200.40
2015-09-10,197.70,202.30,197.40,202.10,15032200,202.10
2015-09-09,203.50,204.00,198.40,198.90,12106900,198.90
2015-09-08,198.70,200.90,198.32,198.90,7971300,198.90
2015-09-07,199.70,201.00,195.90,198.10,5350100,198.10
2015-09-04,197.80,199.836,196.30,198.60,10079700,198.60
2015-09-03,200.00,202.80,198.50,200.50,14515800,200.50
2015-09-02,196.10,198.80,194.052,198.20,13540700,198.20
2015-09-01,198.20,199.769,192.90,196.00,18764800,196.00
2015-08-31,201.30,201.30,201.30,201.30,000,201.30
2015-08-28,197.10,201.30,196.20,201.30,22762800,201.30
2015-08-27,195.90,197.90,193.80,197.10,29235300,197.10
2015-08-26,191.70,195.90,189.40,191.00,16968700,191.00
2015-08-25,186.70,194.30,186.00,193.60,25597500,193.60
2015-08-24,187.30,190.70,181.692,185.90,30388300,185.90
2015-08-21,195.20,198.70,193.60,193.60,14547800,193.60
2015-08-20,201.90,203.10,197.428,198.50,12424300,198.50
2015-08-19,203.10,205.024,201.448,204.00,12979500,203.51
2015-08-18,204.20,207.152,203.10,203.70,15302000,203.211
2015-08-17,206.50,207.40,203.60,205.00,12686800,204.508
2015-08-14,201.60,205.50,200.824,205.00,11225700,204.508
2015-08-13,200.00,203.00,199.70,201.40,13934800,200.916
2015-08-12,199.00,200.40,197.80,199.20,16309800,198.722
2015-08-11,201.80,202.30,200.60,201.40,10539900,200.916
2015-08-10,201.00,204.50,199.30,201.80,12736000,201.315
2015-08-07,199.70,200.50,198.072,199.60,10568000,199.121
2015-08-06,195.80,203.00,195.80,200.70,21981700,200.218
2015-08-05,195.10,196.216,193.764,196.20,10629300,195.729
2015-08-04,194.30,195.25,192.70,194.20,9327900,193.734
2015-08-03,194.30,194.90,192.60,194.00,9613200,193.534
2015-07-31,191.00,194.50,190.564,194.40,18884400,193.933
2015-07-30,186.90,190.40,186.18,190.40,24464500,189.943
2015-07-29,183.30,185.80,179.864,185.40,16659500,184.955
2015-07-28,184.10,185.30,181.50,182.70,19212800,182.261
2015-07-27,183.50,184.776,180.70,182.80,14078100,182.361
2015-07-24,187.30,188.586,184.20,184.50,10661800,184.057
2015-07-23,189.10,189.80,185.40,187.80,9046900,187.349
2015-07-22,186.30,188.636,183.90,187.10,14533900,186.651
2015-07-21,191.10,191.808,187.10,187.30,9977500,186.85
2015-07-20,189.40,191.40,188.40,190.90,7897000,190.441
2015-07-17,190.70,191.136,187.664,188.70,10390900,188.247
2015-07-16,189.80,191.40,188.90,190.90,7941700,190.441
2015-07-15,188.50,190.20,187.20,189.10,13829500,188.646
2015-07-14,192.00,192.50,184.40,189.00,25815100,188.546
2015-07-13,192.20,192.60,190.50,191.90,14592900,191.439
2015-07-10,188.00,189.40,186.70,189.20,13582200,188.746
2015-07-09,177.00,186.30,176.644,184.90,28031000,184.456
2015-07-08,186.60,187.288,174.10,176.20,28797300,175.777
2015-07-07,192.00,192.00,185.50,185.50,16359400,185.054
2015-07-06,188.20,192.50,187.50,191.20,11465000,190.741
2015-07-03,189.60,191.90,189.30,191.30,20839100,190.841
2015-07-02,189.30,191.20,188.10,191.00,14198500,190.541
2015-07-01,187.90,191.40,186.90,190.10,15877600,189.643
2015-06-30,186.90,188.00,184.062,185.80,17777500,185.354
2015-06-29,184.90,189.624,182.962,187.40,15051000,186.95
2015-06-26,191.70,192.10,190.026,190.60,12929600,190.142
2015-06-25,188.90,192.60,187.70,192.40,17923500,191.938
2015-06-24,193.50,193.50,188.90,189.40,29459700,188.945
2015-06-23,196.80,197.898,193.50,194.00,18298200,193.534
