Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,3062.00,3070.50,3013.00,3025.50,2366600,3025.50
2016-02-17,3029.00,3050.00,3029.00,3050.00,2337500,3050.00
2016-02-16,3022.50,3058.00,2998.46,3015.00,2375000,3015.00
2016-02-15,2984.50,3030.00,2944.00,3012.00,1997200,3012.00
2016-02-12,2911.00,2944.50,2893.50,2944.50,3450300,2944.50
2016-02-11,2905.00,2926.50,2869.50,2905.00,3950100,2905.00
2016-02-10,2965.00,2989.00,2925.50,2940.50,3141100,2940.50
2016-02-09,2952.50,2979.00,2915.00,2931.50,4028600,2931.50
2016-02-08,2987.50,2987.54,2923.00,2939.50,4145800,2939.50
2016-02-05,2971.50,2999.00,2959.00,2967.50,3785300,2967.50
2016-02-04,3037.50,3038.00,2936.00,2953.50,3769300,2953.50
2016-02-03,3059.50,3078.21,3007.00,3020.00,3640200,2997.00
2016-02-02,3064.00,3078.00,3027.29,3078.00,3789600,3054.558
2016-02-01,3089.00,3098.00,3048.00,3071.50,2793900,3048.108
2016-01-29,3001.50,3085.00,2987.00,3085.00,3674500,3061.505
2016-01-28,2991.50,3003.50,2942.00,2966.50,2127500,2943.908
2016-01-27,2945.00,3005.00,2936.00,3005.00,2879600,2982.114
2016-01-26,2919.50,2959.00,2901.50,2955.50,2863200,2932.991
2016-01-25,2947.00,2967.00,2931.50,2950.50,2212900,2928.029
2016-01-22,2910.50,2936.50,2896.50,2919.00,2604300,2896.769
2016-01-21,2835.00,2896.00,2835.00,2877.00,3942000,2855.089
2016-01-20,2889.00,2899.50,2812.00,2832.00,3789600,2810.432
2016-01-19,2897.50,2934.90,2865.00,2934.00,3269900,2911.655
2016-01-18,2794.50,2850.50,2789.50,2843.00,2906000,2821.348
2016-01-15,2816.00,2833.00,2767.50,2798.50,3020900,2777.187
2016-01-14,2840.00,2840.00,2792.50,2820.00,2515200,2798.523
2016-01-13,2870.00,2882.00,2850.50,2860.50,2808800,2838.715
2016-01-12,2768.00,2836.00,2751.50,2827.50,2778500,2805.966
2016-01-11,2783.50,2800.61,2755.00,2763.00,1543700,2741.957
2016-01-08,2805.00,2813.50,2777.50,2778.50,2395400,2757.339
2016-01-07,2757.50,2802.50,2741.50,2792.00,2509900,2770.737
2016-01-06,2840.00,2844.00,2785.50,2818.00,2425800,2796.538
2016-01-05,2830.00,2854.50,2797.50,2850.50,1670500,2828.791
2016-01-04,2900.00,2900.00,2808.00,2821.00,2540300,2799.516
2015-12-31,2942.00,2952.50,2926.50,2926.50,529400,2904.212
2015-12-30,2930.50,2956.00,2930.50,2940.00,1091300,2917.609
2015-12-29,2919.00,2941.50,2902.86,2941.00,1352800,2918.602
2015-12-28,2891.00,2891.00,2891.00,2891.00,000,2868.983
2015-12-25,2891.00,2891.00,2891.00,2891.00,000,2868.983
2015-12-24,2889.50,2891.00,2867.50,2891.00,337900,2868.983
2015-12-23,2847.50,2891.50,2842.00,2883.00,1433400,2861.043
2015-12-22,2809.00,2826.50,2762.50,2816.50,1661800,2795.05
2015-12-21,2815.00,2857.00,2795.50,2795.50,1635500,2774.21
2015-12-18,2838.00,2847.00,2803.00,2821.00,3391000,2799.516
2015-12-17,2869.00,2885.00,2844.00,2858.00,1859800,2836.234
2015-12-16,2801.00,2835.00,2794.00,2825.00,2043300,2803.485
2015-12-15,2722.00,2803.00,2721.00,2799.00,2369700,2777.683
2015-12-14,2753.00,2786.00,2715.00,2720.00,2552400,2699.285
2015-12-11,2787.00,2794.98,2736.00,2747.00,3127400,2726.079
2015-12-10,2803.00,2814.00,2765.90,2792.00,1989600,2770.737
2015-12-09,2825.00,2845.00,2814.00,2814.00,3424300,2792.569
2015-12-08,2858.00,2896.69,2819.00,2822.00,1988500,2800.508
2015-12-07,2810.00,2858.00,2807.00,2852.00,2069200,2830.28
2015-12-04,2773.00,2801.00,2739.00,2793.00,3894700,2771.729
2015-12-03,2871.00,2918.00,2774.00,2786.00,4074200,2764.782
2015-12-02,2836.00,2882.10,2831.57,2870.00,2084000,2848.142
2015-12-01,2839.00,2850.00,2808.70,2825.00,1794400,2803.485
2015-11-30,2875.00,2900.00,2831.00,2834.00,2651200,2812.417
2015-11-27,2863.00,2894.10,2857.00,2876.00,1511300,2854.097
2015-11-26,2878.00,2907.00,2872.00,2881.00,1502100,2859.059
2015-11-25,2845.00,2884.00,2836.00,2869.00,2514100,2847.15
2015-11-24,2842.00,2851.00,2794.00,2833.00,2111600,2811.424
2015-11-23,2845.00,2864.00,2825.00,2851.00,2503500,2829.287
2015-11-20,2845.00,2857.10,2814.00,2851.00,3605100,2829.287
2015-11-19,2830.00,2833.50,2817.00,2820.00,3005400,2798.523
2015-11-18,2807.00,2812.70,2784.00,2801.00,2512000,2779.668
2015-11-17,2787.00,2821.00,2773.00,2820.00,4399700,2798.523
2015-11-16,2734.00,2765.00,2734.00,2758.00,3679300,2736.995
2015-11-13,2798.00,2801.60,2743.00,2754.00,3516000,2733.026
2015-11-12,2852.00,2860.00,2797.00,2798.00,2475600,2776.691
2015-11-11,2822.00,2857.00,2818.00,2843.00,3209300,2821.348
2015-11-10,2834.00,2838.00,2785.00,2809.00,2749700,2787.607
2015-11-09,2860.00,2870.00,2814.00,2817.00,2673500,2795.546
2015-11-06,2887.00,2893.60,2846.00,2858.00,2899000,2836.234
2015-11-05,2875.00,2906.00,2866.00,2880.00,2360900,2858.066
2015-11-04,2887.00,2897.00,2869.00,2873.00,1783900,2851.12
2015-11-03,2875.00,2889.00,2864.29,2870.00,1632500,2848.142
2015-11-02,2871.00,2886.00,2863.00,2875.00,2070600,2853.104
2015-10-30,2927.00,2938.00,2884.00,2893.00,3308000,2870.967
2015-10-29,2933.00,2944.00,2912.00,2936.00,1915800,2913.64
2015-10-28,2941.00,2970.00,2937.00,2960.00,1893600,2915.039
2015-10-27,2937.00,2950.00,2930.00,2940.00,1692500,2895.343
2015-10-26,2944.00,2961.00,2934.35,2942.00,1909400,2897.312
2015-10-23,2967.00,2984.00,2947.00,2948.00,3038400,2903.221
2015-10-22,2940.00,2973.00,2923.00,2947.00,3408900,2902.236
2015-10-21,2929.00,2949.00,2924.00,2936.00,1349100,2891.404
2015-10-20,2928.00,2944.00,2917.00,2920.00,1885500,2875.647
2015-10-19,2915.00,2947.00,2907.00,2921.00,1836000,2876.631
2015-10-16,2910.00,2922.00,2880.00,2917.00,2304700,2872.692
2015-10-15,2890.00,2911.33,2874.00,2890.00,3195000,2846.102
2015-10-14,2822.00,2825.00,2782.00,2790.00,2189700,2747.621
2015-10-13,2818.00,2839.00,2799.80,2823.00,1805700,2780.12
2015-10-12,2786.00,2825.00,2776.00,2817.00,1599200,2774.211
2015-10-09,2786.00,2795.00,2765.00,2786.00,2451400,2743.682
2015-10-08,2755.00,2776.00,2742.00,2771.00,1940900,2728.91
2015-10-07,2766.00,2790.00,2742.00,2752.00,2422200,2710.198
2015-10-06,2776.00,2801.00,2773.00,2788.00,1563800,2745.652
2015-10-05,2741.00,2786.00,2731.00,2778.00,2462100,2735.803
2015-10-02,2700.00,2721.00,2670.00,2702.00,2530500,2660.958
2015-10-01,2722.00,2738.00,2676.00,2682.00,2867300,2641.262
2015-09-30,2666.00,2697.00,2657.00,2686.00,3336600,2645.201
2015-09-29,2578.00,2612.00,2571.00,2603.00,2452400,2563.462
2015-09-28,2636.00,2646.66,2598.00,2608.00,2345800,2568.386
2015-09-25,2568.00,2657.00,2568.00,2650.00,3049000,2609.748
2015-09-24,2588.00,2589.37,2526.00,2538.00,2929400,2499.449
2015-09-23,2563.00,2601.00,2555.00,2581.00,1656900,2541.796
2015-09-22,2620.00,2622.00,2550.67,2551.00,2161300,2512.252
2015-09-21,2606.00,2654.00,2601.80,2628.00,1830600,2588.082
2015-09-18,2633.00,2658.00,2584.00,2616.00,4498000,2576.264
2015-09-17,2646.00,2657.00,2635.00,2636.00,2456900,2595.96
2015-09-16,2602.00,2651.33,2600.00,2639.00,3429300,2598.915
2015-09-15,2557.00,2586.00,2533.66,2579.00,2330600,2539.826
2015-09-14,2559.00,2591.00,2542.00,2549.00,1886200,2510.282
2015-09-11,2575.00,2578.00,2543.00,2556.00,1680300,2517.176
2015-09-10,2617.00,2619.00,2563.00,2567.00,2634000,2528.008
2015-09-09,2641.00,2664.75,2623.00,2626.00,2208800,2586.112
2015-09-08,2604.00,2630.00,2593.00,2598.00,1709300,2558.538
2015-09-07,2598.00,2621.00,2580.00,2590.00,1096500,2550.659
2015-09-04,2611.00,2615.00,2568.02,2571.00,2192700,2531.948
2015-09-03,2602.00,2642.00,2599.00,2622.00,2498700,2582.173
2015-09-02,2586.00,2604.00,2559.85,2578.00,2168500,2538.841
2015-09-01,2587.00,2607.80,2549.00,2563.00,2858100,2524.069
2015-08-31,2623.00,2623.00,2623.00,2623.00,000,2583.158
2015-08-28,2607.00,2623.21,2582.00,2623.00,2711300,2583.158
2015-08-27,2595.00,2621.86,2569.00,2613.00,2866400,2573.31
2015-08-26,2564.00,2581.00,2506.00,2544.00,3816400,2505.358
2015-08-25,2545.00,2602.00,2524.00,2585.00,5150800,2545.735
2015-08-24,2552.00,2597.00,2451.00,2524.00,6246400,2485.662
2015-08-21,2659.00,2692.00,2622.00,2622.00,3227100,2582.173
2015-08-20,2711.00,2721.00,2678.50,2686.00,3426100,2645.201
2015-08-19,2769.00,2770.00,2725.00,2728.00,2141300,2686.563
2015-08-18,2802.00,2817.00,2764.00,2781.00,1844200,2738.758
2015-08-17,2825.00,2825.00,2771.00,2800.00,1590400,2757.469
2015-08-14,2831.00,2834.00,2792.00,2806.00,1886200,2763.378
2015-08-13,2817.00,2834.50,2803.98,2820.00,2947900,2777.166
2015-08-12,2847.00,2850.00,2769.00,2788.00,7264000,2745.652
2015-08-11,2942.00,2948.67,2905.00,2912.00,2782700,2867.768
2015-08-10,2960.00,2978.00,2940.00,2953.00,2797700,2908.145
2015-08-07,2959.00,2967.00,2932.00,2950.00,1937100,2905.191
2015-08-06,2947.00,2980.00,2934.00,2966.00,2507200,2920.948
2015-08-05,2940.00,2961.00,2929.00,2960.00,2453200,2894.259
2015-08-04,2940.00,2952.00,2920.00,2935.00,1946900,2869.815
2015-08-03,2901.00,2950.36,2898.00,2940.00,2056000,2874.704
2015-07-31,2907.00,2912.00,2886.00,2907.00,2319000,2842.437
2015-07-30,2880.00,2896.00,2855.00,2889.00,2582500,2824.836
2015-07-29,2860.00,2881.00,2854.00,2869.00,1991100,2805.281
2015-07-28,2871.00,2886.00,2843.00,2858.00,2130100,2794.525
2015-07-27,2890.00,2908.75,2851.00,2853.00,2875700,2789.636
2015-07-24,2897.00,2938.00,2890.00,2898.00,2844000,2833.636
2015-07-23,2934.00,2955.00,2887.00,2905.00,2879300,2840.481
2015-07-22,2849.00,2883.00,2818.63,2859.00,3071600,2795.503
2015-07-21,2901.00,2909.00,2868.00,2873.00,2080600,2809.192
2015-07-20,2880.00,2913.10,2879.96,2892.00,2031500,2827.77
2015-07-17,2913.00,2914.50,2883.00,2888.00,2262000,2823.859
2015-07-16,2890.00,2928.00,2881.00,2911.00,1772400,2846.348
2015-07-15,2884.00,2894.61,2861.00,2887.00,2209700,2822.881
2015-07-14,2879.00,2914.70,2873.00,2900.00,2594600,2835.592
2015-07-13,2900.00,2917.92,2869.02,2881.00,2783100,2817.014
2015-07-10,2869.00,2897.00,2855.00,2881.00,4634400,2817.014
2015-07-09,2780.00,2821.00,2765.00,2819.00,3068300,2756.391
2015-07-08,2734.00,2781.00,2733.00,2777.00,3582200,2715.324
2015-07-07,2731.00,2741.00,2707.00,2714.00,3441400,2653.723
2015-07-06,2693.00,2739.00,2668.00,2723.00,2498800,2662.523
2015-07-03,2741.00,2764.00,2723.00,2732.00,1357300,2671.323
2015-07-02,2791.00,2798.50,2748.00,2755.00,2155300,2693.812
2015-07-01,2751.00,2794.00,2714.00,2776.00,3204800,2714.346
2015-06-30,2750.00,2773.01,2727.00,2730.00,3864100,2669.368
2015-06-29,2752.00,2791.00,2728.00,2756.00,3376000,2694.79
2015-06-26,2828.00,2854.00,2805.00,2832.00,2322700,2769.102
2015-06-25,2848.00,2868.00,2820.00,2843.00,3083900,2779.858
2015-06-24,2847.00,2868.00,2839.00,2851.00,2389700,2787.68
2015-06-23,2851.00,2878.00,2845.00,2859.00,2136200,2795.503
2015-06-22,2818.00,2855.00,2813.00,2855.00,3998600,2791.591
2015-06-19,2771.00,2805.00,2758.00,2772.00,4084400,2710.435
2015-06-18,2758.00,2778.00,2745.00,2774.00,3646800,2712.39
2015-06-17,2802.00,2804.00,2745.00,2762.00,2562800,2700.657
2015-06-16,2763.00,2801.00,2757.00,2791.00,2454500,2729.013
2015-06-15,2770.00,2793.00,2754.88,2777.00,2501700,2715.324
