Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,923.00,935.00,920.50,929.00,1354900,929.00
2016-02-17,915.50,923.00,913.00,918.50,1415700,918.50
2016-02-16,926.00,926.00,913.00,918.00,1180300,918.00
2016-02-15,920.00,927.50,916.50,919.50,851200,919.50
2016-02-12,903.00,907.00,896.00,905.50,2100300,905.50
2016-02-11,897.50,904.50,884.00,893.00,1878800,893.00
2016-02-10,911.50,915.00,899.075,903.50,1461400,903.50
2016-02-09,914.50,914.517,896.00,902.00,1505900,902.00
2016-02-08,928.50,928.756,904.94,907.50,1718000,907.50
2016-02-05,941.00,941.50,922.485,923.00,1328200,923.00
2016-02-04,958.00,958.00,938.50,944.00,1949700,944.00
2016-02-03,959.50,964.00,943.00,946.00,1146900,946.00
2016-02-02,966.50,967.50,951.50,961.50,1250600,961.50
2016-02-01,957.00,970.50,953.00,967.00,1690400,967.00
2016-01-29,945.00,956.50,940.50,956.50,1949800,956.50
2016-01-28,940.00,946.50,930.00,935.00,1121600,935.00
2016-01-27,925.00,946.50,922.00,946.50,1350500,946.50
2016-01-26,913.50,925.00,908.50,924.00,1230400,924.00
2016-01-25,923.50,930.954,920.50,923.50,905600,923.50
2016-01-22,923.00,925.00,910.00,919.00,1403200,919.00
2016-01-21,905.50,914.00,897.50,911.00,1672000,911.00
2016-01-20,912.50,916.50,902.00,904.00,1605300,904.00
2016-01-19,918.50,923.015,911.50,920.50,1180800,920.50
2016-01-18,910.00,917.50,904.50,905.50,903000,905.50
2016-01-15,923.00,932.00,908.00,910.00,1585700,910.00
2016-01-14,934.50,939.50,919.125,923.50,1559200,923.50
2016-01-13,943.50,950.00,938.00,941.50,1292700,941.50
2016-01-12,941.50,941.50,933.36,937.50,1262000,937.50
2016-01-11,934.00,943.00,927.00,936.50,1188300,936.50
2016-01-08,933.50,943.00,928.00,934.00,1448700,934.00
2016-01-07,923.00,933.00,918.50,930.50,1342700,930.50
2016-01-06,944.00,947.50,930.00,936.00,1282900,936.00
2016-01-05,941.00,952.00,939.00,933.00,1536700,933.00
2016-01-04,927.00,934.00,921.00,933.00,2285200,933.00
2015-12-31,945.50,945.50,930.50,935.50,538900,935.50
2015-12-30,943.50,954.50,940.625,946.00,933500,946.00
2015-12-29,941.00,955.50,934.14,947.50,1283100,947.50
2015-12-24,936.50,940.00,932.25,936.50,138500,936.50
2015-12-23,930.50,941.00,924.125,937.00,1323700,937.00
2015-12-22,932.50,932.50,919.50,920.50,1522800,920.50
2015-12-21,911.50,928.50,905.00,922.50,1570700,922.50
2015-12-18,922.50,936.81,914.50,914.50,3070100,914.50
2015-12-17,938.00,947.31,923.00,925.50,1856300,925.50
2015-12-16,936.50,941.50,934.50,937.50,1554000,924.69
2015-12-15,929.00,939.913,925.00,938.00,1383600,925.183
2015-12-14,927.00,937.82,922.50,923.50,1810300,910.881
2015-12-11,935.50,936.00,920.50,921.00,1961300,908.415
2015-12-10,945.00,946.00,930.50,936.00,2367400,923.21
2015-12-09,950.00,954.00,942.50,944.50,1122500,931.594
2015-12-08,951.00,951.50,942.00,945.00,1447400,932.088
2015-12-07,952.00,959.00,947.75,951.00,1348600,938.006
2015-12-04,957.50,960.50,948.50,950.00,1498400,937.019
2015-12-03,977.50,984.50,958.00,961.00,1580300,947.869
2015-12-02,983.50,986.50,972.00,977.50,974100,964.143
2015-12-01,967.50,978.50,965.00,976.50,1410000,963.157
2015-11-30,978.00,978.00,963.00,966.50,1969800,953.294
2015-11-27,965.00,978.50,960.00,978.50,1171100,965.13
2015-11-26,954.00,967.25,950.147,966.00,1156900,952.801
2015-11-25,954.00,967.449,942.438,953.00,1880100,939.978
2015-11-24,972.50,972.50,949.00,958.00,1237900,944.91
2015-11-23,982.00,983.188,971.00,974.00,1175200,960.691
2015-11-20,978.00,990.00,976.00,987.00,1698400,973.514
2015-11-19,965.00,974.50,959.00,974.50,1290900,961.184
2015-11-18,961.50,961.50,948.50,958.00,1294700,944.91
2015-11-17,948.50,961.50,946.00,961.50,1290800,948.362
2015-11-16,930.00,940.00,928.00,940.00,947400,927.156
2015-11-13,934.50,936.00,924.50,936.00,1206500,923.21
2015-11-12,938.50,950.03,934.50,936.50,1324300,923.704
2015-11-11,941.50,952.50,935.00,938.50,1003700,925.676
2015-11-10,940.00,944.00,933.50,938.50,1267300,925.676
2015-11-09,949.50,949.50,932.50,936.00,2023000,923.21
2015-11-06,975.00,979.00,953.50,957.50,1394200,944.417
2015-11-05,975.50,987.00,965.00,976.00,1611200,962.664
2015-11-04,967.50,987.00,963.00,982.50,1141200,969.075
2015-11-03,981.50,983.40,964.50,967.00,1408000,953.787
2015-11-02,986.00,995.00,981.505,983.50,1212900,970.061
2015-10-30,994.00,995.36,982.50,988.50,1587900,974.993
2015-10-29,996.50,996.50,983.00,991.00,1660900,977.459
2015-10-28,997.00,1001.50,989.50,992.50,1291500,978.938
2015-10-27,998.00,1003.00,990.50,991.50,1465500,977.952
2015-10-26,990.00,999.50,984.00,998.50,1287700,984.856
2015-10-23,996.00,999.00,986.00,994.00,1535800,980.418
2015-10-22,988.50,995.50,985.00,991.50,1258000,977.952
2015-10-21,989.00,996.00,984.50,988.50,941600,974.993
2015-10-20,982.00,992.00,981.00,991.00,1153200,977.459
2015-10-19,978.00,986.50,973.00,980.00,723900,966.609
2015-10-16,980.50,986.50,975.78,981.00,1805200,967.596
2015-10-15,976.50,980.00,965.50,978.50,2002000,965.13
2015-10-14,961.00,976.671,960.50,967.50,1564700,954.28
2015-10-13,958.50,970.75,952.50,966.50,1873600,953.294
2015-10-12,969.50,972.188,958.00,961.50,1769000,948.362
2015-10-09,981.00,988.50,963.00,965.00,3179700,951.814
2015-10-08,964.50,976.00,956.00,976.00,1459000,962.664
2015-10-07,969.00,976.00,961.00,963.00,2319900,949.842
2015-10-06,974.50,976.00,961.938,964.00,1684000,950.828
2015-10-05,961.00,970.50,954.50,969.50,2964800,956.253
2015-10-02,930.50,950.00,930.50,945.00,2006300,932.088
2015-10-01,931.00,937.189,922.50,924.50,1806500,911.868
2015-09-30,920.00,927.00,914.50,925.00,2632200,912.361
2015-09-29,909.00,915.50,903.50,905.50,1840000,893.127
2015-09-28,917.50,924.50,914.00,915.00,1616600,902.497
2015-09-25,902.00,920.50,900.50,918.50,2014100,905.95
2015-09-24,888.00,899.00,886.00,892.00,1809400,879.812
2015-09-23,877.00,897.50,877.00,889.50,1737600,877.346
2015-09-22,890.00,891.049,874.86,876.50,2004300,864.523
2015-09-21,880.50,897.50,880.50,890.00,2224500,877.839
2015-09-18,881.50,891.50,876.50,883.00,2743400,870.935
2015-09-17,881.00,886.00,871.00,879.50,1993900,867.483
2015-09-16,871.50,882.00,865.50,881.00,1845600,868.962
2015-09-15,853.00,872.00,853.00,867.00,2165500,855.153
2015-09-14,861.00,870.50,851.50,856.00,1203300,844.304
2015-09-11,865.00,870.00,857.50,858.50,1216900,846.769
2015-09-10,865.00,875.685,864.00,866.00,1432300,854.167
2015-09-09,881.50,885.524,870.50,872.00,1581400,860.085
2015-09-08,861.00,883.00,855.50,868.50,2270400,856.633
2015-09-07,850.50,859.00,846.625,852.00,1817200,840.358
2015-09-04,837.00,842.00,833.00,835.00,2303800,823.591
2015-09-03,843.50,845.375,837.00,843.00,2086900,831.481
2015-09-02,828.00,848.50,826.00,836.50,1430800,825.07
2015-09-01,851.00,852.00,827.00,828.00,2475700,816.686
2015-08-31,855.00,855.00,855.00,855.00,000,843.317
2015-08-28,849.50,855.00,841.50,855.00,1573400,843.317
2015-08-27,849.50,854.50,843.00,851.00,1764400,839.372
2015-08-26,839.50,852.00,832.00,833.50,2217400,822.111
2015-08-25,840.50,857.50,840.50,849.50,2611600,837.892
2015-08-24,851.50,858.50,816.50,832.00,4283600,820.632
2015-08-21,887.00,900.50,870.939,871.00,2688300,859.099
2015-08-20,894.50,901.00,891.838,896.00,1862400,883.757
2015-08-19,902.50,905.50,899.323,899.50,1419900,887.209
2015-08-18,897.00,908.50,892.50,904.50,2205300,892.141
2015-08-17,895.50,899.00,889.00,898.00,1233700,885.73
2015-08-14,885.00,893.25,882.00,891.00,1784100,878.825
2015-08-13,890.00,895.663,881.00,883.00,1522000,870.935
2015-08-12,881.50,883.375,873.00,881.50,2579400,869.455
2015-08-11,884.50,886.438,878.50,884.00,1636000,871.921
2015-08-10,890.00,892.00,877.625,887.00,1409000,874.88
2015-08-07,899.00,899.00,883.00,887.50,1677200,875.373
2015-08-06,892.50,899.375,885.50,898.50,1655800,886.223
2015-08-05,885.00,897.00,876.50,897.00,2788100,884.743
2015-08-04,883.50,888.50,877.153,885.50,1370100,873.401
2015-08-03,888.50,894.00,882.00,885.50,1246200,873.401
2015-07-31,884.50,892.50,875.50,892.00,1915400,879.812
2015-07-30,886.00,890.50,881.50,883.00,1623700,870.935
2015-07-29,880.50,887.00,878.50,883.50,1859400,871.428
2015-07-28,875.00,878.875,870.82,877.50,1759100,865.51
2015-07-27,877.00,878.806,869.00,872.50,1321500,860.578
