Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,215.00,216.90,214.30,215.55,84946200,215.55
2016-02-17,212.40,217.85,211.35,217.30,57840500,217.30
2016-02-16,209.50,211.00,208.00,211.00,60244200,211.00
2016-02-15,209.40,211.40,208.37,209.45,61308100,209.45
2016-02-12,202.60,205.50,200.60,205.45,61097800,205.45
2016-02-11,201.25,203.40,197.70,200.60,70094700,200.60
2016-02-10,203.25,204.40,200.00,202.10,54145000,202.10
2016-02-09,201.15,204.45,199.148,201.15,71339100,201.15
2016-02-08,208.05,209.35,199.005,200.20,78357900,200.20
2016-02-05,211.50,214.30,206.30,207.00,78756600,207.00
2016-02-04,217.00,217.55,208.50,210.25,100343100,210.25
2016-02-03,220.25,221.35,211.90,212.90,107948200,212.90
2016-02-02,225.45,233.10,220.50,221.55,103912900,221.55
2016-02-01,223.70,226.50,221.15,225.45,59763100,225.45
2016-01-29,218.55,223.90,217.40,223.90,77295500,223.90
2016-01-28,222.90,223.15,213.80,215.30,70892300,215.30
2016-01-27,219.30,223.81,217.90,223.20,47934700,223.20
2016-01-26,215.95,219.445,213.25,218.65,56166100,218.65
2016-01-25,221.10,221.15,217.35,218.50,42232600,218.50
2016-01-22,217.20,220.10,213.75,219.45,56379900,219.45
2016-01-21,209.85,213.75,208.40,213.75,66255900,213.75
2016-01-20,214.05,214.183,208.40,209.85,75335200,209.85
2016-01-19,215.40,217.15,213.45,216.80,51142200,216.80
2016-01-18,215.45,218.30,212.219,213.45,67704100,213.45
2016-01-15,219.45,221.00,214.35,216.25,76361900,216.25
2016-01-14,220.05,221.00,215.80,220.20,64649500,220.20
2016-01-13,223.90,224.55,221.30,222.50,37429400,222.50
2016-01-12,220.45,223.00,219.50,221.30,45845200,221.30
2016-01-11,224.95,225.50,220.70,220.80,53517700,220.80
2016-01-08,219.95,225.75,218.15,223.05,90441000,223.05
2016-01-07,215.05,219.20,214.50,218.20,95420100,218.20
2016-01-06,219.75,220.75,218.05,219.15,56716500,219.15
2016-01-05,220.00,221.40,216.00,216.00,40870900,216.00
2016-01-04,219.50,220.074,215.375,216.00,73377400,216.00
2015-12-31,222.00,222.50,217.50,221.00,27128700,221.00
2015-12-30,218.80,218.90,216.30,217.50,21982700,217.50
2015-12-29,215.30,218.75,214.50,218.75,33137700,218.75
2015-12-24,216.20,217.90,214.80,216.65,8073200,216.65
2015-12-23,212.70,216.15,209.917,215.60,69311800,215.60
2015-12-22,211.75,212.10,208.60,210.70,31815200,210.70
2015-12-21,210.45,212.85,209.858,209.90,41582900,209.90
2015-12-18,213.05,215.10,211.30,211.30,77562500,211.30
2015-12-17,216.30,218.05,209.50,214.75,50957500,214.75
2015-12-16,210.00,214.30,209.30,212.80,67280700,212.80
2015-12-15,204.85,210.55,204.70,209.50,66277800,209.50
2015-12-14,208.35,210.70,203.725,203.75,58692700,203.75
2015-12-11,212.45,212.60,208.15,208.15,62421000,208.15
2015-12-10,214.60,215.513,211.927,212.65,59818400,212.65
2015-12-09,217.45,218.60,215.40,215.80,42975200,215.80
2015-12-08,219.40,220.00,215.70,216.70,42606000,216.70
2015-12-07,216.95,219.70,216.60,218.00,36926000,218.00
2015-12-04,216.40,217.55,215.00,215.55,53097900,215.55
2015-12-03,222.85,223.411,217.95,218.35,69007200,218.35
2015-12-02,222.40,223.55,221.396,222.30,38251100,222.30
2015-12-01,225.80,226.25,221.70,222.00,43805200,222.00
2015-11-30,225.00,225.80,223.65,224.25,58728800,224.25
2015-11-27,224.30,226.588,224.30,225.80,25632000,225.80
2015-11-26,223.95,225.90,223.175,225.00,27251600,225.00
2015-11-25,219.85,223.80,219.101,222.90,40999700,222.90
2015-11-24,221.35,221.70,217.70,219.30,67617500,219.30
2015-11-23,223.50,223.95,221.40,222.20,35114300,222.20
2015-11-20,221.90,225.45,220.85,223.50,51191100,223.50
2015-11-19,222.15,225.25,220.95,221.50,83480500,221.50
2015-11-18,226.10,226.30,220.00,224.00,47863100,220.32
2015-11-17,223.60,225.55,222.90,225.55,45981000,221.845
2015-11-16,218.10,221.40,217.50,221.25,39192000,217.615
2015-11-13,221.55,223.55,218.725,220.40,47015400,216.779
2015-11-12,225.00,228.05,221.60,221.60,47881600,217.959
2015-11-11,222.80,227.15,218.20,224.45,109010700,220.763
2015-11-10,218.00,225.70,217.00,222.80,95399500,219.14
2015-11-09,217.00,218.60,214.35,214.45,51172400,210.927
2015-11-06,217.35,218.15,215.05,216.20,34443200,212.648
2015-11-05,217.25,219.082,216.044,216.55,28223800,212.992
2015-11-04,216.25,219.95,216.20,217.25,41732100,213.681
2015-11-03,215.05,216.35,213.40,215.40,34345100,211.861
2015-11-02,213.00,215.25,212.20,214.90,28127700,211.369
2015-10-30,216.45,217.80,212.55,214.25,45084400,210.73
2015-10-29,218.40,218.70,215.00,216.10,33704400,212.55
2015-10-28,216.05,218.35,215.60,217.30,27516800,213.73
2015-10-27,216.80,217.50,214.50,215.35,30693100,211.812
2015-10-26,217.95,218.60,215.30,216.60,23006600,213.042
2015-10-23,217.25,219.75,216.30,218.00,47371600,214.419
2015-10-22,207.60,217.00,207.60,215.10,78311700,211.566
2015-10-21,208.30,210.00,206.95,208.05,30188700,204.632
2015-10-20,209.05,210.00,207.05,208.55,38021800,205.124
2015-10-19,209.15,210.85,207.975,208.40,28134500,204.976
2015-10-16,207.80,210.10,206.80,209.30,43821400,205.861
2015-10-15,206.30,210.589,205.55,207.10,42286200,203.698
2015-10-14,207.95,208.495,203.882,204.15,59722200,200.796
2015-10-13,211.15,211.30,207.40,209.95,36446800,206.501
2015-10-12,211.75,211.75,209.20,210.80,27510500,207.337
2015-10-09,211.45,213.20,210.40,211.95,48784700,208.468
2015-10-08,207.60,210.142,203.80,210.00,52294300,206.55
2015-10-07,214.05,214.05,208.40,208.40,77595200,204.976
2015-10-06,211.95,213.847,211.20,213.55,39247300,210.042
2015-10-05,209.65,213.20,208.25,212.50,53233500,209.009
2015-10-02,206.00,207.95,201.25,206.15,73704200,202.763
2015-10-01,210.00,212.40,203.45,204.30,69969500,200.944
2015-09-30,207.50,208.728,205.95,208.45,71737400,205.025
2015-09-29,205.15,208.40,203.29,204.35,84471500,200.993
2015-09-28,212.50,213.20,206.069,207.20,109025100,203.796
2015-09-25,215.45,219.75,214.828,217.65,52356000,214.074
2015-09-24,215.75,216.405,210.70,212.40,57735100,208.911
2015-09-23,212.60,217.60,212.25,216.00,47079600,212.451
2015-09-22,217.40,217.70,211.85,211.90,51965100,208.419
2015-09-21,215.50,219.45,214.70,217.40,39158800,213.828
2015-09-18,216.05,217.95,209.70,216.75,92520400,213.189
2015-09-17,218.95,220.15,216.20,216.20,95812000,212.648
2015-09-16,221.60,221.90,216.717,219.15,57268000,215.55
2015-09-15,221.85,222.20,214.75,218.45,82403200,214.861
2015-09-14,224.35,225.60,220.90,221.25,35818300,217.615
2015-09-11,224.70,224.95,221.85,223.95,54744400,220.271
2015-09-10,227.65,230.40,227.00,227.10,75769500,223.369
2015-09-09,231.05,232.85,228.80,229.60,36879300,225.828
2015-09-08,226.90,230.688,226.65,227.20,31342400,223.467
2015-09-07,225.15,226.35,223.55,225.65,19496200,221.943
2015-09-04,225.30,226.45,222.90,223.05,38902600,219.386
2015-09-03,224.25,227.55,224.175,226.90,36349300,223.172
2015-09-02,221.55,224.90,219.15,222.05,36481300,218.402
