Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,3616.00,3624.00,3551.00,3606.00,660700,3606.00
2016-02-17,3502.00,3611.00,3502.00,3611.00,498100,3611.00
2016-02-16,3520.00,3530.00,3461.00,3497.00,761600,3497.00
2016-02-15,3451.00,3526.00,3425.00,3505.00,521000,3505.00
2016-02-12,3285.00,3392.00,3281.00,3392.00,882600,3392.00
2016-02-11,3280.00,3312.00,3236.00,3255.00,811200,3255.00
2016-02-10,3322.00,3367.00,3276.00,3307.00,770300,3307.00
2016-02-09,3247.00,3308.00,3241.00,3303.00,1171200,3303.00
2016-02-08,3326.00,3349.00,3214.00,3230.00,622900,3230.00
2016-02-05,3338.00,3399.00,3311.00,3317.00,683200,3317.00
2016-02-04,3325.00,3351.00,3231.00,3325.00,1034500,3325.00
2016-02-03,3330.00,3333.00,3251.00,3282.00,879300,3282.00
2016-02-02,3429.00,3432.00,3331.00,3351.00,408400,3351.00
2016-02-01,3483.00,3489.00,3404.00,3451.00,443400,3451.00
2016-01-29,3390.00,3463.00,3384.00,3463.00,795800,3463.00
2016-01-28,3429.00,3439.00,3337.00,3354.00,647000,3354.00
2016-01-27,3430.00,3460.00,3387.00,3444.00,665400,3444.00
2016-01-26,3381.00,3417.00,3369.00,3411.00,695400,3411.00
2016-01-25,3501.00,3508.00,3409.00,3426.00,679500,3426.00
2016-01-22,3421.00,3521.00,3403.00,3486.00,1015500,3486.00
2016-01-21,3269.00,3373.00,3268.00,3364.00,920900,3364.00
2016-01-20,3304.00,3322.00,3255.00,3272.00,775700,3272.00
2016-01-19,3364.00,3401.00,3345.00,3367.00,740100,3367.00
2016-01-18,3344.00,3402.00,3293.00,3295.00,435800,3295.00
2016-01-15,3377.00,3403.00,3330.00,3354.00,809900,3354.00
2016-01-14,3427.00,3427.00,3325.00,3403.00,855100,3403.00
2016-01-13,3471.00,3502.00,3455.00,3459.00,570200,3459.00
2016-01-12,3418.00,3467.00,3418.00,3450.00,540200,3450.00
2016-01-11,3432.00,3467.00,3413.00,3424.00,349600,3424.00
2016-01-08,3458.00,3480.00,3435.00,3446.00,917700,3446.00
2016-01-07,3514.00,3532.83,3423.00,3444.00,961900,3444.00
2016-01-06,3636.00,3637.00,3567.00,3593.00,364600,3593.00
2016-01-05,3612.00,3659.00,3592.00,3587.00,255700,3587.00
2016-01-04,3658.00,3673.00,3577.00,3587.00,519800,3587.00
2015-12-31,3738.00,3740.00,3691.00,3691.00,63900,3691.00
2015-12-30,3752.00,3756.00,3707.00,3722.00,301100,3722.00
2015-12-29,3700.00,3757.00,3667.00,3757.00,352600,3757.00
2015-12-24,3709.00,3710.00,3414.95,3682.00,75700,3682.00
2015-12-23,3658.00,3704.00,3658.00,3696.00,338500,3696.00
2015-12-22,3661.00,3663.00,3615.00,3633.00,337900,3633.00
