Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,307.60,307.60,302.00,303.80,4310000,303.80
2016-02-17,301.90,307.30,301.20,305.20,4866900,305.20
2016-02-16,300.50,304.10,295.00,300.60,4782200,300.60
2016-02-15,290.70,302.10,289.30,299.00,6330700,299.00
2016-02-12,274.00,290.10,274.00,287.30,9964500,287.30
2016-02-11,279.70,279.70,266.792,270.00,9505000,270.00
2016-02-10,265.80,279.60,265.70,279.10,7390200,279.10
2016-02-09,275.00,277.90,250.30,263.80,13594200,263.80
2016-02-08,302.00,302.90,274.80,275.60,7325500,275.60
2016-02-05,305.70,306.60,299.10,301.80,3820600,301.80
2016-02-04,312.70,312.80,305.20,306.40,4325500,306.40
2016-02-03,309.20,313.90,306.002,310.00,3807400,310.00
2016-02-02,310.00,312.90,308.40,310.70,2613800,310.70
2016-02-01,313.00,314.40,307.80,310.00,4609700,310.00
2016-01-29,307.40,313.20,307.40,313.00,4028800,313.00
2016-01-28,301.10,306.00,299.10,305.50,5803400,305.50
2016-01-27,302.10,304.10,299.30,302.00,4363600,302.00
2016-01-26,301.20,304.00,296.907,302.70,4176200,302.70
2016-01-25,304.40,308.00,303.10,304.80,3353900,304.80
2016-01-22,303.30,304.00,299.70,303.50,4948100,303.50
2016-01-21,291.60,300.90,291.00,299.90,7753700,299.90
2016-01-20,297.70,298.10,287.70,287.80,8566800,287.80
2016-01-19,304.60,304.60,299.80,302.20,3940500,302.20
2016-01-18,303.00,306.10,299.80,301.90,2710300,301.90
2016-01-15,313.60,315.00,300.30,303.50,4617700,303.50
2016-01-14,314.40,316.435,307.10,312.70,3193600,312.70
2016-01-13,318.00,320.30,315.50,316.80,4658800,316.80
2016-01-12,311.50,315.20,309.70,315.00,5454300,315.00
2016-01-11,306.30,312.30,305.016,309.70,3559600,309.70
2016-01-08,308.50,315.00,307.00,308.00,4346400,308.00
2016-01-07,304.50,308.90,301.96,307.00,4665500,307.00
2016-01-06,303.20,312.80,302.20,309.80,3182100,309.80
2016-01-05,302.90,305.50,302.00,302.90,2271900,302.90
2016-01-04,304.90,306.10,301.40,302.90,3416200,302.90
2015-12-31,309.40,310.90,302.896,307.30,591100,307.30
2015-12-30,304.00,312.50,302.70,307.70,2418800,307.70
2015-12-29,300.00,304.50,299.20,304.00,4823700,304.00
2015-12-24,304.40,304.40,299.60,300.90,226400,300.90
2015-12-23,304.40,304.40,301.20,302.40,11224100,302.40
2015-12-22,303.00,304.80,298.50,300.70,3350500,300.70
2015-12-21,297.00,305.00,296.70,301.20,7155000,301.20
2015-12-18,294.50,300.00,291.50,298.00,79693400,298.00
2015-12-17,294.25,298.50,291.00,294.50,3841200,294.50
2015-12-16,290.00,294.25,288.75,292.00,4556900,292.00
2015-12-15,287.75,291.00,287.25,288.25,4265900,288.25
2015-12-14,289.25,293.50,287.25,287.25,2549200,287.25
2015-12-11,293.75,296.50,286.25,290.25,3335600,290.25
2015-12-10,292.25,300.25,292.25,296.00,2930200,296.00
2015-12-09,295.25,298.50,295.00,295.00,2604200,295.00
2015-12-08,296.50,300.50,295.00,296.50,1546700,296.50
2015-12-07,299.00,301.91,296.00,297.50,1669200,297.50
2015-12-04,300.00,305.00,298.00,299.00,6651100,299.00
2015-12-03,307.75,311.75,297.75,300.00,3738900,300.00
2015-12-02,303.00,308.995,299.98,307.00,5488500,307.00
2015-12-01,297.75,301.75,297.506,301.75,2033100,301.75
2015-11-30,295.50,299.25,294.25,299.00,4557700,299.00
2015-11-27,291.00,294.006,287.50,293.50,1185100,293.50
2015-11-26,290.00,292.25,287.00,290.00,754300,290.00
2015-11-25,291.00,293.50,287.25,288.50,3057600,288.50
2015-11-24,291.25,295.15,291.25,292.50,2005700,292.50
2015-11-23,290.00,294.00,289.55,294.00,3359000,294.00
2015-11-20,287.50,289.75,285.50,288.75,2779500,288.75
2015-11-19,282.00,290.00,282.00,290.00,2004500,290.00
2015-11-18,283.00,289.05,282.05,286.00,4454500,286.00
2015-11-17,278.00,282.75,276.00,281.50,4412600,281.50
2015-11-16,279.00,280.00,272.60,278.75,2297300,278.75
2015-11-13,277.00,278.50,272.50,277.25,2887900,277.25
2015-11-12,280.00,281.45,274.75,276.00,3709100,276.00
2015-11-11,280.25,285.74,275.43,277.00,11291400,277.00
2015-11-10,280.25,287.00,280.25,283.00,1576200,283.00
2015-11-09,285.50,291.45,285.25,286.50,8540400,286.50
2015-11-06,283.50,288.00,282.25,287.00,2976200,287.00
2015-11-05,282.00,286.75,278.00,283.75,4434500,283.75
2015-11-04,279.75,287.69,275.75,276.25,2675400,276.25
2015-11-03,292.50,293.00,279.75,283.00,3787300,283.00
2015-11-02,279.75,288.75,279.25,285.00,9140200,285.00
2015-10-30,275.00,280.25,270.90,279.00,4829100,279.00
2015-10-29,267.50,279.00,266.00,275.00,2615200,275.00
2015-10-28,261.00,272.25,261.00,272.25,3830400,272.25
2015-10-27,262.00,268.00,257.682,266.50,4114100,266.50
2015-10-26,256.00,265.80,256.00,265.00,2837700,265.00
2015-10-23,255.00,263.00,255.00,262.50,4751500,262.50
2015-10-22,255.25,261.99,255.25,257.25,5429800,257.25
2015-10-21,262.00,264.00,258.50,259.75,3376400,259.75
2015-10-20,265.00,265.75,258.926,264.00,3911700,264.00
2015-10-19,263.50,267.00,262.45,265.00,6863400,265.00
2015-10-16,258.50,265.00,240.00,265.00,10044700,265.00
2015-10-15,260.25,265.25,247.871,260.50,6574300,260.50
2015-10-14,262.75,267.75,258.75,264.00,21161800,264.00
2015-10-13,248.00,266.75,240.00,265.00,364053100,265.00
