Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1480.00,1484.45,1463.00,1471.00,2597100,1471.00
2016-02-17,1448.00,1481.00,1447.00,1481.00,3084100,1481.00
2016-02-16,1441.00,1446.00,1425.00,1442.00,2346300,1442.00
2016-02-15,1418.00,1443.00,1409.00,1432.00,2365500,1432.00
2016-02-12,1380.00,1395.95,1379.00,1391.00,3530200,1391.00
2016-02-11,1386.00,1391.00,1353.00,1368.00,4095200,1368.00
2016-02-10,1399.00,1402.00,1372.00,1385.00,4433400,1385.00
2016-02-09,1341.00,1390.00,1340.00,1383.00,5183400,1383.00
2016-02-08,1404.00,1430.00,1326.00,1338.00,5830200,1338.00
2016-02-05,1469.00,1478.00,1412.00,1417.00,4292700,1417.00
2016-02-04,1495.00,1498.00,1457.00,1465.00,3081400,1465.00
2016-02-03,1504.00,1512.00,1463.00,1473.00,3498600,1473.00
2016-02-02,1513.00,1515.00,1486.00,1498.00,2639700,1498.00
2016-02-01,1521.00,1526.00,1494.00,1516.00,2594500,1516.00
2016-01-29,1491.00,1517.00,1473.00,1517.00,3598600,1517.00
2016-01-28,1472.00,1487.00,1453.00,1466.00,2681600,1466.00
2016-01-27,1460.00,1481.00,1456.00,1481.00,3365100,1481.00
2016-01-26,1444.00,1470.00,1436.07,1463.00,2374000,1463.00
2016-01-25,1484.00,1484.00,1459.00,1463.00,3320200,1463.00
2016-01-22,1470.00,1473.00,1458.00,1467.00,3101500,1467.00
2016-01-21,1416.00,1432.00,1406.00,1424.00,4631500,1424.00
2016-01-20,1422.00,1422.00,1391.00,1406.00,2884100,1406.00
2016-01-19,1442.00,1448.00,1418.18,1447.00,2633000,1447.00
2016-01-18,1434.00,1441.36,1413.00,1420.00,2129700,1420.00
2016-01-15,1447.00,1460.00,1422.00,1435.00,4208400,1435.00
2016-01-14,1459.00,1461.93,1425.72,1446.00,3201900,1446.00
2016-01-13,1497.00,1500.07,1474.50,1477.00,3577000,1477.00
2016-01-12,1462.00,1494.00,1454.60,1483.00,2847300,1483.00
2016-01-11,1456.00,1464.00,1446.00,1453.00,3077700,1453.00
2016-01-08,1492.00,1495.00,1464.00,1464.00,3058600,1464.00
2016-01-07,1490.00,1494.34,1466.00,1485.00,4433100,1485.00
2016-01-06,1533.00,1546.00,1511.00,1526.00,2355500,1526.00
2016-01-05,1538.00,1549.00,1520.00,1518.00,1707500,1518.00
2016-01-04,1554.00,1556.00,1512.00,1518.00,2657400,1518.00
2015-12-31,1574.00,1577.00,1563.00,1563.00,389000,1563.00
2015-12-30,1574.00,1583.00,1568.00,1573.00,1294700,1573.00
2015-12-29,1548.00,1577.00,1546.00,1577.00,2283900,1577.00
