"","Date","MKS.csv","GLEN.csv","REL.csv","PRU.csv","BLND.csv","FRES.csv","NG.csv","RB.csv","SBRY.csv","MNDI.csv","ANTO.csv","BAB.csv","HSBA.csv","EXPN.csv","WOS.csv","PFG.csv","VOD.csv","SSE.csv","BNZL.csv","CCL.csv","NXT.csv","SPD.csv","AZN.csv","CPI.csv","CNA.csv","DCC.csv","ULVR.csv","INTU.csv","BP.csv","STJ.csv","FTSE.csv"
"1","2016-02-17",436.8,120,1207,1248,688.5,906,955.3,6513,261.5,1315,478.4,922,456.95,1162,3611,3184,217.3,1376,1903,3301,7020,419.6,4279.5,1123,194.1,5675,3050,289.7,349.85,899,6030.299805
"2","2016-02-16",428.9,102.95,1183,1183.5,676,878,955.5,6410,249.6,1267,440.6,893,448.2,1126,3497,3092,211,1358,1852,3194,6895,394.1,4184,1099,191.7,5480,3015,283,337.4,860,5862.200195
"3","2016-02-15",424.8,101.2,1162,1194,678.5,873.5,952.6,6371,247.2,1255,442.8,897,446.4,1119,3505,3107,209.45,1367,1835,3149,6860,390.7,4151,1092,192.4,5385,3012,283.2,332.8,855,5824.299805
"4","2016-02-12",417.4,98.46,1139,1157.5,652.5,897,937.4,5966,239.3,1221,433.3,868.5,440.4,1102,3392,3019,205.45,1346,1790,3106,6760,379.8,4046.5,1074,189.6,5355,2944.5,275.8,332.5,830,5707.600098
"5","2016-02-11",403.8,87.68,1132,1087,651,875,931.9,5847,236.4,1170,389.5,854,420.15,1073,3255,2809,200.6,1321,1763,3044,6610,372.2,3991,1059,183.6,5230,2905,269.8,310.25,801,5537
"6","2016-02-10",413,93.5,1151,1175.5,682.5,830,941.8,5967,240.3,1197,398.4,869.5,441.4,1107,3307,2855,202.1,1350,1798,3118,6710,375.8,4009,1081,187.8,5015,2940.5,279.5,330.1,844,5672.299805
"7","2016-02-09",411.2,94.44,1149,1126,669,853,943.7,5954,242.5,1143,410.9,862.5,432.5,1094,3303,2793,201.15,1347,1781,3034,6665,367.3,3914.5,1063,187.9,4835,2931.5,274.4,334.45,811.5,5632.200195
"8","2016-02-08",407.1,102.8,1126,1161.5,679,849.5,949.6,5990,242.9,1137,453.4,862,438.45,1112,3230,2754,200.2,1362,1777,2957,6430,366,3906,1056,191.9,4779,2939.5,280.9,343.9,831,5689.399902
"9","2016-02-05",415.3,102.15,1170,1228,715.5,788,959,6068,250.9,1166,446.3,902.5,457.85,1162,3317,2861,207,1392,1840,3128,6620,394,4109.5,1098,196.3,5085,2967.5,288.6,350.65,872.5,5848.100098
"10","2016-02-04",415.6,99.68,1199,1262.5,714.5,784,976.6,6136,245.1,1150,430.3,888.5,459.5,1162,3325,2936,210.25,1409,1856,3225,6665,399.2,4143,1112,196.6,5200,2953.5,289.7,350.85,892.5,5898.799805
